Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Patrik Schick,10.0,FW,30-145,90,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,5d4f7d61,2740937c,02f675d6
Adam Hložek,9.0,FW,23-328,66,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,5521f419,2740937c,02f675d6
Lukáš Provod,17.0,"FW,MF",29-238,24,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8f21b7bd,2740937c,02f675d6
Michal Sadílek,18.0,CM,27-018,66,1,0,0,0,3,1,0,0,0,1,0,3,0,1,0,0,0,7c9fa389,2740937c,02f675d6
Tomáš Souček,22.0,MF,31-111,24,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6613c819,2740937c,02f675d6
Lukáš Červ,12.0,CM,25-069,77,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,bb4a41bc,2740937c,02f675d6
David Zima,2.0,DF,25-222,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,acf7e795,2740937c,02f675d6
Vladimír Darida,8.0,CM,35-314,54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3eb0f2df,2740937c,02f675d6
Pavel Šulc,15.0,"FW,MF",25-171,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,e9b893af,2740937c,02f675d6
Alexandr Sojka,24.0,LB,23-077,54,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,765b7bfc,2740937c,02f675d6
Jaroslav Zelený,20.0,"DF,MF",33-302,36,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,bc647827,2740937c,02f675d6
Ladislav Krejčí,7.0,CB,27-059,90,0,0,0,0,4,0,1,0,3,1,0,1,1,1,0,0,0,5b5c2228,2740937c,02f675d6
Robin Hranáč,4.0,CB,26-140,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,95d5aea2,2740937c,02f675d6
Tomáš Holeš,3.0,CB,33-079,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,e03c2d97,2740937c,02f675d6
Vladimír Coufal,5.0,RB,33-300,90,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,fdf3cb77,2740937c,02f675d6
Matej Kovar,1.0,GK,26-032,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bc67a0e1,2740937c,02f675d6
Iqraam Rayners,15.0,FW,30-181,65,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,190b0d5e,506f1741,02f675d6
Evidence Makgopa,17.0,FW,26-013,25,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,4d76d03b,506f1741,02f675d6
Oswin Appollis,7.0,FW,24-297,90,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,e8933eb0,506f1741,02f675d6
Thapelo Maseko,12.0,FW,22-219,83,0,0,0,0,3,0,0,0,2,3,0,1,0,1,0,0,0,498d45f7,506f1741,02f675d6
Kamogelo Sebelebele,25.0,"DF,MF",23-332,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,cc014f7d,506f1741,02f675d6
Jayden Adams,23.0,CM,25-044,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259affab,506f1741,02f675d6
Relebohile Mofokeng,10.0,MF,21-238,45,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,25c3fb97,506f1741,02f675d6
Thalente Mbatha,5.0,CM,26-094,90,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,f6272be9,506f1741,02f675d6
Teboho Mokoena,4.0,DM,29-145,90,1,0,1,1,2,1,1,0,2,3,0,2,1,2,0,0,0,00029b1e,506f1741,02f675d6
Aubrey Modiba,6.0,LB,30-331,90,0,0,0,0,3,0,0,0,1,1,0,5,4,1,0,0,0,bb1f97f2,506f1741,02f675d6
Mbekezeli Mbokazi,14.0,CB,20-272,90,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,13398d42,506f1741,02f675d6
Ime Okon,21.0,CB,22-118,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3cb58055,506f1741,02f675d6
Khuliso Mudau,20.0,RB,31-053,90,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,75388f92,506f1741,02f675d6
Ronwen Williams,1.0,GK,34-148,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a66cc153,506f1741,02f675d6
