Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Lawrence Shankland,20.0,FW,30-318,89,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,63b1a176,602d3994,0ef71ab6
Ché Adams,10.0,"FW,MF",29-346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f2bf1b0f,602d3994,0ef71ab6
John McGinn,7.0,AM,31-249,89,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,90f91999,602d3994,0ef71ab6
Findlay Curtis,25.0,MF,19-266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e2a68b89,602d3994,0ef71ab6
Scott McTominay,4.0,AM,29-198,90,0,0,0,0,4,3,0,0,1,0,0,0,1,0,0,0,0,d93c2511,602d3994,0ef71ab6
Ben Gannon-Doak,17.0,AM,20-225,81,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,733f1a7d,602d3994,0ef71ab6
Ryan Christie,11.0,"FW,MF",31-122,9,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,26ce2263,602d3994,0ef71ab6
Lewis Ferguson,19.0,DM,26-304,90,0,0,0,0,2,1,0,0,2,1,0,6,2,0,0,0,0,ee64a822,602d3994,0ef71ab6
Kenny McLean,23.0,DM,34-167,90,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,471f16b3,602d3994,0ef71ab6
Andy Robertson,3.0,LB,32-105,45,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2e4f5f03,602d3994,0ef71ab6
Kieran Tierney,6.0,"DF,MF",29-019,45,0,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0,fce2302c,602d3994,0ef71ab6
Jack Hendry,13.0,CB,31-048,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ffed43e3,602d3994,0ef71ab6
Scott McKenna,26.0,CB,29-224,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e5a4cbc,602d3994,0ef71ab6
Nathan Patterson,22.0,RB,24-251,81,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,230f0471,602d3994,0ef71ab6
Anthony Ralston,24.0,DF,27-220,9,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,56208b05,602d3994,0ef71ab6
Angus Gunn,1.0,GK,30-153,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e082af5b,602d3994,0ef71ab6
Matheus Cunha,9.0,FW,27-028,75,1,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,dc62b55d,304635c3,0ef71ab6
Neymar,10.0,"FW,MF",34-139,15,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,69384e5d,304635c3,0ef71ab6
Vinicius Júnior,7.0,FW,25-347,90,2,0,0,0,8,5,0,0,1,3,1,0,0,0,0,0,0,7111d552,304635c3,0ef71ab6
Rayan,26.0,FW,19-325,81,0,1,0,0,2,1,0,0,1,1,0,1,2,1,0,0,0,288647fc,304635c3,0ef71ab6
Endrick,19.0,FW,19-338,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a2728fbf,304635c3,0ef71ab6
Lucas Paquetá,20.0,CM,28-301,65,0,0,0,0,1,0,0,0,0,2,0,2,1,1,0,0,0,9b6f7fd5,304635c3,0ef71ab6
Gabriel Martinelli,22.0,"FW,MF",25-006,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48a5a5d6,304635c3,0ef71ab6
Bruno Guimarães,8.0,CM,28-220,90,0,2,0,0,1,0,0,0,1,2,0,3,0,0,0,0,0,82518f62,304635c3,0ef71ab6
Casemiro,5.0,DM,34-121,65,0,0,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,4d224fe8,304635c3,0ef71ab6
Fabinho,17.0,"DF,MF",32-244,25,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,7f3b388c,304635c3,0ef71ab6
Douglas Santos,16.0,LB,32-094,81,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,c50e5bba,304635c3,0ef71ab6
Alex Sandro,6.0,"DF,MF",35-149,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0d82903c,304635c3,0ef71ab6
Gabriel Magalhães,3.0,CB,28-187,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,67ac5bb8,304635c3,0ef71ab6
Marquinhos,4.0,CB,32-041,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d5f2f82b,304635c3,0ef71ab6
Danilo,13.0,RB,34-344,90,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,94b2001f,304635c3,0ef71ab6
Alisson,1.0,GK,33-265,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7a2e46a8,304635c3,0ef71ab6
