Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Saša Kalajdžić,14.0,FW,28-344,45,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,15f24fe7,d5121f10,140e19d9
Marko Arnautović,7.0,"FW,MF",37-058,45,1,0,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,00459419,d5121f10,140e19d9
Marcel Sabitzer,9.0,AM,32-091,90,0,0,0,0,1,0,1,0,0,0,0,10,0,3,0,0,0,e280527c,d5121f10,140e19d9
Konrad Laimer,20.0,AM,29-020,90,0,0,0,0,1,0,0,0,3,0,2,1,1,1,0,0,0,c1b7847c,d5121f10,140e19d9
Romano Schmid,18.0,AM,26-140,82,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,220ace7e,d5121f10,140e19d9
Patrick Wimmer,21.0,"FW,MF",25-017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,cb11b429,d5121f10,140e19d9
Xaver Schlager,4.0,DM,28-261,58,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,8f056768,d5121f10,140e19d9
Carney Chukwuemeka,17.0,MF,22-239,32,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,b2f9c73e,d5121f10,140e19d9
Nicolas Seiwald,6.0,DM,25-043,90,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,28c6e925,d5121f10,140e19d9
Phillipp Mwene,16.0,LB,32-138,58,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2ff76adc,d5121f10,140e19d9
Paul Wanner,24.0,MF,20-175,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cb64672e,d5121f10,140e19d9
David Alaba,8.0,CB,33-357,58,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,05439de2,d5121f10,140e19d9
Kevin Danso,3.0,"DF,MF",27-270,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6e33125f,d5121f10,140e19d9
Philipp Lienhart,15.0,CB,29-340,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,302527b2,d5121f10,140e19d9
Stefan Posch,5.0,RB,29-033,90,0,0,0,0,2,0,0,0,3,1,0,0,1,3,0,0,0,7f609bfc,d5121f10,140e19d9
Alexander Schlager,1.0,GK,30-135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6fe5c35b,d5121f10,140e19d9
Musa Al-Taamari,10.0,FW,29-006,87,0,0,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,f15f8b2b,3e22f0fa,140e19d9
Mohammad Al-Dawud,25.0,"FW,MF",34-065,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e645c3fc,3e22f0fa,140e19d9
Ali Olwan,9.0,LM,26-082,90,1,0,0,0,4,2,0,0,0,2,0,2,0,1,0,0,0,33c1d68d,3e22f0fa,140e19d9
Noor Al Rawabdeh,8.0,CM,29-112,90,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3bb06c86,3e22f0fa,140e19d9
Nizar Al Rashdan,21.0,CM,27-085,90,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,feaa0ffd,3e22f0fa,140e19d9
Odeh Al-Fakhouri,11.0,RM,20-206,88,0,0,0,0,1,1,0,0,0,2,0,1,1,1,0,0,0,30591ae5,3e22f0fa,140e19d9
Ali Azaizeh,24.0,MF,22-064,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3a46ac67,3e22f0fa,140e19d9
Mohannad Abu Taha,20.0,LB,23-134,90,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,5c4bac6c,3e22f0fa,140e19d9
Mo Abualnadi,16.0,CB,25-128,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4bff62e4,3e22f0fa,140e19d9
Salim Obaid,17.0,DF,34-150,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,f494bf5f,3e22f0fa,140e19d9
Yazan Al-Arab,5.0,CB,30-136,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,32878a09,3e22f0fa,140e19d9
Abdallah Nasib,3.0,CB,32-111,80,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,aaab3072,3e22f0fa,140e19d9
Saed Al-Rosan,19.0,DF,29-135,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f3115445,3e22f0fa,140e19d9
Ihsan Haddad,23.0,RB,32-131,80,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,85660a5d,3e22f0fa,140e19d9
Mahmoud Al-Mardi,13.0,"FW,MF",32-253,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1eedc1ea,3e22f0fa,140e19d9
Yazeed Abulaila,1.0,GK,33-159,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5d11fc17,3e22f0fa,140e19d9
