Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ali Al Hamadi,9.0,FW,24-107,58,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,8450467d,ec843efd,17eda16a
Marko Farji,21.0,MF,22-092,32,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,e046cff6,ec843efd,17eda16a
Ayman Hussein,18.0,FW,30-086,90,1,0,0,0,3,1,0,0,2,1,0,0,0,0,1,0,0,8b574de7,ec843efd,17eda16a
Ali Jasim,17.0,LW,22-147,72,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1a927a6f,ec843efd,17eda16a
Ahmed Qasem,11.0,"FW,MF",22-339,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27219ecb,ec843efd,17eda16a
Ibrahim Bayesh,8.0,RW,26-046,77,0,0,0,0,1,0,0,0,0,2,0,4,1,1,0,0,0,2f2003ba,ec843efd,17eda16a
Mohanad Ali,10.0,FW,25-361,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f929049b,ec843efd,17eda16a
Amir Al Ammari,16.0,CM,28-324,90,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,9f65be73,ec843efd,17eda16a
Zaid Ismail,24.0,CM,24-164,58,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,c65effaa,ec843efd,17eda16a
Zidane Iqbal,14.0,MF,23-050,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6fa3c28e,ec843efd,17eda16a
Merchas Doski,23.0,LB,26-191,90,0,0,0,0,0,0,0,0,0,4,0,3,5,1,0,0,0,fdf4cfe5,ec843efd,17eda16a
Akam Hashim,5.0,CB,27-304,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,f8416e89,ec843efd,17eda16a
Zaid Tahseen,4.0,CB,25-138,90,0,0,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,f3380f7e,ec843efd,17eda16a
Hussein Ali,3.0,RB,24-107,72,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,b8a919ad,ec843efd,17eda16a
Mustafa Saadoon,25.0,DF,25-022,18,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,928dc5c9,ec843efd,17eda16a
Jalal Hassan,12.0,GK,35-029,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87351c2e,ec843efd,17eda16a
Erling Haaland,9.0,FW,25-330,90,2,0,0,0,5,4,0,0,2,3,0,0,0,0,0,0,0,1f44ac21,599eba19,17eda16a
Antonio Nusa,20.0,FW,21-060,72,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4ab12002,599eba19,17eda16a
Andreas Schjelderup,21.0,"FW,MF",22-015,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a427724f,599eba19,17eda16a
Alexander Sørloth,7.0,FW,30-193,72,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,e92cd3f7,599eba19,17eda16a
Oscar Bobb,22.0,"FW,MF",22-339,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,eed2427e,599eba19,17eda16a
Fredrik Aursnes,14.0,CM,30-188,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,f0677ed7,599eba19,17eda16a
Kristian Thorstvedt,18.0,MF,27-095,18,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,76ff8d0d,599eba19,17eda16a
Martin Ødegaard,10.0,CM,27-181,80,0,1,0,0,1,0,0,0,1,1,0,2,2,0,0,0,0,79300479,599eba19,17eda16a
Patrick Berg,6.0,"DF,MF",28-204,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e4114f5d,599eba19,17eda16a
Sander Berge,8.0,DM,28-122,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,d0b6129f,599eba19,17eda16a
David Møller Wolfe,5.0,LB,24-054,72,0,1,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,9affc5f2,599eba19,17eda16a
Leo Østigård,4.0,"DF,FW",26-200,18,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,b35a7399,599eba19,17eda16a
Torbjørn Heggem,17.0,CB,27-155,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,834fea76,599eba19,17eda16a
Kristoffer Ajer,3.0,CB,28-060,90,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,a8c0acb7,599eba19,17eda16a
Julian Ryerson,26.0,RB,28-211,90,0,0,0,0,0,0,0,0,2,0,0,9,3,0,0,0,0,009a4f60,599eba19,17eda16a
Ørjan Nyland,1.0,GK,35-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdedffac,599eba19,17eda16a
