Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Johan Manzambi,9.0,FW,20-253,84,1,1,0,0,2,1,0,0,1,1,1,1,0,0,0,0,0,8fcf0e12,81021a70,199a57aa
Christian Fassnacht,16.0,"FW,MF",32-225,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0aeeed3f,81021a70,199a57aa
Breel Embolo,7.0,FW,29-130,84,0,1,0,0,2,2,0,0,3,4,0,0,0,1,0,0,0,0b4f388a,81021a70,199a57aa
Cedric Itten,26.0,"FW,MF",29-179,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,ef233486,81021a70,199a57aa
Ruben Vargas,17.0,LW,27-323,79,1,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0,0,6ecbddf6,81021a70,199a57aa
Dan Ndoye,11.0,"FW,MF",25-242,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8e697a8f,81021a70,199a57aa
Djibril Sow,15.0,RW,29-138,73,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4c6facae,81021a70,199a57aa
Michel Aebischer,20.0,MF,29-169,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,f9c927de,81021a70,199a57aa
Granit Xhaka,10.0,CM,33-270,90,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,e61b8aee,81021a70,199a57aa
Remo Freuler,8.0,CM,34-070,90,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,98d2c2c4,81021a70,199a57aa
Ricardo Rodríguez,13.0,LB,33-303,90,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,7f78ad23,81021a70,199a57aa
Manuel Akanji,5.0,CB,30-340,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,89ac64a6,81021a70,199a57aa
Nico Elvedi,4.0,CB,29-267,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48035304,81021a70,199a57aa
Luca Jaquez,25.0,RB,23-022,73,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,a400da8e,81021a70,199a57aa
Silvan Widmer,3.0,"DF,MF",33-111,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f68b64fc,81021a70,199a57aa
Gregor Kobel,1.0,GK,28-200,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,cd59b9df,81021a70,199a57aa
Cyle Larin,9.0,FW,31-068,57,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,e7af9060,9c6d90a0,199a57aa
Tani Oluwaseyi,12.0,FW,26-040,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,950ef017,9c6d90a0,199a57aa
Jonathan David,10.0,FW,26-161,90,0,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,ce50fd99,9c6d90a0,199a57aa
Ali Ahmed,20.0,LW,25-257,57,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,540a5be1,9c6d90a0,199a57aa
Liam Millar,11.0,"FW,MF",26-270,33,0,0,0,0,1,0,1,0,1,1,0,4,0,0,0,0,0,983515f8,9c6d90a0,199a57aa
Tajon Buchanan,17.0,RW,27-136,74,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,3aca6420,9c6d90a0,199a57aa
Promise David,24.0,FW,24-356,16,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,dbe19468,9c6d90a0,199a57aa
Mathieu Choinière,6.0,CM,27-137,57,0,0,0,0,0,0,0,0,1,1,0,4,1,2,0,0,0,017459bb,9c6d90a0,199a57aa
Stephen Eustáquio,7.0,MF,29-185,33,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,577efaec,9c6d90a0,199a57aa
Nathan Saliba,25.0,CM,22-137,90,0,1,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,44cfc681,9c6d90a0,199a57aa
Richie Laryea,22.0,LB,31-168,82,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,276fdbe4,9c6d90a0,199a57aa
Jacob Shaffelburg,14.0,MF,26-210,8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,339a2561,9c6d90a0,199a57aa
Derek Cornelius,13.0,CB,28-211,90,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,0,0,577744b8,9c6d90a0,199a57aa
Luc De Fougerolles,4.0,CB,20-255,90,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,0,0,45c427ff,9c6d90a0,199a57aa
Alistair Johnston,2.0,RB,27-259,90,0,0,0,0,2,1,0,0,2,1,0,3,0,3,0,0,0,4fb17e20,9c6d90a0,199a57aa
Maxime Crépeau,16.0,GK,32-044,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ea42e480,9c6d90a0,199a57aa
