Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ismael Saibari,11.0,FW,25-147,69,1,0,0,0,5,1,0,0,1,1,1,5,1,0,0,0,0,3ec9f005,af41ccda,2307866a
Soufiane Rahimi,9.0,FW,30-022,21,1,1,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,f126a259,af41ccda,2307866a
Ayoub El Kaabi,20.0,FW,32-363,69,0,0,0,0,3,2,0,0,1,1,3,0,2,0,0,0,0,b1bfd1d4,af41ccda,2307866a
Gessime Yassine,16.0,MF,20-214,21,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,f5ccae19,af41ccda,2307866a
Bilal El Khannouss,23.0,LW,22-045,90,0,0,0,0,2,2,0,0,1,1,0,3,1,0,0,0,0,f7042636,af41ccda,2307866a
Brahim Díaz,10.0,RW,26-325,69,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,0,407feb71,af41ccda,2307866a
Azzedine Ounahi,8.0,MF,26-066,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83299cc0,af41ccda,2307866a
Neil El Aynaoui,24.0,CM,24-357,82,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,17e1261b,af41ccda,2307866a
Samir El Mourabet,15.0,MF,20-261,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1a03d055,af41ccda,2307866a
Sofyan Amrabat,4.0,CM,29-307,90,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5a2cb25d,af41ccda,2307866a
Anass Salah-Eddine,26.0,LB,24-157,82,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0d274394,af41ccda,2307866a
Noussair Mazraoui,3.0,"DF,MF",28-222,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b74277a0,af41ccda,2307866a
Chadi Riad,18.0,CB,23-007,90,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,b3b9b8b8,af41ccda,2307866a
Redouane Halhal,25.0,CB,23-111,90,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,e17c2cec,af41ccda,2307866a
Achraf Hakimi,2.0,RB,27-232,90,1,1,0,0,5,3,0,0,1,2,0,9,0,1,0,0,0,e42d61c7,af41ccda,2307866a
Yassine Bounou,1.0,GK,35-080,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,f6798fc3,af41ccda,2307866a
Lenny Joseph,16.0,FW,25-255,82,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,d1828392,61828292,2307866a
Frantzdy Pierrot,20.0,FW,31-087,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307877be,61828292,2307866a
Wilson Isidor,18.0,FW,25-301,66,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,a671316d,61828292,2307866a
Louicius Deedson,11.0,MF,25-133,24,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,f7059bb1,61828292,2307866a
Ruben Providence,15.0,LW,24-352,66,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,26bab383,61828292,2307866a
Duckens Nazon,9.0,"FW,MF",32-078,24,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,20e87a42,61828292,2307866a
Josué Casimir,21.0,RW,24-273,90,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,481f76cf,61828292,2307866a
Jean-Ricner Bellegarde,10.0,CM,27-362,90,0,0,0,0,3,0,0,0,3,2,0,0,1,1,0,0,0,10f0fdd3,61828292,2307866a
Danley Jean-Jacques,17.0,CM,26-035,79,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,59fcbd6d,61828292,2307866a
Dominique Simon,25.0,MF,25-330,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,ffd8e8c5,61828292,2307866a
Martin Expérience,8.0,LB,27-107,90,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,9edb83f4,61828292,2307866a
Hannes Delcroix,5.0,CB,27-116,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,b737f944,61828292,2307866a
Ricardo Adé,4.0,CB,36-034,90,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,a9ee5e81,61828292,2307866a
Jean-Kevin Duverne,22.0,RB,28-347,79,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0cbc8baa,61828292,2307866a
Carlens Arcus,2.0,DF,29-361,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5e837126,61828292,2307866a
Johny Placide,1.0,GK,38-146,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,f1666a9d,61828292,2307866a
