Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-178,90,2,0,0,0,4,4,0,0,2,1,0,0,0,0,0,0,0,42fd9c7f,b1b36dcd,2712fac7
Désiré Doué,20.0,AM,21-013,86,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,9e7483ff,b1b36dcd,2712fac7
Rayan Cherki,24.0,"FW,MF",22-303,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,b34c63a5,b1b36dcd,2712fac7
Ousmane Dembélé,7.0,AM,29-032,79,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,b19db005,b1b36dcd,2712fac7
Bradley Barcola,12.0,"FW,MF",23-287,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,a0d55a09,b1b36dcd,2712fac7
Michael Olise,11.0,AM,24-186,90,0,1,0,0,2,2,0,0,0,2,0,3,1,0,0,0,0,c4486bac,b1b36dcd,2712fac7
Adrien Rabiot,14.0,DM,31-074,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8794e251,b1b36dcd,2712fac7
Aurélien Tchouaméni,8.0,DM,26-140,90,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4f255115,b1b36dcd,2712fac7
Theo Hernández,19.0,LB,28-253,90,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,d4c9725f,b1b36dcd,2712fac7
William Saliba,17.0,CB,25-084,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,972aeb2a,b1b36dcd,2712fac7
Dayot Upamecano,4.0,CB,27-232,90,0,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,d248cd8f,b1b36dcd,2712fac7
Jules Koundé,5.0,RB,27-216,90,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,4d1666ff,b1b36dcd,2712fac7
Mike Maignan,16.0,GK,30-348,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,2712fac7
Nicolas Jackson,11.0,FW,24-361,82,0,0,0,0,1,0,0,0,2,0,3,0,1,0,0,0,0,9c36ed83,9ab5c684,2712fac7
Bamba Dieng,9.0,FW,26-085,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40774c6b,9ab5c684,2712fac7
Sadio Mané,10.0,AM,34-067,90,0,0,0,0,1,1,0,0,0,3,0,0,0,2,0,0,0,c691bfe2,9ab5c684,2712fac7
Lamine Camara,8.0,AM,22-166,75,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,19c2ffa4,9ab5c684,2712fac7
Habib Diarra,21.0,MF,22-164,15,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6d0fe035,9ab5c684,2712fac7
Ismaila Sarr,18.0,AM,28-111,74,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,bfdb33aa,9ab5c684,2712fac7
Ibrahim Mbaye,20.0,FW,18-143,16,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,201b4ee4,9ab5c684,2712fac7
Pape Gueye,26.0,DM,27-143,82,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7155e3e1,9ab5c684,2712fac7
Iliman Ndiaye,13.0,"FW,MF",26-102,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5ed97752,9ab5c684,2712fac7
Idrissa Gueye,5.0,DM,36-263,87,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,72c812f3,9ab5c684,2712fac7
Pathé Ciss,6.0,"DF,MF",32-092,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9a0408b6,9ab5c684,2712fac7
El Hadji Malick Diouf,25.0,LB,21-170,90,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,bd5eb2e5,9ab5c684,2712fac7
Moussa Niakhaté,19.0,CB,30-100,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00242715,9ab5c684,2712fac7
Kalidou Koulibaly,3.0,CB,34-361,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,da974c7b,9ab5c684,2712fac7
Krépin Diatta,15.0,RB,27-111,90,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,8104e41e,9ab5c684,2712fac7
Édouard Mendy,16.0,GK,34-107,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33887998,9ab5c684,2712fac7
