Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Sebastian Tounekti,26.0,FW,23-342,64,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,584fee1f,a7c7562a,27695f4a
Firas Chaouat,19.0,FW,30-043,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7fa8ef98,a7c7562a,27695f4a
Hannibal Mejbri,10.0,LM,23-150,90,0,0,0,0,1,0,0,0,3,7,0,1,1,0,0,0,0,ca22ccb0,a7c7562a,27695f4a
Ellyes Skhiri,17.0,CM,31-041,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c2211709,a7c7562a,27695f4a
Rani Khedira,13.0,"DF,MF",32-144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,59e4b92e,a7c7562a,27695f4a
Anis Ben Slimane,25.0,CM,25-096,90,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,9ade9ce1,a7c7562a,27695f4a
Elias Saad,8.0,RM,26-175,45,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,78a2284f,a7c7562a,27695f4a
Ismaël Gharbi,11.0,MF,22-071,45,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,5b3cfa12,a7c7562a,27695f4a
Ali Abdi,2.0,LB,32-182,89,0,0,0,0,0,0,0,0,1,1,0,2,4,2,0,0,0,ad7cdb35,a7c7562a,27695f4a
Elias Achouri,7.0,"FW,MF",27-130,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4dd2a0be,a7c7562a,27695f4a
Montassar Talbi,3.0,CB,28-025,90,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,a4a44eb0,a7c7562a,27695f4a
Omar Rekik,4.0,CB,24-182,90,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,e69e0f7b,a7c7562a,27695f4a
Dylan Bronn,6.0,CB,31-001,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,edd81e2a,a7c7562a,27695f4a
Mohamed Amine Ben Hamida,21.0,DF,30-187,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2a5e8f82,a7c7562a,27695f4a
Yan Valery,20.0,RB,27-118,90,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,531a4aa8,a7c7562a,27695f4a
Aymen Dahmen,16.0,GK,29-143,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8bf49030,a7c7562a,27695f4a
Ayase Ueda,18.0,FW,27-283,83,2,1,0,0,5,3,0,0,1,1,0,0,0,0,0,0,0,c0295327,ffcf1690,27695f4a
Keisuke Gotō,9.0,FW,21-017,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,82a2ca86,ffcf1690,27695f4a
Daichi Kamada,15.0,AM,29-319,72,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15b287da,ffcf1690,27695f4a
Junnosuke Suzuki,25.0,DF,22-343,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77428b1e,ffcf1690,27695f4a
Junya Itō,14.0,AM,33-103,90,1,0,0,0,2,1,0,0,2,1,0,7,1,1,0,0,0,dbd3a428,ffcf1690,27695f4a
Keito Nakamura,13.0,DM,25-327,78,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,d97af612,ffcf1690,27695f4a
Yuito Suzuki,17.0,"FW,MF",24-238,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c25a7a2a,ffcf1690,27695f4a
Ao Tanaka,7.0,DM,27-283,90,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1d36d6b6,ffcf1690,27695f4a
Kaishū Sano,24.0,DM,25-172,90,0,1,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,7a7a6361,ffcf1690,27695f4a
Ritsu Doan,10.0,DM,28-004,73,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,d01bbb6f,ffcf1690,27695f4a
Yukinari Sugawara,2.0,"DF,FW",25-357,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580bcd18,ffcf1690,27695f4a
Hiroki Ito,21.0,CB,27-039,90,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,204dded0,ffcf1690,27695f4a
Ko Itakura,4.0,CB,29-144,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,97d545ae,ffcf1690,27695f4a
Takehiro Tomiyasu,22.0,CB,27-227,78,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,b3af9be1,ffcf1690,27695f4a
Ayumu Seko,20.0,"DF,MF",26-013,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5c6a4059,ffcf1690,27695f4a
Zion Suzuki,1.0,GK,23-303,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51e1f4f5,ffcf1690,27695f4a
