Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mikel Oyarzabal,21.0,FW,29-072,90,2,0,0,0,6,4,0,0,1,2,0,1,1,0,0,0,0,8c3c640c,b561dd30,288fba4d
Álex Baena,15.0,AM,24-347,70,0,1,0,0,2,1,0,0,0,2,0,7,0,0,0,0,0,518f2234,b561dd30,288fba4d
Ferrán Torres,7.0,"FW,MF",26-123,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9e1035f8,b561dd30,288fba4d
Dani Olmo,10.0,AM,28-056,70,0,0,0,0,3,0,0,0,1,1,0,0,4,0,0,0,0,ae44e8e2,b561dd30,288fba4d
Mikel Merino,6.0,MF,30-010,20,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,d080ed5e,b561dd30,288fba4d
Lamine Yamal,19.0,AM,18-354,84,0,0,0,0,6,4,0,0,1,0,2,3,0,0,0,0,0,82ec26c1,b561dd30,288fba4d
Gavi,9.0,"FW,MF",21-331,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19cae58d,b561dd30,288fba4d
Pedri,20.0,DM,23-219,89,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0d9b2d31,b561dd30,288fba4d
Fabián Ruiz Peña,8.0,MF,30-090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c0c7ff58,b561dd30,288fba4d
Rodri,16.0,DM,30-010,90,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,6434f10d,b561dd30,288fba4d
Marc Cucurella,24.0,LB,27-345,90,0,2,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,1daec722,b561dd30,288fba4d
Aymeric Laporte,14.0,CB,32-036,89,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,119b9a8e,b561dd30,288fba4d
Marc Pubill,2.0,DF,23-012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365113c0,b561dd30,288fba4d
Pau Cubarsí,22.0,CB,19-161,90,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,cc7888f3,b561dd30,288fba4d
Pedro Porro,12.0,RB,26-292,90,1,0,0,0,1,1,0,0,1,2,0,7,1,1,0,0,0,27d0a506,b561dd30,288fba4d
Unai Simón,23.0,GK,29-021,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5dcf3e90,b561dd30,288fba4d
Michael Gregoritsch,11.0,FW,32-075,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8e235926,d5121f10,288fba4d
Marko Arnautović,7.0,"FW,MF",37-074,31,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,00459419,d5121f10,288fba4d
Marcel Sabitzer,9.0,AM,32-107,90,0,0,0,0,0,0,0,0,1,2,1,8,1,0,0,0,0,e280527c,d5121f10,288fba4d
Paul Wanner,24.0,AM,20-191,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,cb64672e,d5121f10,288fba4d
Romano Schmid,18.0,AM,26-156,59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,220ace7e,d5121f10,288fba4d
Saša Kalajdžić,14.0,"FW,MF",28-360,31,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,15f24fe7,d5121f10,288fba4d
Xaver Schlager,4.0,DM,28-277,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8f056768,d5121f10,288fba4d
Florian Grillitsch,10.0,"DF,MF",30-329,45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,ffbbc83b,d5121f10,288fba4d
Nicolas Seiwald,6.0,DM,25-059,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28c6e925,d5121f10,288fba4d
Carney Chukwuemeka,17.0,MF,22-255,45,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,b2f9c73e,d5121f10,288fba4d
Konrad Laimer,20.0,LB,29-036,90,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,c1b7847c,d5121f10,288fba4d
David Alaba,8.0,CB,34-008,90,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,05439de2,d5121f10,288fba4d
Kevin Danso,3.0,CB,27-286,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6e33125f,d5121f10,288fba4d
Stefan Posch,5.0,RB,29-049,84,0,0,0,0,1,0,1,0,3,1,0,0,2,3,0,0,0,7f609bfc,d5121f10,288fba4d
Alexander Prass,22.0,"DF,MF",25-037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637e6a7,d5121f10,288fba4d
Alexander Schlager,1.0,GK,30-151,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6fe5c35b,d5121f10,288fba4d
