Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
José Fajardo,17.0,FW,32-309,82,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,682e47b3,6061a82d,28a6d770
Azarías Londoño,24.0,MF,25-002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31d68775,6061a82d,28a6d770
José Luis Rodríguez,7.0,LM,28-004,90,0,0,0,0,1,0,0,0,2,1,0,8,1,0,0,0,0,b333b014,6061a82d,28a6d770
Yoel Bárcenas,11.0,CM,32-243,89,0,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,0,b39849eb,6061a82d,28a6d770
Tomás Rodríguez,9.0,FW,27-106,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59f97bc8,6061a82d,28a6d770
Carlos Harvey,14.0,CM,26-140,90,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3f18600c,6061a82d,28a6d770
Cristian Martínez,6.0,RM,29-137,90,0,0,0,0,0,0,0,0,3,3,1,7,1,0,0,0,0,fdb15495,6061a82d,28a6d770
César Blackman,2.0,LB,28-082,89,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,c2b11050,6061a82d,28a6d770
Erick Davis,15.0,DF,35-084,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2ffb0739,6061a82d,28a6d770
Andrés Andrade Cedeño,16.0,CB,27-250,90,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,6ea23758,6061a82d,28a6d770
José Córdoba,3.0,CB,25-109,90,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,bec98750,6061a82d,28a6d770
Jiovany Ramos,13.0,CB,29-148,76,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30cda59f,6061a82d,28a6d770
Cecilio Waterman,18.0,"FW,MF",35-071,14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,ddd5637f,6061a82d,28a6d770
Michael Amir Murillo,23.0,RB,30-132,90,0,0,0,0,3,1,0,0,1,0,0,4,0,1,0,0,0,349cae8f,6061a82d,28a6d770
Orlando Mosquera,22.0,GK,31-180,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ea34d827,6061a82d,28a6d770
Petar Musa,26.0,FW,28-111,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567a0b4,7b08e376,28a6d770
Ante Budimir,11.0,FW,34-336,45,1,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,8f3565b3,7b08e376,28a6d770
Ivan Perišić,14.0,AM,37-141,90,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6fe90922,7b08e376,28a6d770
Martin Baturina,16.0,AM,23-127,90,0,0,0,0,1,0,0,0,0,7,0,3,0,0,0,0,0,d1eda5f0,7b08e376,28a6d770
Marco Pašalić,24.0,AM,25-282,71,0,0,0,0,2,1,0,0,0,2,1,8,1,1,0,0,0,1866b0f1,7b08e376,28a6d770
Luka Sučić,21.0,"FW,MF",23-288,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1e1378e1,7b08e376,28a6d770
Mateo Kovačić,8.0,DM,32-048,71,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,79c0821a,7b08e376,28a6d770
Petar Sučić,17.0,MF,22-241,19,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,23fb46ea,7b08e376,28a6d770
Luka Modrić,10.0,DM,40-287,80,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,6025fab1,7b08e376,28a6d770
Mario Pašalić,15.0,"FW,MF",31-134,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,e599253a,7b08e376,28a6d770
Joško Gvardiol,4.0,LB,24-151,45,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,5ad50391,7b08e376,28a6d770
Andrej Kramarić,9.0,"FW,MF",35-004,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,603cb947,7b08e376,28a6d770
Marin Pongračić,3.0,CB,28-285,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2a6cd437,7b08e376,28a6d770
Josip Šutalo,6.0,CB,26-115,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,33a6a650,7b08e376,28a6d770
Josip Stanišić,2.0,RB,26-082,90,0,1,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,7ed08d5c,7b08e376,28a6d770
Dominik Livaković,1.0,GK,31-165,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58f077c0,7b08e376,28a6d770
