Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-184,89,2,0,0,0,8,3,0,0,1,1,1,1,1,0,0,0,0,42fd9c7f,b1b36dcd,31f1f241
Marcus Thuram,9.0,"FW,MF",28-320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6f8cd6d0,b1b36dcd,31f1f241
Bradley Barcola,12.0,AM,23-293,82,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,a0d55a09,b1b36dcd,31f1f241
Maghnes Akliouche,25.0,MF,24-117,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b625b241,b1b36dcd,31f1f241
Michael Olise,11.0,AM,24-192,67,0,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,c4486bac,b1b36dcd,31f1f241
Rayan Cherki,24.0,"FW,MF",22-309,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,b34c63a5,b1b36dcd,31f1f241
Ousmane Dembélé,7.0,AM,29-038,67,1,1,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,b19db005,b1b36dcd,31f1f241
Désiré Doué,20.0,"FW,MF",21-019,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e7483ff,b1b36dcd,31f1f241
Adrien Rabiot,14.0,DM,31-080,90,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,8794e251,b1b36dcd,31f1f241
Manu Koné,6.0,DM,25-036,90,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,86574238,b1b36dcd,31f1f241
Lucas Digne,3.0,LB,32-337,90,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1b84dbe1,b1b36dcd,31f1f241
William Saliba,17.0,CB,25-090,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,972aeb2a,b1b36dcd,31f1f241
Dayot Upamecano,4.0,CB,27-238,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,d248cd8f,b1b36dcd,31f1f241
Jules Koundé,5.0,RB,27-222,82,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4d1666ff,b1b36dcd,31f1f241
Malo Gusto,2.0,"DF,MF",23-034,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d56b9520,b1b36dcd,31f1f241
Mike Maignan,16.0,GK,30-354,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,31f1f241
Ayman Hussein,18.0,FW,30-092,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8b574de7,ec843efd,31f1f241
Ali Al Hamadi,9.0,FW,24-113,65,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,8450467d,ec843efd,31f1f241
Ibrahim Bayesh,8.0,FW,26-052,68,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2f2003ba,ec843efd,31f1f241
Marko Farji,21.0,MF,22-098,22,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,e046cff6,ec843efd,31f1f241
Ahmed Qasem,11.0,FW,22-345,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,27219ecb,ec843efd,31f1f241
Zidane Iqbal,14.0,CM,23-056,90,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,6fa3c28e,ec843efd,31f1f241
Zaid Ismail,24.0,CM,24-170,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,c65effaa,ec843efd,31f1f241
Youssef Amyn,7.0,MF,22-305,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10c12f22,ec843efd,31f1f241
Amir Al Ammari,16.0,DM,28-330,67,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,9f65be73,ec843efd,31f1f241
Aimar Sher,20.0,MF,23-184,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ef301f96,ec843efd,31f1f241
Merchas Doski,23.0,LB,26-197,90,0,0,0,0,0,0,0,0,1,2,0,1,2,4,0,0,0,fdf4cfe5,ec843efd,31f1f241
Akam Hashim,5.0,CB,27-310,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,f8416e89,ec843efd,31f1f241
Zaid Tahseen,4.0,CB,25-144,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,f3380f7e,ec843efd,31f1f241
Rebin Sulaka,2.0,DF,34-071,31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,928bec06,ec843efd,31f1f241
Hussein Ali,3.0,RB,24-113,90,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,b8a919ad,ec843efd,31f1f241
Ahmed Basil,22.0,GK,29-307,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3bf9e631,ec843efd,31f1f241
