Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Eldor Shomurodov,14.0,FW,30-353,89,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,57469b2d,cd389e75,3329959e
Igor Sergeev,21.0,FW,33-048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8df41977,cd389e75,3329959e
Oston Urunov,11.0,LM,25-180,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56521adf,cd389e75,3329959e
Dostonbek Khamdamov,17.0,MF,29-328,45,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,d2dd2ffb,cd389e75,3329959e
Akmal Mozgovoy,6.0,CM,27-076,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,114cb95b,cd389e75,3329959e
Otabek Shukurov,7.0,CM,29-360,90,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,62032a56,cd389e75,3329959e
Abbosbek Fayzullayev,22.0,RM,22-257,76,1,0,0,0,1,1,0,0,1,2,0,6,1,0,0,0,0,ef1d36a1,cd389e75,3329959e
Azizbek Amonov,20.0,FW,28-230,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,f487314f,cd389e75,3329959e
Sherzod Nasrullaev,13.0,LB,27-329,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,aeb0c7f7,cd389e75,3329959e
Farrukh Sayfiev,4.0,"DF,MF",35-151,45,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,bad66fb5,cd389e75,3329959e
Rustam Ashurmatov,5.0,CB,29-345,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a0ecd397,cd389e75,3329959e
Jakhongir Urozov,26.0,DF,22-150,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71210bed,cd389e75,3329959e
Abdulla Abdullaev,18.0,CB,28-289,90,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,03053fbf,cd389e75,3329959e
Abdukodir Khusanov,2.0,CB,22-108,90,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,d17ce930,cd389e75,3329959e
Bekhruz Karimov,24.0,RB,18-314,90,0,0,0,0,2,0,0,0,3,0,0,1,1,3,0,0,0,74cdaeba,cd389e75,3329959e
Utkir Yusupov,1.0,GK,35-164,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31caffaf,cd389e75,3329959e
Luis Suárez,25.0,FW,28-197,79,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,eeba07f8,ab73cfe5,3329959e
Cucho,19.0,"FW,MF",27-058,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71b47ab9,ab73cfe5,3329959e
Luis Díaz,7.0,FW,29-155,89,1,1,0,0,2,1,0,0,0,5,1,2,0,0,0,0,0,4a1a9578,ab73cfe5,3329959e
Andrés Gómez,26.0,MF,23-278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76a82373,ab73cfe5,3329959e
James Rodríguez,10.0,FW,34-340,71,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,715bf047,ab73cfe5,3329959e
Jaminton Campaz,21.0,"FW,MF",26-024,19,1,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,8d5ceef2,ab73cfe5,3329959e
Jhon Arias,11.0,CM,28-269,89,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,86d96066,ab73cfe5,3329959e
Kevin Castaño,5.0,MF,25-261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c393c3d9,ab73cfe5,3329959e
Gustavo Puerta,14.0,CM,22-329,79,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2c08cab0,ab73cfe5,3329959e
Richard Ríos,6.0,MF,26-015,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72da065d,ab73cfe5,3329959e
Jefferson Lerma,16.0,DM,31-235,90,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,9b5ce51a,ab73cfe5,3329959e
Johan Mojica,17.0,LB,33-300,90,0,0,0,0,1,0,1,0,1,1,0,2,1,0,0,0,0,608f2092,ab73cfe5,3329959e
Jhon Lucumí,3.0,CB,27-356,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,80490d7f,ab73cfe5,3329959e
Davinson Sánchez,23.0,CB,30-005,90,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,da7b447d,ab73cfe5,3329959e
Daniel Muñoz,2.0,RB,30-022,90,1,0,0,0,1,1,0,0,1,1,1,1,0,3,0,0,0,778ef829,ab73cfe5,3329959e
Camilo Vargas,12.0,GK,37-100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,004e3d0f,ab73cfe5,3329959e
