Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Barış Alper Yılmaz,21.0,FW,26-033,89,1,1,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,414b2ce4,ac6bcf92,358fd0fc
İrfan Can Kahveci,17.0,MF,30-345,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,d2800f47,ac6bcf92,358fd0fc
Kenan Yıldız,11.0,LM,21-052,83,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,d8cda243,ac6bcf92,358fd0fc
Can Uzun,26.0,MF,20-226,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1d0b134a,ac6bcf92,358fd0fc
Salih Özcan,5.0,CM,28-165,90,0,0,0,0,0,0,0,0,2,1,0,1,1,4,0,0,0,15413fa5,ac6bcf92,358fd0fc
Orkun Kökçü,6.0,CM,25-178,87,0,1,0,0,2,0,0,0,2,1,0,1,1,0,0,0,0,9bf914b4,ac6bcf92,358fd0fc
Kaan Ayhan,22.0,"DF,MF",31-227,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2200181e,ac6bcf92,358fd0fc
Arda Güler,8.0,RM,21-120,90,1,0,0,0,1,1,0,0,3,2,1,1,1,0,0,0,0,3741ca58,ac6bcf92,358fd0fc
Eren Elmalı,13.0,LB,25-353,90,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,8eeb8ba4,ac6bcf92,358fd0fc
Abdülkerim Bardakcı,14.0,CB,31-291,90,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,5d9cff53,ac6bcf92,358fd0fc
Ozan Kabak,15.0,CB,26-092,90,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,2d61d13a,ac6bcf92,358fd0fc
Zeki Çelik,2.0,CB,29-128,83,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,31a62dc7,ac6bcf92,358fd0fc
Çağlar Söyüncü,4.0,DF,30-033,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21166ff4,ac6bcf92,358fd0fc
Oğuz Aydın,24.0,RB,25-241,89,0,0,0,0,0,0,0,0,0,2,0,3,6,0,0,0,0,a7b98226,ac6bcf92,358fd0fc
Mert Müldür,18.0,DF,27-083,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1295552e,ac6bcf92,358fd0fc
Uğurcan Çakır,23.0,GK,30-081,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f63a8347,ac6bcf92,358fd0fc
Ricardo Pepi,9.0,FW,23-167,90,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,a2b1ed42,0f66725b,358fd0fc
Timothy Weah,21.0,AM,26-123,57,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8eec784d,0f66725b,358fd0fc
Christian Pulisic,10.0,"FW,MF",27-280,33,0,0,0,0,3,2,0,0,0,3,1,0,0,0,0,0,0,1bf33a9a,0f66725b,358fd0fc
Gio Reyna,7.0,AM,23-224,75,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7fa4e703,0f66725b,358fd0fc
Sergiño Dest,2.0,"DF,MF",25-234,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5976f83e,0f66725b,358fd0fc
Brenden Aaronson,11.0,AM,25-246,76,0,0,0,0,3,1,0,0,2,1,0,1,1,0,0,0,0,5bc43860,0f66725b,358fd0fc
Alejandro Zendejas,26.0,"FW,MF",28-138,14,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,d717b80e,0f66725b,358fd0fc
Weston McKennie,8.0,DM,27-301,85,0,0,0,0,3,1,0,0,1,0,0,2,2,1,0,0,0,01c3aff5,0f66725b,358fd0fc
Malik Tillman,17.0,"FW,MF",24-028,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a5420709,0f66725b,358fd0fc
Sebastian Berhalter,14.0,DM,25-046,90,1,1,0,0,1,1,1,0,3,4,0,8,0,2,0,0,0,f33ee427,0f66725b,358fd0fc
Auston Trusty,6.0,LB,27-317,90,1,0,0,0,3,2,0,0,2,0,0,1,1,4,0,0,0,cddf767b,0f66725b,358fd0fc
Mark McKenzie,22.0,CB,27-120,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,a5f5d094,0f66725b,358fd0fc
Miles Robinson,12.0,CB,29-103,90,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,782a95d9,0f66725b,358fd0fc
Joe Scally,23.0,RB,23-176,76,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,236f02cd,0f66725b,358fd0fc
Alex Freeman,16.0,DF,21-320,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,754f150b,0f66725b,358fd0fc
Matt Turner,1.0,GK,32-001,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4a51ba65,0f66725b,358fd0fc
