Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Julián Álvarez,9.0,FW,26-161,120,1,0,0,0,3,1,0,0,3,0,1,1,2,0,0,0,0,15ab5a2b,f9fddd6e,3ae43552
Lionel Messi,10.0,FW,39-017,120,0,1,0,0,4,1,0,0,0,1,2,11,2,0,0,0,0,d70ce98e,f9fddd6e,3ae43552
Alexis Mac Allister,20.0,AM,27-199,120,1,0,0,0,4,1,0,0,1,2,0,1,1,2,0,0,0,83d074ff,f9fddd6e,3ae43552
Enzo Fernández,24.0,AM,25-175,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5ff4ab71,f9fddd6e,3ae43552
Thiago Almada,16.0,"FW,MF",25-076,30,0,0,0,0,3,2,1,0,1,0,0,1,0,0,0,0,0,27f33438,f9fddd6e,3ae43552
Rodrigo De Paul,7.0,AM,32-048,84,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,162efffd,f9fddd6e,3ae43552
Lautaro Martínez,22.0,FW,28-323,36,1,0,0,0,2,1,1,0,1,1,0,0,0,1,0,0,0,f7036e1c,f9fddd6e,3ae43552
Leandro Paredes,5.0,DM,32-012,109,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,dff153a4,f9fddd6e,3ae43552
Flaco López,21.0,FW,25-217,11,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,e1426a52,f9fddd6e,3ae43552
Nicolás Tagliafico,3.0,LB,33-314,77,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,f0661424,f9fddd6e,3ae43552
Nicolás González,15.0,"FW,MF",28-096,43,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2374aaca,f9fddd6e,3ae43552
Lisandro Martínez,6.0,CB,28-174,120,0,0,0,0,2,1,0,0,2,2,0,0,1,1,0,0,0,bac46a10,f9fddd6e,3ae43552
Cristian Romero,13.0,CB,28-075,105,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,a3d94a58,f9fddd6e,3ae43552
Nicolás Otamendi,19.0,DF,38-149,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d267745,f9fddd6e,3ae43552
Nahuel Molina,26.0,RB,28-096,84,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,23610943,f9fddd6e,3ae43552
Gonzalo Montiel,4.0,DF,29-191,36,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,374d5158,f9fddd6e,3ae43552
Emiliano Martínez,23.0,GK,33-312,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,3ae43552
Breel Embolo,7.0,FW,29-147,71,0,0,0,0,1,1,2,1,2,3,1,0,0,0,0,0,0,0b4f388a,81021a70,3ae43552
Dan Ndoye,11.0,AM,25-259,85,1,0,0,0,3,2,0,0,1,0,1,2,0,0,0,0,0,8e697a8f,81021a70,3ae43552
Zeki Amdouni,23.0,"FW,MF",25-219,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2ee5b0c9,81021a70,3ae43552
Fabian Rieder,22.0,AM,24-145,85,0,0,0,0,1,0,0,0,1,2,0,5,1,0,0,0,0,c2bd8585,81021a70,3ae43552
Miro Muheim,2.0,"DF,MF",28-109,35,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,844c6a91,81021a70,3ae43552
Djibril Sow,15.0,AM,29-155,85,0,0,0,0,1,1,0,0,4,2,0,2,0,1,0,0,0,4c6facae,81021a70,3ae43552
Silvan Widmer,3.0,"DF,MF",33-128,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,f68b64fc,81021a70,3ae43552
Granit Xhaka,10.0,DM,33-287,120,0,0,0,0,3,1,0,0,2,0,0,3,0,0,0,0,0,e61b8aee,81021a70,3ae43552
Remo Freuler,8.0,DM,34-087,114,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,98d2c2c4,81021a70,3ae43552
Ruben Vargas,17.0,"FW,MF",27-340,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6ecbddf6,81021a70,3ae43552
Ricardo Rodríguez,13.0,LB,33-320,89,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,7f78ad23,81021a70,3ae43552
Eray Cömert,18.0,DF,28-157,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15937e17,81021a70,3ae43552
Manuel Akanji,5.0,CB,30-357,120,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,89ac64a6,81021a70,3ae43552
Nico Elvedi,4.0,CB,29-284,120,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,48035304,81021a70,3ae43552
Denis Zakaria,6.0,RB,29-233,95,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,384d58d9,81021a70,3ae43552
Ardon Jashari,14.0,MF,23-346,25,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,889588db,81021a70,3ae43552
Gregor Kobel,1.0,GK,28-217,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd59b9df,81021a70,3ae43552
