Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Raúl Jiménez,9.0,FW,35-037,75,1,0,0,0,4,2,0,0,1,0,1,0,1,0,0,0,0,b561db50,b009a548,3c1e3816
Armando González,14.0,FW,23-052,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1278bc9a,b009a548,3c1e3816
Julián Quiñones,16.0,LW,29-079,78,1,0,0,0,5,2,0,0,1,2,0,1,0,0,0,0,0,5535c728,b009a548,3c1e3816
Alexis Vega,10.0,"FW,MF",28-198,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,f40f4c38,b009a548,3c1e3816
Álvaro Fidalgo,8.0,AM,29-063,65,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,c705cdc4,b009a548,3c1e3816
Gilberto Mora,19.0,MF,17-240,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69c9ffe8,b009a548,3c1e3816
Brian Gutiérrez,26.0,AM,22-359,65,0,0,0,0,4,0,1,0,2,1,0,2,0,0,0,0,0,d88f31db,b009a548,3c1e3816
Luis Chávez,24.0,MF,30-147,25,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,e50949ea,b009a548,3c1e3816
Roberto Alvarado,25.0,RW,27-277,90,0,1,0,0,0,0,0,0,2,2,0,4,1,0,0,0,0,ff871e14,b009a548,3c1e3816
Erik Lira,6.0,DM,26-034,75,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,7b2c24ed,b009a548,3c1e3816
Edson Álvarez,4.0,"DF,MF",28-230,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8b3ab7ad,b009a548,3c1e3816
Jesús Gallardo,23.0,LB,31-300,90,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,d0846b6c,b009a548,3c1e3816
Johan Vásquez,5.0,CB,27-232,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5eaed77a,b009a548,3c1e3816
César Montes,3.0,CB,29-107,89,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,28e957d7,b009a548,3c1e3816
Israel Reyes,15.0,RB,26-019,90,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0db8bbc4,b009a548,3c1e3816
Raúl Rangel,1.0,GK,26-106,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f733fb,b009a548,3c1e3816
Lyle Foster,9.0,FW,25-281,55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,f84a807c,506f1741,3c1e3816
Thalente Mbatha,5.0,MF,26-087,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,f6272be9,506f1741,3c1e3816
Iqraam Rayners,15.0,FW,30-174,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190b0d5e,506f1741,3c1e3816
Evidence Makgopa,17.0,FW,26-006,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d76d03b,506f1741,3c1e3816
Jayden Adams,23.0,CM,25-037,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259affab,506f1741,3c1e3816
Themba Zwane,11.0,"FW,MF",36-312,23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,c6f21aa8,506f1741,3c1e3816
Sphephelo Sithole,13.0,CM,27-100,49,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,33bcd4b3,506f1741,3c1e3816
Teboho Mokoena,4.0,CM,29-138,90,0,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0,00029b1e,506f1741,3c1e3816
Aubrey Modiba,6.0,LB,30-324,76,0,0,0,0,1,1,0,0,2,2,1,2,1,0,0,0,0,bb1f97f2,506f1741,3c1e3816
Oswin Appollis,7.0,MF,24-290,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e8933eb0,506f1741,3c1e3816
Mbekezeli Mbokazi,14.0,CB,20-265,90,0,0,0,0,1,1,0,0,1,3,0,2,1,1,0,0,0,13398d42,506f1741,3c1e3816
Ime Okon,21.0,CB,22-111,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3cb58055,506f1741,3c1e3816
Nkosinathi Sibisi,19.0,CB,30-262,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,932f8e2b,506f1741,3c1e3816
Khuliso Mudau,20.0,RB,31-046,90,0,0,0,0,0,0,0,0,2,3,0,1,3,1,0,0,0,75388f92,506f1741,3c1e3816
Ronwen Williams,1.0,GK,34-141,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a66cc153,506f1741,3c1e3816
