Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Nestory Irankunda,17.0,FW,20-144,73,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4ac730b2,b90bf4f9,3ccca695
Mo Touré,9.0,FW,22-099,47,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,8ac64b4e,b90bf4f9,3ccca695
Connor Metcalfe,8.0,AM,26-240,90,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,73ce4d7d,b90bf4f9,3ccca695
Awer Mabil,11.0,"FW,MF",30-291,30,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,922da988,b90bf4f9,3ccca695
Cristian Volpato,20.0,AM,22-230,73,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,72f87f25,b90bf4f9,3ccca695
Ajdin Hrustic,10.0,MF,29-363,47,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,1f2d714c,b90bf4f9,3ccca695
Aziz Behich,16.0,DM,35-199,120,0,0,0,0,1,1,0,0,0,2,0,4,2,1,0,0,0,b6867b96,b90bf4f9,3ccca695
Aiden O'Neill,13.0,DM,27-364,90,0,0,0,0,1,0,0,0,1,2,0,5,0,0,0,0,0,c7aee75b,b90bf4f9,3ccca695
Paul Okon-Engstler,24.0,MF,21-160,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecd6464a,b90bf4f9,3ccca695
Jackson Irvine,22.0,DM,33-118,120,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0,4637747c,b90bf4f9,3ccca695
Jordy Bos,5.0,DM,23-247,45,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,8070a9fd,b90bf4f9,3ccca695
Kai Trewin,15.0,"DF,MF",25-046,75,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,1ab3d134,b90bf4f9,3ccca695
Lucas Herrington,25.0,CB,18-301,120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6f808c85,b90bf4f9,3ccca695
Harry Souttar,19.0,CB,27-254,120,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0a6cb1b1,b90bf4f9,3ccca695
Alessandro Circati,3.0,CB,22-266,120,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,0,0,1223765c,b90bf4f9,3ccca695
Patrick Beach,18.0,GK,22-331,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3cc64624,b90bf4f9,3ccca695
Mathew Ryan,1.0,GK,34-086,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535e4bb,b90bf4f9,3ccca695
Mostafa Ziko,11.0,FW,29-067,66,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,68ff8437,b8889750,3ccca695
Haissem Hassan,12.0,MF,24-145,54,0,0,0,0,1,0,1,0,1,0,0,7,0,0,0,0,0,e0979e74,b8889750,3ccca695
Mohamed Salah,10.0,FW,34-018,120,0,0,0,0,2,1,0,0,0,3,1,5,0,2,0,0,0,e342ad68,b8889750,3ccca695
Omar Marmoush,22.0,LW,27-146,105,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0e0102eb,b8889750,3ccca695
Hamza Abdelkarim,9.0,FW,18-183,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,057d8f12,b8889750,3ccca695
Emam Ashour,8.0,RW,28-133,120,1,0,0,0,5,1,0,0,1,5,0,0,0,1,0,0,0,31b7d437,b8889750,3ccca695
Marwan Attia,19.0,CM,27-325,119,0,0,0,0,3,0,0,0,1,0,0,3,1,1,0,0,0,1ea3d7ec,b8889750,3ccca695
Mahmoud Saber,21.0,MF,24-338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632c42f5,b8889750,3ccca695
Hamdy Fathy,14.0,CM,31-277,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,c8ef4955,b8889750,3ccca695
Hossam Abdelmaguid,4.0,DF,25-064,54,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,accbfc94,b8889750,3ccca695
Karim Hafez,15.0,LB,30-113,79,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,d2debf23,b8889750,3ccca695
Trézéguet,7.0,"FW,MF",31-275,41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3ae14ed1,b8889750,3ccca695
Ramy Rabia,5.0,CB,33-044,120,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,e32afa36,b8889750,3ccca695
Yasser Ibrahim,2.0,CB,33-143,120,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0b89ad1b,b8889750,3ccca695
Mohamed Hany,3.0,RB,30-159,120,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,9bcf1513,b8889750,3ccca695
Mostafa Shobeir,23.0,GK,26-049,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0cb1d2ba,b8889750,3ccca695
