Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Harry Kane,9.0,FW,32-330,90,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,21a66f6a,1862c019,3dac8725
Anthony Gordon,18.0,AM,25-119,64,0,0,0,0,1,1,0,0,1,3,0,1,1,0,0,0,0,2bd83368,1862c019,3dac8725
Bukayo Saka,7.0,"FW,MF",24-291,26,0,0,0,0,2,1,0,0,0,3,1,1,0,0,0,0,0,bc7dc64d,1862c019,3dac8725
Jude Bellingham,10.0,AM,22-359,73,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,57d88cf9,1862c019,3dac8725
Morgan Rogers,17.0,"FW,MF",23-332,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2e5915f1,1862c019,3dac8725
Noni Madueke,20.0,AM,24-105,82,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,bf34eebd,1862c019,3dac8725
Marcus Rashford,11.0,"FW,MF",28-235,8,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,a1d5bd30,1862c019,3dac8725
Declan Rice,4.0,DM,27-160,90,0,0,0,0,3,0,1,0,1,0,0,12,1,0,0,0,0,1c7012b8,1862c019,3dac8725
Elliot Anderson,8.0,DM,23-229,73,0,0,0,0,4,0,0,0,2,3,0,0,3,0,0,0,0,de31038e,1862c019,3dac8725
Eberechi Eze,21.0,"FW,MF",27-359,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ae4fc6a4,1862c019,3dac8725
Djed Spence,25.0,LB,25-318,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9bc9a519,1862c019,3dac8725
Nico O'Reilly,3.0,"DF,MF",21-094,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,91ca4a16,1862c019,3dac8725
Marc Guéhi,6.0,CB,25-345,90,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,d0706b27,1862c019,3dac8725
Ezri Konsa,2.0,CB,28-243,90,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0313a347,1862c019,3dac8725
Reece James,24.0,RB,26-197,90,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1265a93a,1862c019,3dac8725
Jordan Pickford,1.0,GK,32-108,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4806ec67,1862c019,3dac8725
Jordan Ayew,9.0,FW,34-285,66,0,0,0,0,0,0,0,0,4,3,0,2,2,0,0,0,0,da052c14,9349828d,3dac8725
Prince Kwabena Adu,25.0,FW,22-273,23,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,36bdd145,9349828d,3dac8725
Abdul Rahman Baba,17.0,"DF,MF",31-356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e4086af3,9349828d,3dac8725
Antoine Semenyo,11.0,LW,26-167,90,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,efd2ec23,9349828d,3dac8725
Kwasi Sibo,8.0,AM,27-364,90,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,be834ad7,9349828d,3dac8725
Caleb Yirenkyi,3.0,AM,20-159,90,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,d40ce7b0,9349828d,3dac8725
Iñaki Williams,19.0,RW,32-008,65,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,6a99e0b1,9349828d,3dac8725
Abdul Fatawu Issahaku,7.0,"FW,MF",22-107,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bceda5ff,9349828d,3dac8725
Thomas Partey,5.0,DM,33-010,90,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,529f49ab,9349828d,3dac8725
Gideon Mensah,14.0,LB,27-340,90,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0,9bdd8118,9349828d,3dac8725
Jerome Opoku,18.0,CB,27-252,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,091d6ee5,9349828d,3dac8725
Jonas Adjetey,4.0,CB,22-192,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,bdbf78cd,9349828d,3dac8725
Marvin Senaya,26.0,RB,25-146,86,0,0,0,0,1,0,0,0,2,2,0,2,5,2,0,0,0,1d383c10,9349828d,3dac8725
Kojo Peprah Oppong,21.0,DF,22-019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37a6fdb3,9349828d,3dac8725
Benjamin Asare,16.0,GK,33-345,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4bb65492,9349828d,3dac8725
