Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Raúl Jiménez,9.0,FW,35-061,90,1,0,1,1,8,3,0,0,3,0,1,0,0,0,0,0,0,b561db50,b009a548,3ed2ad56
Julián Quiñones,16.0,FW,29-103,80,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,5535c728,b009a548,3ed2ad56
Guillermo Martínez Ayala,22.0,FW,31-112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59146354,b009a548,3ed2ad56
Roberto Alvarado,25.0,FW,27-301,90,0,0,0,0,0,0,0,0,0,1,0,23,1,1,0,0,0,ff871e14,b009a548,3ed2ad56
Luis Romo,7.0,CM,31-030,60,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,e590bb10,b009a548,3ed2ad56
Brian Gutiérrez,26.0,MF,23-018,30,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,d88f31db,b009a548,3ed2ad56
Gilberto Mora,19.0,CM,17-264,60,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,69c9ffe8,b009a548,3ed2ad56
Santiago Giménez,11.0,FW,25-078,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37337aea,b009a548,3ed2ad56
Erik Lira,6.0,DM,26-058,90,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,7b2c24ed,b009a548,3ed2ad56
Jesús Gallardo,23.0,LB,31-324,90,0,0,0,0,1,0,0,0,2,2,0,13,1,2,0,0,0,d0846b6c,b009a548,3ed2ad56
Johan Vásquez,5.0,CB,27-256,90,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,5eaed77a,b009a548,3ed2ad56
César Montes,3.0,CB,29-131,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28e957d7,b009a548,3ed2ad56
Edson Álvarez,4.0,"DF,MF",28-254,45,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8b3ab7ad,b009a548,3ed2ad56
Jorge Sánchez,2.0,RB,28-207,78,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,c8d1c3a5,b009a548,3ed2ad56
Álvaro Fidalgo,8.0,MF,29-087,12,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,c705cdc4,b009a548,3ed2ad56
Raúl Rangel,1.0,GK,26-130,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15f733fb,b009a548,3ed2ad56
Harry Kane,9.0,FW,32-342,89,1,1,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,21a66f6a,1862c019,3ed2ad56
Morgan Rogers,17.0,"FW,MF",23-344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e5915f1,1862c019,3ed2ad56
Anthony Gordon,18.0,AM,25-131,90,0,0,0,0,1,1,0,0,0,4,0,0,1,1,0,0,0,2bd83368,1862c019,3ed2ad56
Jude Bellingham,10.0,AM,23-006,90,2,0,0,0,3,3,0,0,1,2,0,0,2,0,0,0,0,57d88cf9,1862c019,3ed2ad56
Bukayo Saka,7.0,AM,24-303,56,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,bc7dc64d,1862c019,3ed2ad56
John Stones,5.0,DF,32-038,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eecec3d,1862c019,3ed2ad56
Elliot Anderson,8.0,DM,23-241,74,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,de31038e,1862c019,3ed2ad56
Dan Burn,15.0,DF,34-057,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b2d31e83,1862c019,3ed2ad56
Declan Rice,4.0,DM,27-172,90,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1c7012b8,1862c019,3ed2ad56
Nico O'Reilly,3.0,LB,21-106,73,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,91ca4a16,1862c019,3ed2ad56
Djed Spence,25.0,"DF,MF",25-330,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9bc9a519,1862c019,3ed2ad56
Marc Guéhi,6.0,CB,25-357,90,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,d0706b27,1862c019,3ed2ad56
Ezri Konsa,2.0,CB,28-255,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0313a347,1862c019,3ed2ad56
Jarell Quansah,26.0,RB,23-157,53,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4125cb98,1862c019,3ed2ad56
Jordan Pickford,1.0,GK,32-120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806ec67,1862c019,3ed2ad56
