Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kai Havertz,7.0,FW,27-009,84,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,fed7cb61,c1e40422,43fec9f3
Leon Goretzka,8.0,MF,31-134,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cc86b9a3,c1e40422,43fec9f3
Florian Wirtz,17.0,AM,23-048,90,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,e7fcf289,c1e40422,43fec9f3
Jamal Musiala,10.0,AM,23-114,59,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,2c0558b8,c1e40422,43fec9f3
Deniz Undav,26.0,"FW,MF",29-336,31,2,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,dd549382,c1e40422,43fec9f3
Leroy Sané,19.0,AM,30-160,59,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2b114be3,c1e40422,43fec9f3
Jamie Leweling,9.0,"FW,MF",25-114,31,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,13fe7b69,c1e40422,43fec9f3
Aleksandar Pavlovic,5.0,DM,22-048,59,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2658c82f,c1e40422,43fec9f3
Nadiem Amiri,20.0,MF,29-236,31,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,555d5edd,c1e40422,43fec9f3
Felix Nmecha,23.0,DM,25-253,90,0,1,0,0,2,0,0,0,1,1,0,1,5,2,0,0,0,091c86e2,c1e40422,43fec9f3
Nathaniel Brown,18.0,LB,23-004,90,0,0,0,0,1,1,0,0,0,0,0,3,2,1,0,0,0,abc79c47,c1e40422,43fec9f3
Nico Schlotterbeck,15.0,CB,26-201,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34e12499,c1e40422,43fec9f3
Antonio Rüdiger,2.0,DF,33-109,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18b896d6,c1e40422,43fec9f3
Jonathan Tah,4.0,CB,30-129,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,bd142efb,c1e40422,43fec9f3
Joshua Kimmich,6.0,RB,31-132,90,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,49296448,c1e40422,43fec9f3
Manuel Neuer,1.0,GK,40-085,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8778c910,c1e40422,43fec9f3
Ange-Yoan Bonny,9.0,FW,22-238,74,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,64629ba4,24772b12,43fec9f3
Evann Guessand,22.0,"FW,MF",24-354,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b73f17f8,24772b12,43fec9f3
Yan Diomandé,11.0,FW,19-218,84,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,919f5f54,24772b12,43fec9f3
Nicolas Pépé,19.0,"FW,MF",31-022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57e3f0c7,24772b12,43fec9f3
Amad Diallo,15.0,FW,23-344,74,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,9dc96f10,24772b12,43fec9f3
Simon Adingra,10.0,"FW,MF",24-170,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4dcec659,24772b12,43fec9f3
Christ Inao Oulaï,26.0,CM,20-075,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,0,62709ee4,24772b12,43fec9f3
Franck Kessié,8.0,CM,29-183,90,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,05e19d6a,24772b12,43fec9f3
Ibrahim Sangaré,18.0,DM,28-200,74,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,bced0375,24772b12,43fec9f3
Seko Fofana,6.0,MF,31-044,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5313ed43,24772b12,43fec9f3
Ghislain Konan,3.0,LB,30-175,90,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,6b2c894b,24772b12,43fec9f3
Emmanuel Agbadou,20.0,CB,29-003,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,75f1ed80,24772b12,43fec9f3
Odilon Kossounou,7.0,CB,25-167,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1f3afdcb,24772b12,43fec9f3
Wilfried Singo,5.0,RB,25-177,81,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,8b609c34,24772b12,43fec9f3
Guéla Doué,17.0,DF,23-246,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b4ef3fb5,24772b12,43fec9f3
Yahia Fofana,1.0,GK,25-303,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9d420dad,24772b12,43fec9f3
