Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Harry Kane,9.0,FW,32-352,90,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,21a66f6a,1862c019,47dbfe60
Anthony Gordon,18.0,AM,25-141,71,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,2bd83368,1862c019,47dbfe60
Ezri Konsa,2.0,"DF,FW",28-265,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0313a347,1862c019,47dbfe60
Jude Bellingham,10.0,AM,23-016,90,0,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,0,57d88cf9,1862c019,47dbfe60
Morgan Rogers,17.0,AM,23-354,90,0,1,0,0,1,0,0,0,2,1,1,4,0,0,0,0,0,2e5915f1,1862c019,47dbfe60
Elliot Anderson,8.0,DM,23-251,90,0,0,0,0,0,0,1,0,2,4,0,0,2,1,0,0,0,de31038e,1862c019,47dbfe60
Declan Rice,4.0,DM,27-182,82,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,1c7012b8,1862c019,47dbfe60
Nico O'Reilly,3.0,"DF,MF",21-116,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91ca4a16,1862c019,47dbfe60
Djed Spence,25.0,LB,25-340,89,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,9bc9a519,1862c019,47dbfe60
Marcus Rashford,11.0,"FW,MF",28-257,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,a1d5bd30,1862c019,47dbfe60
Marc Guéhi,6.0,CB,26-002,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,d0706b27,1862c019,47dbfe60
John Stones,5.0,CB,32-048,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5eecec3d,1862c019,47dbfe60
Ivan Toney,22.0,FW,30-121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e09f279b,1862c019,47dbfe60
Reece James,24.0,RB,26-219,81,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1265a93a,1862c019,47dbfe60
Dan Burn,15.0,DF,34-067,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b2d31e83,1862c019,47dbfe60
Jordan Pickford,1.0,GK,32-130,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4806ec67,1862c019,47dbfe60
Lionel Messi,10.0,FW,39-021,90,0,2,0,0,1,0,0,0,0,2,1,9,1,0,0,0,0,d70ce98e,f9fddd6e,47dbfe60
Julián Álvarez,9.0,FW,26-165,90,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,15ab5a2b,f9fddd6e,47dbfe60
Giuliano Simeone,17.0,FW,23-209,71,0,0,0,0,0,0,0,0,5,1,1,2,1,1,0,0,0,a6536561,f9fddd6e,47dbfe60
Rodrigo De Paul,7.0,"FW,MF",32-052,19,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,162efffd,f9fddd6e,47dbfe60
Alexis Mac Allister,20.0,CM,27-203,90,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,83d074ff,f9fddd6e,47dbfe60
Enzo Fernández,24.0,CM,25-179,90,1,0,0,0,4,1,0,0,3,1,0,1,1,0,0,0,0,5ff4ab71,f9fddd6e,47dbfe60
Leandro Paredes,5.0,DM,32-016,63,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,dff153a4,f9fddd6e,47dbfe60
Nicolás González,15.0,"FW,MF",28-100,27,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,2374aaca,f9fddd6e,47dbfe60
Nicolás Tagliafico,3.0,LB,33-318,80,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,f0661424,f9fddd6e,47dbfe60
Lautaro Martínez,22.0,FW,28-327,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,f7036e1c,f9fddd6e,47dbfe60
Lisandro Martínez,6.0,CB,28-178,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,bac46a10,f9fddd6e,47dbfe60
Nicolás Otamendi,19.0,DF,38-153,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d267745,f9fddd6e,47dbfe60
Cristian Romero,13.0,CB,28-079,90,0,0,0,0,0,0,1,0,2,1,0,0,3,2,0,0,0,a3d94a58,f9fddd6e,47dbfe60
Nahuel Molina,26.0,RB,28-100,71,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,23610943,f9fddd6e,47dbfe60
Gonzalo Montiel,4.0,DF,29-195,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,374d5158,f9fddd6e,47dbfe60
Emiliano Martínez,23.0,GK,33-316,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7956236f,f9fddd6e,47dbfe60
