Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Matheus Cunha,9.0,FW,27-023,63,2,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,0,dc62b55d,304635c3,48cce92a
Endrick,19.0,FW,19-333,27,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,a2728fbf,304635c3,48cce92a
Vinicius Júnior,7.0,FW,25-342,80,1,1,0,0,3,2,0,0,0,1,2,1,0,0,0,0,0,7111d552,304635c3,48cce92a
Danilo Santos,18.0,MF,25-051,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a816dbfb,304635c3,48cce92a
Raphinha,11.0,FW,29-187,39,0,0,0,0,1,1,0,0,1,0,2,5,0,0,0,0,0,3423f250,304635c3,48cce92a
Rayan,26.0,MF,19-320,51,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,288647fc,304635c3,48cce92a
Lucas Paquetá,20.0,CM,28-296,63,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,9b6f7fd5,304635c3,48cce92a
Gabriel Martinelli,22.0,"FW,MF",25-001,27,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,48a5a5d6,304635c3,48cce92a
Bruno Guimarães,8.0,CM,28-215,80,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,82518f62,304635c3,48cce92a
Éderson Silva,2.0,MF,26-347,10,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,a9202def,304635c3,48cce92a
Casemiro,5.0,DM,34-116,90,0,0,0,0,0,0,0,0,2,2,0,0,3,1,0,0,0,4d224fe8,304635c3,48cce92a
Douglas Santos,16.0,LB,32-089,90,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,c50e5bba,304635c3,48cce92a
Gabriel Magalhães,3.0,CB,28-182,90,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,67ac5bb8,304635c3,48cce92a
Marquinhos,4.0,CB,32-036,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,d5f2f82b,304635c3,48cce92a
Danilo,13.0,RB,34-339,90,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,94b2001f,304635c3,48cce92a
Alisson,1.0,GK,33-260,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7a2e46a8,304635c3,48cce92a
Frantzdy Pierrot,20.0,FW,31-082,45,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,307877be,61828292,48cce92a
Wilson Isidor,18.0,"FW,MF",25-296,45,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,a671316d,61828292,48cce92a
Ruben Providence,15.0,AM,24-347,70,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,26bab383,61828292,48cce92a
Lenny Joseph,16.0,"FW,MF",25-250,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d1828392,61828292,48cce92a
Josué Casimir,21.0,AM,24-268,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,481f76cf,61828292,48cce92a
Louicius Deedson,11.0,MF,25-128,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,f7059bb1,61828292,48cce92a
Martin Expérience,8.0,DM,27-102,90,0,0,0,0,0,0,0,0,3,3,0,1,4,1,0,0,0,9edb83f4,61828292,48cce92a
Jean-Ricner Bellegarde,10.0,DM,27-357,80,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,10f0fdd3,61828292,48cce92a
Derrick Etienne,7.0,"FW,MF",29-206,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,59059f1e,61828292,48cce92a
Danley Jean-Jacques,17.0,DM,26-030,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,59fcbd6d,61828292,48cce92a
Carlens Arcus,2.0,DM,29-356,45,0,0,0,0,0,0,1,0,2,1,2,0,2,0,0,0,0,5e837126,61828292,48cce92a
Dominique Simon,25.0,MF,25-325,45,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,ffd8e8c5,61828292,48cce92a
Hannes Delcroix,5.0,CB,27-111,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,b737f944,61828292,48cce92a
Ricardo Adé,4.0,CB,36-029,90,0,0,0,0,2,1,0,0,3,1,0,0,1,1,0,0,0,a9ee5e81,61828292,48cce92a
Jean-Kevin Duverne,22.0,CB,28-342,90,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0cbc8baa,61828292,48cce92a
Johny Placide,1.0,GK,38-141,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f1666a9d,61828292,48cce92a
