Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Darwin Núñez,9.0,FW,27-002,90,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,4d77b365,870e020f,48dd64d5
Maxi Araújo,20.0,FW,26-131,90,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,f9ab3f4a,870e020f,48dd64d5
Agustín Canobbio,14.0,FW,27-268,89,0,0,0,0,1,0,0,1,3,4,1,2,0,0,0,0,0,4f5a2f38,870e020f,48dd64d5
Federico Valverde,8.0,CM,27-339,56,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0959c2a2,870e020f,48dd64d5
Federico Viñas,21.0,FW,27-361,34,0,0,0,0,1,0,0,0,3,2,0,0,2,1,0,0,0,d30c7094,870e020f,48dd64d5
Rodrigo Bentancur,6.0,CM,29-001,90,0,0,0,0,1,0,0,0,3,2,0,2,2,3,0,0,0,3b8674e6,870e020f,48dd64d5
Manuel Ugarte,5.0,DM,25-076,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,c9817014,870e020f,48dd64d5
Nicolás De La Cruz,7.0,MF,29-025,46,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,8fda5c72,870e020f,48dd64d5
Juan Manuel Sanabria,25.0,LB,26-089,69,0,0,0,0,0,0,1,0,1,0,0,2,4,1,0,0,0,f1d74479,870e020f,48dd64d5
Brian Rodríguez,18.0,"FW,MF",26-037,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c86041d7,870e020f,48dd64d5
Mathías Olivera,16.0,CB,28-238,90,0,0,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,41c12f75,870e020f,48dd64d5
Sebastián Cáceres,3.0,CB,26-312,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7091c68e,870e020f,48dd64d5
Guillermo Varela,13.0,RB,33-094,90,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,5c961282,870e020f,48dd64d5
Fernando Muslera,23.0,GK,40-010,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2abe631,870e020f,48dd64d5
Sergio Rochet,1.0,GK,33-095,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81b99b9e,870e020f,48dd64d5
Mikel Oyarzabal,21.0,FW,29-066,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8c3c640c,b561dd30,48dd64d5
Ferrán Torres,7.0,"FW,MF",26-117,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9e1035f8,b561dd30,48dd64d5
Álex Baena,15.0,FW,24-341,65,1,0,0,0,1,1,1,0,4,0,0,6,1,0,0,0,0,518f2234,b561dd30,48dd64d5
Yéremy Pino,11.0,"FW,MF",23-249,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540ec57b,b561dd30,48dd64d5
Lamine Yamal,19.0,FW,18-348,75,0,0,0,0,1,0,0,0,0,1,1,3,1,1,0,0,0,82ec26c1,b561dd30,48dd64d5
Nico Williams,17.0,MF,23-349,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,afdc14d7,b561dd30,48dd64d5
Pedri,20.0,CM,23-213,59,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0d9b2d31,b561dd30,48dd64d5
Fabián Ruiz Peña,8.0,MF,30-084,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,c0c7ff58,b561dd30,48dd64d5
Mikel Merino,6.0,CM,30-004,59,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,d080ed5e,b561dd30,48dd64d5
Dani Olmo,10.0,"FW,MF",28-050,31,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,ae44e8e2,b561dd30,48dd64d5
Rodri,16.0,DM,30-004,90,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,6434f10d,b561dd30,48dd64d5
Marc Cucurella,24.0,LB,27-339,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1daec722,b561dd30,48dd64d5
Aymeric Laporte,14.0,CB,32-030,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,119b9a8e,b561dd30,48dd64d5
Pau Cubarsí,22.0,CB,19-155,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,cc7888f3,b561dd30,48dd64d5
Marcos Llorente,5.0,RB,31-147,90,0,1,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,02c15616,b561dd30,48dd64d5
Unai Simón,23.0,GK,29-015,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5dcf3e90,b561dd30,48dd64d5
