Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Erling Haaland,9.0,FW,25-355,105,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1f44ac21,599eba19,4a03a810
Jørgen Strand Larsen,11.0,FW,26-155,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f553b2b3,599eba19,4a03a810
Andreas Schjelderup,21.0,FW,22-040,67,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,a427724f,599eba19,4a03a810
Antonio Nusa,20.0,"FW,MF",21-085,53,0,0,0,0,3,1,0,0,0,1,1,3,1,1,0,0,0,4ab12002,599eba19,4a03a810
Alexander Sørloth,7.0,FW,30-218,67,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,e92cd3f7,599eba19,4a03a810
Oscar Bobb,22.0,"FW,MF",22-364,53,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,eed2427e,599eba19,4a03a810
Patrick Berg,6.0,CM,28-229,120,0,0,0,0,1,0,0,0,1,1,0,3,2,0,0,0,0,e4114f5d,599eba19,4a03a810
Martin Ødegaard,10.0,CM,27-206,120,0,1,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,79300479,599eba19,4a03a810
Sander Berge,8.0,DM,28-147,120,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,d0b6129f,599eba19,4a03a810
David Møller Wolfe,5.0,LB,24-079,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9affc5f2,599eba19,4a03a810
Marcus Pedersen,16.0,"DF,MF",25-360,31,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,596cc50e,599eba19,4a03a810
Torbjørn Heggem,17.0,CB,27-180,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,834fea76,599eba19,4a03a810
Leo Østigård,4.0,"DF,FW",26-225,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,b35a7399,599eba19,4a03a810
Kristoffer Ajer,3.0,CB,28-085,120,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,a8c0acb7,599eba19,4a03a810
Julian Ryerson,26.0,RB,28-236,59,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,0,0,009a4f60,599eba19,4a03a810
Fredrik Aursnes,14.0,"DF,MF",30-213,61,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,f0677ed7,599eba19,4a03a810
Ørjan Nyland,1.0,GK,35-304,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdedffac,599eba19,4a03a810
Harry Kane,9.0,FW,32-348,120,0,0,0,0,3,2,0,0,1,1,1,0,1,0,0,0,0,21a66f6a,1862c019,4a03a810
Anthony Gordon,18.0,AM,25-137,70,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,2bd83368,1862c019,4a03a810
Reece James,24.0,"DF,MF",26-215,50,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1265a93a,1862c019,4a03a810
Jude Bellingham,10.0,AM,23-012,110,2,0,0,0,5,2,0,0,1,4,0,0,0,1,0,0,0,57d88cf9,1862c019,4a03a810
Dan Burn,15.0,DF,34-063,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b2d31e83,1862c019,4a03a810
Noni Madueke,20.0,AM,24-123,45,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,bf34eebd,1862c019,4a03a810
Bukayo Saka,7.0,"FW,MF",24-309,75,0,0,0,0,3,2,0,0,1,1,1,5,3,1,0,0,0,bc7dc64d,1862c019,4a03a810
Elliot Anderson,8.0,DM,23-247,120,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,de31038e,1862c019,4a03a810
Declan Rice,4.0,DM,27-178,45,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1c7012b8,1862c019,4a03a810
Eberechi Eze,21.0,"FW,MF",28-012,75,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,ae4fc6a4,1862c019,4a03a810
Nico O'Reilly,3.0,LB,21-112,85,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,91ca4a16,1862c019,4a03a810
Djed Spence,25.0,"DF,MF",25-336,35,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,9bc9a519,1862c019,4a03a810
Marc Guéhi,6.0,CB,25-363,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d0706b27,1862c019,4a03a810
John Stones,5.0,CB,32-044,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5eecec3d,1862c019,4a03a810
Ezri Konsa,2.0,RB,28-261,88,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0313a347,1862c019,4a03a810
Morgan Rogers,17.0,"FW,MF",23-350,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2e5915f1,1862c019,4a03a810
Jordan Pickford,1.0,GK,32-126,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806ec67,1862c019,4a03a810
