Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mo Touré,9.0,FW,22-079,73,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,8ac64b4e,b90bf4f9,4ff2342a
Tete Yengi,26.0,FW,25-197,17,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1c215c70,b90bf4f9,4ff2342a
Nestory Irankunda,17.0,LM,20-124,60,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,4ac730b2,b90bf4f9,4ff2342a
Nishan Velupillay,23.0,MF,25-037,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40cb6b33,b90bf4f9,4ff2342a
Paul Okon-Engstler,24.0,CM,21-140,83,0,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,ecd6464a,b90bf4f9,4ff2342a
Jackson Irvine,22.0,"DF,MF",33-098,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4637747c,b90bf4f9,4ff2342a
Aiden O'Neill,13.0,CM,27-344,90,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,c7aee75b,b90bf4f9,4ff2342a
Connor Metcalfe,8.0,RM,26-220,90,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,73ce4d7d,b90bf4f9,4ff2342a
Jordy Bos,5.0,LB,23-227,83,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,8070a9fd,b90bf4f9,4ff2342a
Aziz Behich,16.0,"DF,MF",35-179,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b6867b96,b90bf4f9,4ff2342a
Cameron Burgess,21.0,CB,30-235,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,da61ca98,b90bf4f9,4ff2342a
Harry Souttar,19.0,CB,27-234,90,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0a6cb1b1,b90bf4f9,4ff2342a
Alessandro Circati,3.0,CB,22-246,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1223765c,b90bf4f9,4ff2342a
Jacob Italiano,4.0,RB,24-318,73,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2eb0ee9a,b90bf4f9,4ff2342a
Jason Geria,6.0,DF,33-034,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,cd494a8d,b90bf4f9,4ff2342a
Patrick Beach,18.0,GK,22-311,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3cc64624,b90bf4f9,4ff2342a
Kerem Aktürkoğlu,7.0,FW,27-235,84,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,0,0,f28659fb,ac6bcf92,4ff2342a
Deniz Gül,9.0,FW,21-346,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f0fb443e,ac6bcf92,4ff2342a
Barış Alper Yılmaz,21.0,AM,26-021,45,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,414b2ce4,ac6bcf92,4ff2342a
Kenan Yıldız,11.0,"FW,MF",21-040,45,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,d8cda243,ac6bcf92,4ff2342a
Orkun Kökçü,6.0,AM,25-166,61,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,9bf914b4,ac6bcf92,4ff2342a
Yunus Akgün,19.0,MF,25-341,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1453e3cf,ac6bcf92,4ff2342a
Arda Güler,8.0,AM,21-108,90,0,0,0,0,8,3,0,0,0,2,0,5,1,1,0,0,0,3741ca58,ac6bcf92,4ff2342a
Hakan Çalhanoğlu,10.0,DM,32-125,90,0,0,0,0,5,2,0,0,1,1,0,4,0,1,0,0,0,cd0fa27b,ac6bcf92,4ff2342a
İsmail Yüksek,16.0,DM,27-138,80,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,6c5af908,ac6bcf92,4ff2342a
Salih Özcan,5.0,MF,28-153,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15413fa5,ac6bcf92,4ff2342a
Ferdi Kadioglu,20.0,LB,26-249,90,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,66c52a77,ac6bcf92,4ff2342a
Abdülkerim Bardakcı,14.0,CB,31-279,90,0,0,0,0,1,1,0,0,0,2,0,1,1,1,0,0,0,5d9cff53,ac6bcf92,4ff2342a
Merih Demiral,3.0,CB,28-100,90,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,e3cceee6,ac6bcf92,4ff2342a
Zeki Çelik,2.0,RB,29-116,80,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,31a62dc7,ac6bcf92,4ff2342a
Mert Müldür,18.0,DF,27-071,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295552e,ac6bcf92,4ff2342a
Uğurcan Çakır,23.0,GK,30-069,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f63a8347,ac6bcf92,4ff2342a
