Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Raúl Jiménez,9.0,FW,35-044,79,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,b561db50,b009a548,50a429da
Santiago Giménez,11.0,FW,25-061,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37337aea,b009a548,50a429da
Julián Quiñones,16.0,FW,29-086,83,0,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0,5535c728,b009a548,50a429da
César Huerta,21.0,"FW,MF",25-197,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,de2f44ce,b009a548,50a429da
Roberto Alvarado,25.0,FW,27-284,79,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,ff871e14,b009a548,50a429da
Israel Reyes,15.0,"DF,MF",26-026,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0db8bbc4,b009a548,50a429da
Luis Romo,7.0,CM,31-013,70,1,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,e590bb10,b009a548,50a429da
Obed Vargas,18.0,MF,20-317,20,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9cc1fde4,b009a548,50a429da
Brian Gutiérrez,26.0,CM,23-001,70,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,d88f31db,b009a548,50a429da
Orbelín Pineda,17.0,"FW,MF",30-086,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411fabd7,b009a548,50a429da
Erik Lira,6.0,DM,26-041,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7b2c24ed,b009a548,50a429da
Jesús Gallardo,23.0,LB,31-307,90,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,d0846b6c,b009a548,50a429da
Johan Vásquez,5.0,CB,27-239,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eaed77a,b009a548,50a429da
Edson Álvarez,4.0,CB,28-237,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8b3ab7ad,b009a548,50a429da
Jorge Sánchez,2.0,RB,28-190,90,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,c8d1c3a5,b009a548,50a429da
Raúl Rangel,1.0,GK,26-113,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f733fb,b009a548,50a429da
Son Heung-min,7.0,FW,33-345,56,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,92e7e919,473f0fbf,50a429da
Oh Hyeon-gyu,18.0,FW,25-067,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,d25422fb,473f0fbf,50a429da
Lee Jae-sung,10.0,FW,33-312,56,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,34b0387f,473f0fbf,50a429da
Hwang Hee-chan,11.0,"FW,MF",30-143,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,169fd162,473f0fbf,50a429da
Lee Kang-in,19.0,FW,25-119,90,0,0,0,0,2,0,1,0,1,1,0,3,0,0,0,0,0,8455ad90,473f0fbf,50a429da
Seol Young-woo,22.0,LM,27-195,70,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,8e577e1d,473f0fbf,50a429da
Yang Hyun-jun,20.0,"FW,MF",24-024,20,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,f4cda99f,473f0fbf,50a429da
Paik Seung-ho,8.0,CM,29-093,76,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1e1bea09,473f0fbf,50a429da
Cho Gue-sung,9.0,FW,28-144,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,ccfa8e5e,473f0fbf,50a429da
Hwang In-beom,6.0,CM,29-271,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,92fa5d28,473f0fbf,50a429da
Kim Moon-hwan,15.0,RM,30-321,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6bce7dd8,473f0fbf,50a429da
Eom Ji-sung,25.0,MF,24-040,20,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3a049da1,473f0fbf,50a429da
Lee Gi-hyuk,3.0,CB,25-346,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18c8c3c7,473f0fbf,50a429da
Kim Min-jae,4.0,CB,29-215,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,e0f8151c,473f0fbf,50a429da
Lee Han-beom,2.0,CB,24-001,90,0,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,0,071f2dd3,473f0fbf,50a429da
Kim Seung-gyu,1.0,GK,35-261,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eabaafa6,473f0fbf,50a429da
