Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Breel Embolo,7.0,FW,29-124,88,0,1,0,0,1,0,0,0,1,4,2,0,0,0,0,0,0,0b4f388a,81021a70,5134daab
Cedric Itten,26.0,"FW,MF",29-173,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ef233486,81021a70,5134daab
Dan Ndoye,11.0,FW,25-236,70,0,0,0,0,4,2,0,0,1,2,1,4,1,0,0,0,0,8e697a8f,81021a70,5134daab
Johan Manzambi,9.0,MF,20-247,20,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,8fcf0e12,81021a70,5134daab
Michel Aebischer,20.0,FW,29-163,70,0,0,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,f9c927de,81021a70,5134daab
Djibril Sow,15.0,MF,29-132,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4c6facae,81021a70,5134daab
Fabian Rieder,22.0,CM,24-122,70,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,c2bd8585,81021a70,5134daab
Ruben Vargas,17.0,"FW,MF",27-317,20,1,1,0,0,2,2,0,0,0,0,0,4,1,0,0,0,0,6ecbddf6,81021a70,5134daab
Remo Freuler,8.0,CM,34-064,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,98d2c2c4,81021a70,5134daab
Granit Xhaka,10.0,DM,33-264,90,1,0,1,1,2,1,0,0,1,2,0,1,2,1,0,0,0,e61b8aee,81021a70,5134daab
Ricardo Rodríguez,13.0,LB,33-297,90,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,7f78ad23,81021a70,5134daab
Manuel Akanji,5.0,CB,30-334,90,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,89ac64a6,81021a70,5134daab
Nico Elvedi,4.0,CB,29-261,90,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,48035304,81021a70,5134daab
Silvan Widmer,3.0,RB,33-105,85,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,f68b64fc,81021a70,5134daab
Luca Jaquez,25.0,DF,23-016,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a400da8e,81021a70,5134daab
Gregor Kobel,1.0,GK,28-194,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd59b9df,81021a70,5134daab
Edin Džeko,11.0,FW,40-093,63,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,0,0,3bb7f478,6c5ef1c3,5134daab
Esmir Bajraktarevic,20.0,MF,21-100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dff24174,6c5ef1c3,5134daab
Ermedin Demirović,10.0,FW,28-085,84,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,ed79b7d3,6c5ef1c3,5134daab
Jovo Lukić,25.0,FW,27-202,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2056e82,6c5ef1c3,5134daab
Kerim Alajbegović,19.0,LW,18-270,89,0,0,0,0,0,0,0,0,1,1,0,5,0,1,0,0,0,f3d9291e,6c5ef1c3,5134daab
Ermin Mahmić,26.0,MF,21-096,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,86e34165,6c5ef1c3,5134daab
Amar Memić,15.0,RW,25-149,90,0,0,0,0,1,1,0,0,2,1,0,2,1,0,0,0,0,918c187c,6c5ef1c3,5134daab
Benjamin Tahirovic,6.0,CM,23-107,62,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,eb3022c3,6c5ef1c3,5134daab
Ivan Bašić,13.0,MF,24-049,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9b0a0d51,6c5ef1c3,5134daab
Ivan Šunjić,14.0,CM,29-252,84,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,e18098de,6c5ef1c3,5134daab
Amir Hadžiahmetović,16.0,MF,29-102,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,e8213ed3,6c5ef1c3,5134daab
Sead Kolašinac,5.0,LB,32-363,90,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,3935e52e,6c5ef1c3,5134daab
Tarik Muharemovic,4.0,CB,23-110,79,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,426dda23,6c5ef1c3,5134daab
Nikola Katić,18.0,CB,29-251,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,35bd124a,6c5ef1c3,5134daab
Amar Dedić,7.0,RB,23-304,90,0,0,0,0,1,1,1,0,3,2,0,0,1,1,0,0,0,bc6e544a,6c5ef1c3,5134daab
Nikola Vasilj,1.0,GK,30-198,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f038585f,6c5ef1c3,5134daab
