Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Harry Kane,9.0,FW,32-338,90,2,0,0,0,5,3,0,0,0,2,0,0,0,1,0,0,0,21a66f6a,1862c019,520a5665
Marcus Rashford,11.0,AM,28-243,60,0,0,0,0,3,1,0,0,2,1,0,4,1,0,0,0,0,a1d5bd30,1862c019,520a5665
Anthony Gordon,18.0,"FW,MF",25-127,30,0,2,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,2bd83368,1862c019,520a5665
Jude Bellingham,10.0,AM,23-002,90,0,0,0,0,3,3,1,0,2,1,0,4,0,0,0,0,0,57d88cf9,1862c019,520a5665
Noni Madueke,20.0,AM,24-113,60,0,0,0,0,2,0,0,0,1,1,0,10,2,1,0,0,0,bf34eebd,1862c019,520a5665
Bukayo Saka,7.0,"FW,MF",24-299,30,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,bc7dc64d,1862c019,520a5665
Declan Rice,4.0,DM,27-168,89,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1c7012b8,1862c019,520a5665
John Stones,5.0,DF,32-034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eecec3d,1862c019,520a5665
Elliot Anderson,8.0,DM,23-237,90,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,de31038e,1862c019,520a5665
Nico O'Reilly,3.0,LB,21-102,90,0,0,0,0,1,0,0,0,3,1,0,2,0,2,0,0,0,91ca4a16,1862c019,520a5665
Marc Guéhi,6.0,CB,25-353,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,d0706b27,1862c019,520a5665
Ezri Konsa,2.0,CB,28-251,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0313a347,1862c019,520a5665
Djed Spence,25.0,RB,25-326,69,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,9bc9a519,1862c019,520a5665
Eberechi Eze,21.0,"FW,MF",28-002,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ae4fc6a4,1862c019,520a5665
Jordan Pickford,1.0,GK,32-116,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806ec67,1862c019,520a5665
Yoane Wissa,20.0,FW,29-301,90,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2500cef9,9be9f315,520a5665
Brian Cipenga,9.0,FW,28-112,75,1,0,0,0,3,1,0,0,2,1,1,2,0,0,0,0,0,e4787d6f,9be9f315,520a5665
Theo Bongonda,10.0,"FW,MF",30-223,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0da6a13e,9be9f315,520a5665
Nathanaël Mbuku,7.0,FW,24-107,63,0,0,0,0,1,0,0,0,0,3,0,5,1,0,0,0,0,46750e9c,9be9f315,520a5665
Meschak Elia,13.0,"FW,MF",28-329,27,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,5d51b074,9be9f315,520a5665
Noah Sadiki,14.0,CM,21-196,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,645481cc,9be9f315,520a5665
Ngal'Ayel Mukau,6.0,CM,21-240,75,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,bb461b8a,9be9f315,520a5665
Edo Kayembe,25.0,MF,28-028,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f99b71de,9be9f315,520a5665
Samuel Moutoussamy,8.0,DM,29-323,88,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,af0c835b,9be9f315,520a5665
Fiston Mayele,19.0,FW,32-007,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0d113a00,9be9f315,520a5665
Arthur Masuaku,26.0,LB,32-236,88,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,57df7a11,9be9f315,520a5665
Joris Kayembe,12.0,"DF,FW",31-327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4657faba,9be9f315,520a5665
Axel Tuanzebe,4.0,CB,28-229,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2baec6ce,9be9f315,520a5665
Chancel Mbemba,22.0,CB,31-327,90,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,e76cb9cc,9be9f315,520a5665
Aaron Wan-Bissaka,2.0,RB,28-217,90,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,9e525177,9be9f315,520a5665
Lionel Mpasi,1.0,GK,31-334,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c6b0637,9be9f315,520a5665
