Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ricardo Pepi,9.0,FW,23-161,73,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,a2b1ed42,0f66725b,580cb771
Sebastian Berhalter,14.0,MF,25-040,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f33ee427,0f66725b,580cb771
Folarin Balogun,20.0,FW,24-351,89,0,0,0,0,2,0,1,0,2,2,0,0,0,1,0,0,0,31822f8c,0f66725b,580cb771
Haji Wright,19.0,"FW,MF",28-084,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91cd37b7,0f66725b,580cb771
Antonee Robinson,5.0,LM,28-315,79,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,289601e6,0f66725b,580cb771
Auston Trusty,6.0,DF,27-311,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,cddf767b,0f66725b,580cb771
Malik Tillman,17.0,CM,24-022,90,0,0,0,0,0,0,0,0,0,3,0,8,3,2,0,0,0,a5420709,0f66725b,580cb771
Tyler Adams,4.0,CM,27-125,90,0,0,0,0,0,0,0,0,1,2,0,0,2,4,0,0,0,2b09d998,0f66725b,580cb771
Weston McKennie,8.0,CM,27-295,89,0,0,0,0,2,0,0,0,4,1,0,1,2,4,0,0,0,01c3aff5,0f66725b,580cb771
Gio Reyna,7.0,MF,23-218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7fa4e703,0f66725b,580cb771
Sergiño Dest,2.0,RM,25-228,79,0,0,0,0,3,1,0,0,0,2,0,1,0,1,0,0,0,5976f83e,0f66725b,580cb771
Joe Scally,23.0,"DF,MF",23-170,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,236f02cd,0f66725b,580cb771
Tim Ream,13.0,CB,38-257,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,28b40c9c,0f66725b,580cb771
Chris Richards,3.0,CB,26-083,90,0,0,0,0,0,0,1,0,3,1,0,0,2,2,0,0,0,0a3d6d2b,0f66725b,580cb771
Alex Freeman,16.0,CB,21-314,90,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,754f150b,0f66725b,580cb771
Matt Freese,24.0,GK,27-290,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2f49476c,0f66725b,580cb771
Mo Touré,9.0,FW,22-085,45,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8ac64b4e,b90bf4f9,580cb771
Nestory Irankunda,17.0,"FW,MF",20-130,45,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4ac730b2,b90bf4f9,580cb771
Nishan Velupillay,23.0,LM,25-043,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,40cb6b33,b90bf4f9,580cb771
Connor Metcalfe,8.0,"DF,FW",26-226,45,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,73ce4d7d,b90bf4f9,580cb771
Paul Okon-Engstler,24.0,CM,21-146,77,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,ecd6464a,b90bf4f9,580cb771
Jackson Irvine,22.0,"DF,MF",33-104,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4637747c,b90bf4f9,580cb771
Aiden O'Neill,13.0,CM,27-350,90,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,c7aee75b,b90bf4f9,580cb771
Mathew Leckie,7.0,RM,35-135,60,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,b93b7882,b90bf4f9,580cb771
Cristian Volpato,20.0,MF,22-216,30,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,72f87f25,b90bf4f9,580cb771
Jordy Bos,5.0,LB,23-233,90,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,0,8070a9fd,b90bf4f9,580cb771
Cameron Burgess,21.0,CB,30-241,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,da61ca98,b90bf4f9,580cb771
Jason Geria,6.0,DF,33-040,45,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,cd494a8d,b90bf4f9,580cb771
Harry Souttar,19.0,CB,27-240,90,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0a6cb1b1,b90bf4f9,580cb771
Alessandro Circati,3.0,CB,22-252,90,0,0,0,0,1,0,1,0,2,1,0,1,3,0,0,0,0,1223765c,b90bf4f9,580cb771
Jacob Italiano,4.0,RB,24-324,90,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,2eb0ee9a,b90bf4f9,580cb771
Patrick Beach,18.0,GK,22-317,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3cc64624,b90bf4f9,580cb771
