Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ismaila Sarr,18.0,FW,28-121,80,1,1,0,0,3,2,0,0,0,2,1,0,0,0,0,0,0,bfdb33aa,9ab5c684,583c1910
Assane Diao,7.0,MF,20-292,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8ae7d0ec,9ab5c684,583c1910
Sadio Mané,10.0,LW,34-077,90,0,0,0,0,4,1,0,0,0,2,0,4,0,0,0,0,0,c691bfe2,9ab5c684,583c1910
Lamine Camara,8.0,AM,22-176,56,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,19c2ffa4,9ab5c684,583c1910
Nicolas Jackson,11.0,FW,25-006,34,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,9c36ed83,9ab5c684,583c1910
Habib Diarra,21.0,AM,22-174,56,1,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,6d0fe035,9ab5c684,583c1910
Pape Gueye,26.0,MF,27-153,34,2,1,0,0,6,3,1,0,1,1,0,0,0,1,0,0,0,7155e3e1,9ab5c684,583c1910
Ibrahim Mbaye,20.0,RW,18-153,56,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,201b4ee4,9ab5c684,583c1910
Iliman Ndiaye,13.0,"FW,MF",26-112,34,1,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,5ed97752,9ab5c684,583c1910
Idrissa Gueye,5.0,DM,36-273,90,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,72c812f3,9ab5c684,583c1910
Ismail Jakobs,14.0,LB,26-313,90,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,a0415710,9ab5c684,583c1910
Moussa Niakhaté,19.0,CB,30-110,90,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,00242715,9ab5c684,583c1910
Abdoulaye Seck,4.0,CB,34-022,57,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,f07a0fe5,9ab5c684,583c1910
Pathé Ciss,6.0,"DF,MF",32-102,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9a0408b6,9ab5c684,583c1910
Krépin Diatta,15.0,RB,27-121,90,0,0,0,0,1,0,0,0,1,1,0,4,3,0,0,0,0,8104e41e,9ab5c684,583c1910
Mory Diaw,23.0,GK,33-004,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f41a69e6,9ab5c684,583c1910
Ali Al Hamadi,9.0,FW,24-117,57,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8450467d,ec843efd,583c1910
Ali Yousif,13.0,FW,30-158,33,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,943fd50a,ec843efd,583c1910
Ibrahim Bayesh,8.0,AM,26-056,90,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,2f2003ba,ec843efd,583c1910
Ali Jasim,17.0,AM,22-157,57,0,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,0,1a927a6f,ec843efd,583c1910
Ahmed Maknzi,15.0,DF,24-275,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,f95ac2b6,ec843efd,583c1910
Ahmed Qasem,11.0,AM,22-349,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27219ecb,ec843efd,583c1910
Manaf Younis,6.0,DF,29-222,75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,b798826e,ec843efd,583c1910
Amir Al Ammari,16.0,DM,28-334,90,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,9f65be73,ec843efd,583c1910
Zidane Iqbal,14.0,DM,23-060,66,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6fa3c28e,ec843efd,583c1910
Kevin Yakob,19.0,MF,25-259,24,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,18d3b8df,ec843efd,583c1910
Merchas Doski,23.0,LB,26-201,90,0,0,0,0,1,0,1,0,2,2,0,0,2,1,0,0,0,fdf4cfe5,ec843efd,583c1910
Akam Hashim,5.0,CB,27-314,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,f8416e89,ec843efd,583c1910
Rebin Sulaka,2.0,CB,34-075,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,928bec06,ec843efd,583c1910
Frans Dhia Putros,26.0,RB,32-347,90,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0102aa7e,ec843efd,583c1910
Ahmed Basil,22.0,GK,29-311,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3bf9e631,ec843efd,583c1910
Jalal Hassan,12.0,GK,35-039,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87351c2e,ec843efd,583c1910
