Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Yusuf Abdurisag,15.0,FW,26-311,59,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13c8f40b,9b696ed1,58580af9
Ahmed Alaaeldin,7.0,FW,33-133,31,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,74fbbb3c,9b696ed1,58580af9
Akram Afif,11.0,FW,29-207,90,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,fd53d9e7,9b696ed1,58580af9
Edmilson Junior,8.0,FW,31-298,87,0,0,0,0,2,2,0,0,3,1,0,2,0,0,0,0,0,620764f4,9b696ed1,58580af9
Hassan Al-Haydos,10.0,"FW,MF",35-184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41bd6c64,9b696ed1,58580af9
Issa Laye,4.0,CM,28-173,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,c078667a,9b696ed1,58580af9
Jassem Gaber,5.0,CM,24-113,59,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,af9ef8aa,9b696ed1,58580af9
Karim Boudiaf,12.0,"DF,MF",35-270,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,a38f33fd,9b696ed1,58580af9
Assim Madibo,23.0,DM,29-234,78,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,2b1d2ada,9b696ed1,58580af9
Mohamed Manai,26.0,DF,23-231,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1e20b706,9b696ed1,58580af9
Homam Ahmed,14.0,LB,26-292,90,0,1,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,a62fa158,9b696ed1,58580af9
Boualem Khoukhi,16.0,CB,35-339,90,1,0,0,0,1,1,0,0,2,0,0,0,1,2,0,0,0,7be5ad52,9b696ed1,58580af9
Ró-Ró,2.0,CB,35-311,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,8735fe66,9b696ed1,58580af9
Ayoub Al-Oui,13.0,RB,21-094,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010e5bae,9b696ed1,58580af9
Ahmed Fathy,20.0,MF,33-139,31,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,f2369793,9b696ed1,58580af9
Mahmoud Abunada,1.0,GK,26-128,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27e7e545,9b696ed1,58580af9
Breel Embolo,7.0,FW,29-119,90,1,0,1,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0b4f388a,81021a70,58580af9
Ruben Vargas,17.0,AM,27-312,78,0,0,0,0,3,1,0,0,1,4,0,11,1,0,0,0,0,6ecbddf6,81021a70,58580af9
Zeki Amdouni,23.0,"FW,MF",25-191,12,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2ee5b0c9,81021a70,58580af9
Michel Aebischer,20.0,AM,29-158,65,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,f9c927de,81021a70,58580af9
Fabian Rieder,22.0,"FW,MF",24-117,25,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,c2bd8585,81021a70,58580af9
Dan Ndoye,11.0,AM,25-231,65,0,0,0,0,6,2,0,0,0,4,0,1,0,0,0,0,0,8e697a8f,81021a70,58580af9
Johan Manzambi,9.0,MF,20-242,25,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8fcf0e12,81021a70,58580af9
Remo Freuler,8.0,DM,34-059,88,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,98d2c2c4,81021a70,58580af9
Ardon Jashari,14.0,MF,23-318,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,889588db,81021a70,58580af9
Granit Xhaka,10.0,DM,33-259,90,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,e61b8aee,81021a70,58580af9
Ricardo Rodríguez,13.0,LB,33-292,88,0,0,0,0,0,0,0,0,2,0,0,8,0,2,0,0,0,7f78ad23,81021a70,58580af9
Miro Muheim,2.0,"DF,MF",28-081,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844c6a91,81021a70,58580af9
Manuel Akanji,5.0,CB,30-329,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,89ac64a6,81021a70,58580af9
Nico Elvedi,4.0,CB,29-256,90,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,48035304,81021a70,58580af9
Denis Zakaria,6.0,RB,29-205,90,0,0,0,0,2,1,1,0,1,0,0,7,2,2,0,0,0,384d58d9,81021a70,58580af9
Gregor Kobel,1.0,GK,28-189,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd59b9df,81021a70,58580af9
