Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Frantzdy Pierrot,20.0,FW,31-076,90,0,0,0,0,3,1,0,0,4,2,2,0,0,0,0,0,0,307877be,61828292,58c3106f
Wilson Isidor,18.0,FW,25-290,75,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,a671316d,61828292,58c3106f
Lenny Joseph,16.0,"FW,MF",25-244,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d1828392,61828292,58c3106f
Ruben Providence,15.0,LW,24-341,84,0,0,0,0,3,1,0,0,2,2,0,3,0,0,0,0,0,26bab383,61828292,58c3106f
Yassin Fortuné,19.0,"FW,MF",27-134,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ddcc9e22,61828292,58c3106f
Louicius Deedson,11.0,RW,25-122,60,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,f7059bb1,61828292,58c3106f
Josué Casimir,21.0,"FW,MF",24-262,30,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,481f76cf,61828292,58c3106f
Jean-Ricner Bellegarde,10.0,CM,27-351,90,0,0,0,0,3,0,1,0,1,2,0,6,1,1,0,0,0,10f0fdd3,61828292,58c3106f
Danley Jean-Jacques,17.0,CM,26-024,90,0,0,0,0,0,0,0,0,3,3,0,1,3,1,0,0,0,59fcbd6d,61828292,58c3106f
Martin Expérience,8.0,LB,27-096,90,0,0,0,0,1,0,0,0,2,2,0,5,1,0,0,0,0,9edb83f4,61828292,58c3106f
Hannes Delcroix,5.0,CB,27-105,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,b737f944,61828292,58c3106f
Ricardo Adé,4.0,CB,36-023,90,0,0,0,0,1,0,0,0,1,3,0,1,0,1,0,0,0,a9ee5e81,61828292,58c3106f
Carlens Arcus,2.0,RB,29-350,90,0,0,0,0,0,0,0,0,3,2,0,2,0,2,0,0,0,5e837126,61828292,58c3106f
Johny Placide,1.0,GK,38-135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f1666a9d,61828292,58c3106f
Ché Adams,10.0,FW,29-335,74,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,f2bf1b0f,602d3994,58c3106f
Lyndon Dykes,9.0,"FW,MF",30-249,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,cd92357a,602d3994,58c3106f
Lawrence Shankland,20.0,FW,30-307,82,0,0,0,0,2,0,0,0,4,2,1,0,1,0,0,0,0,63b1a176,602d3994,58c3106f
Kenny McLean,23.0,"DF,MF",34-156,8,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,471f16b3,602d3994,58c3106f
John McGinn,7.0,LW,31-238,82,1,0,0,0,2,1,0,0,0,5,0,3,0,0,0,0,0,90f91999,602d3994,58c3106f
Findlay Curtis,25.0,MF,19-255,8,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,e2a68b89,602d3994,58c3106f
Ben Gannon-Doak,17.0,RW,20-214,74,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,733f1a7d,602d3994,58c3106f
Ryan Christie,11.0,"FW,MF",31-111,16,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,26ce2263,602d3994,58c3106f
Lewis Ferguson,19.0,CM,26-293,90,0,0,0,0,0,0,0,0,1,6,0,1,1,2,0,0,0,ee64a822,602d3994,58c3106f
Scott McTominay,4.0,CM,29-187,90,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,d93c2511,602d3994,58c3106f
Andy Robertson,3.0,LB,32-094,90,0,0,0,0,0,0,0,0,2,1,0,5,0,1,0,0,0,2e4f5f03,602d3994,58c3106f
Jack Hendry,13.0,CB,31-037,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,ffed43e3,602d3994,58c3106f
Grant Hanley,5.0,CB,34-205,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,e9254eec,602d3994,58c3106f
Aaron Hickey,2.0,RB,24-003,74,0,0,0,0,0,0,1,0,2,4,0,1,0,1,0,0,0,1780bb4a,602d3994,58c3106f
Nathan Patterson,22.0,DF,24-240,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,230f0471,602d3994,58c3106f
Angus Gunn,1.0,GK,30-142,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e082af5b,602d3994,58c3106f
