Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Odeh Al-Fakhouri,11.0,FW,20-217,45,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,30591ae5,3e22f0fa,5ec98037
Mahmoud Al-Mardi,13.0,"FW,MF",32-264,45,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1eedc1ea,3e22f0fa,5ec98037
Ali Olwan,9.0,LM,26-093,89,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,33c1d68d,3e22f0fa,5ec98037
Sharara,7.0,FW,28-179,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,67e2aed8,3e22f0fa,5ec98037
Noor Al Rawabdeh,8.0,CM,29-123,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3bb06c86,3e22f0fa,5ec98037
Nizar Al Rashdan,21.0,CM,27-096,75,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,feaa0ffd,3e22f0fa,5ec98037
Amer Jamous,6.0,MF,23-359,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32d4f1e1,3e22f0fa,5ec98037
Ali Azaizeh,24.0,RM,22-075,45,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,3a46ac67,3e22f0fa,5ec98037
Musa Al-Taamari,10.0,"FW,MF",29-017,45,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,f15f8b2b,3e22f0fa,5ec98037
Mohannad Abu Taha,20.0,LB,23-145,90,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,0,0,5c4bac6c,3e22f0fa,5ec98037
Husam Abu Dahab,4.0,CB,26-045,89,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,300aaeb6,3e22f0fa,5ec98037
Salim Obaid,17.0,DF,34-161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f494bf5f,3e22f0fa,5ec98037
Yazan Al-Arab,5.0,CB,30-147,90,0,0,0,0,0,0,1,0,3,0,0,0,1,6,0,0,0,32878a09,3e22f0fa,5ec98037
Abdallah Nasib,3.0,CB,32-122,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,aaab3072,3e22f0fa,5ec98037
Ihsan Haddad,23.0,RB,32-142,90,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,85660a5d,3e22f0fa,5ec98037
Yazeed Abulaila,1.0,GK,33-170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5d11fc17,3e22f0fa,5ec98037
Lautaro Martínez,22.0,FW,28-309,59,1,0,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,f7036e1c,f9fddd6e,5ec98037
Lionel Messi,10.0,"FW,MF",39-003,31,1,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,d70ce98e,f9fddd6e,5ec98037
Julián Álvarez,9.0,FW,26-147,81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15ab5a2b,f9fddd6e,5ec98037
Flaco López,21.0,FW,25-203,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,e1426a52,f9fddd6e,5ec98037
Giuliano Simeone,17.0,FW,23-191,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a6536561,f9fddd6e,5ec98037
Valentín Barco,8.0,"DF,MF",21-339,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,b9f282ec,f9fddd6e,5ec98037
Giovani Lo Celso,11.0,CM,30-079,59,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,d7553721,f9fddd6e,5ec98037
Thiago Almada,16.0,"FW,MF",25-062,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27f33438,f9fddd6e,5ec98037
Nicolás Paz,18.0,CM,21-292,60,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,01bb93d5,f9fddd6e,5ec98037
Alexis Mac Allister,20.0,MF,27-185,30,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,83d074ff,f9fddd6e,5ec98037
Leandro Paredes,5.0,DM,31-363,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,dff153a4,f9fddd6e,5ec98037
Nicolás Tagliafico,3.0,LB,33-300,90,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,f0661424,f9fddd6e,5ec98037
Marcos Senesi,2.0,CB,29-048,90,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,35141f4c,f9fddd6e,5ec98037
Nicolás Otamendi,19.0,CB,38-135,90,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0d267745,f9fddd6e,5ec98037
Exequiel Palacios,14.0,RB,27-265,90,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,e82adcab,f9fddd6e,5ec98037
Emiliano Martínez,23.0,GK,33-298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,5ec98037
