Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Raúl Jiménez,9.0,FW,35-056,73,1,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,b561db50,b009a548,5eca3d3a
Santiago Giménez,11.0,FW,25-073,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,37337aea,b009a548,5eca3d3a
Julián Quiñones,16.0,FW,29-098,79,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,5535c728,b009a548,5eca3d3a
Orbelín Pineda,17.0,"FW,MF",30-098,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,411fabd7,b009a548,5eca3d3a
Roberto Alvarado,25.0,FW,27-296,79,0,1,0,0,3,0,0,0,1,2,0,2,0,0,0,0,0,ff871e14,b009a548,5eca3d3a
Israel Reyes,15.0,"DF,MF",26-038,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0db8bbc4,b009a548,5eca3d3a
Luis Romo,7.0,CM,31-025,72,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,e590bb10,b009a548,5eca3d3a
Obed Vargas,18.0,MF,20-329,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9cc1fde4,b009a548,5eca3d3a
Gilberto Mora,19.0,CM,17-259,57,0,0,0,0,3,0,0,0,0,2,0,2,1,1,0,0,0,69c9ffe8,b009a548,5eca3d3a
Brian Gutiérrez,26.0,MF,23-013,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,d88f31db,b009a548,5eca3d3a
Erik Lira,6.0,DM,26-053,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7b2c24ed,b009a548,5eca3d3a
Jesús Gallardo,23.0,LB,31-319,90,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,d0846b6c,b009a548,5eca3d3a
César Montes,3.0,CB,29-126,90,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,28e957d7,b009a548,5eca3d3a
Johan Vásquez,5.0,CB,27-251,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5eaed77a,b009a548,5eca3d3a
Jorge Sánchez,2.0,RB,28-202,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,c8d1c3a5,b009a548,5eca3d3a
Raúl Rangel,1.0,GK,26-125,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f733fb,b009a548,5eca3d3a
Enner Valencia,13.0,FW,36-238,58,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,fb485406,123acaf8,5eca3d3a
Kevin Rodríguez,11.0,FW,26-118,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,189fb038,123acaf8,5eca3d3a
Gonzalo Plata,19.0,FW,25-241,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,54bcdeb0,123acaf8,5eca3d3a
Nilson Angulo,20.0,LW,23-011,78,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,a9b9d89c,123acaf8,5eca3d3a
Kendry Páez,10.0,MF,19-057,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,f3bb9f59,123acaf8,5eca3d3a
John Yeboah,9.0,RW,26-007,78,0,0,0,0,2,1,0,0,0,3,0,0,1,0,0,0,0,8dfdc6c3,123acaf8,5eca3d3a
Jordy Caicedo,16.0,FW,28-224,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7fcb27d8,123acaf8,5eca3d3a
Pedro Vite,15.0,CM,24-113,90,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,9c146b36,123acaf8,5eca3d3a
Moisés Caicedo,23.0,CM,24-240,90,0,0,0,0,1,0,1,0,1,2,0,6,1,0,0,0,0,16264a81,123acaf8,5eca3d3a
Piero Hincapié,3.0,LB,24-172,89,0,0,0,0,0,0,0,1,2,1,0,6,2,1,0,0,0,0c7a48f8,123acaf8,5eca3d3a
Willian Pacho,6.0,CB,24-257,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,ecbe2839,123acaf8,5eca3d3a
Joel Ordóñez,4.0,CB,22-070,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990a15c,123acaf8,5eca3d3a
Ángelo Preciado,17.0,"DF,MF",28-132,45,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,eadc8e4f,123acaf8,5eca3d3a
Alan Franco,21.0,RB,27-313,45,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,c76b161b,123acaf8,5eca3d3a
Yaimar Medina,26.0,"DF,MF",21-237,45,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,1fe8ecf7,123acaf8,5eca3d3a
Hernán Galíndez,1.0,GK,39-092,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89c136f6,123acaf8,5eca3d3a
