Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Charles De Ketelaere,17.0,FW,25-097,65,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,2ef7c612,361422b9,5f18a385
Romelu Lukaku,9.0,FW,33-033,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5eae500a,361422b9,5f18a385
Jeremy Doku,11.0,AM,24-019,85,0,0,0,0,1,0,0,0,1,5,0,1,0,1,0,0,0,fffea3e5,361422b9,5f18a385
Matias Fernandez-Pardo,26.0,"FW,MF",21-132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0cdb6a2a,361422b9,5f18a385
Kevin De Bruyne,7.0,AM,34-352,85,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,e46012d4,361422b9,5f18a385
Hans Vanaken,20.0,MF,33-295,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,392a7aea,361422b9,5f18a385
Leandro Trossard,10.0,AM,31-193,90,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,38ceb24a,361422b9,5f18a385
Youri Tielemans,8.0,DM,29-039,90,0,0,0,0,2,0,0,0,1,2,0,4,1,0,0,0,0,56f7a928,361422b9,5f18a385
Amadou Onana,24.0,DM,24-303,55,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,828657ff,361422b9,5f18a385
Maxim De Cuyper,5.0,"DF,MF",25-175,35,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,d494882e,361422b9,5f18a385
Timothy Castagne,21.0,LB,30-192,55,0,0,0,0,0,0,1,0,1,0,0,3,4,0,0,0,0,197640fd,361422b9,5f18a385
Nicolas Raskin,23.0,MF,25-112,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,dba1f190,361422b9,5f18a385
Brandon Mechele,4.0,CB,33-138,90,0,0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,0,0a6dbbf7,361422b9,5f18a385
Nathan Ngoy,25.0,CB,23-005,90,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,eb7abf2e,361422b9,5f18a385
Thomas Meunier,15.0,RB,34-276,90,0,0,0,0,1,1,0,0,5,0,0,1,1,0,0,0,0,e162b013,361422b9,5f18a385
Thibaut Courtois,1.0,GK,34-035,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,5f18a385
Omar Marmoush,22.0,FW,27-128,90,0,0,0,0,5,0,0,0,2,1,0,1,1,1,0,0,0,0e0102eb,b8889750,5f18a385
Emam Ashour,8.0,AM,28-115,68,1,0,0,0,2,1,0,0,0,3,0,0,1,1,0,0,0,31b7d437,b8889750,5f18a385
Ramy Rabia,5.0,"DF,MF",33-026,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,e32afa36,b8889750,5f18a385
Mohamed Salah,10.0,AM,34-000,75,0,1,0,0,1,1,0,0,2,3,0,3,0,0,0,0,0,e342ad68,b8889750,5f18a385
Hamza Abdelkarim,9.0,FW,18-165,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,057d8f12,b8889750,5f18a385
Mostafa Ziko,11.0,AM,29-049,75,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,68ff8437,b8889750,5f18a385
Zizo,25.0,MF,30-156,15,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,c6415ba9,b8889750,5f18a385
Mohanad Lasheen,17.0,DM,30-017,90,0,0,0,0,0,0,0,0,2,1,0,1,6,3,0,0,0,8c041c7d,b8889750,5f18a385
Marwan Attia,19.0,DM,27-307,90,0,0,0,0,1,0,1,0,3,0,0,1,1,1,0,0,0,1ea3d7ec,b8889750,5f18a385
Ahmed Fatouh,13.0,LB,28-085,87,0,0,0,0,0,0,1,0,2,1,0,2,2,1,0,0,0,de13286d,b8889750,5f18a385
Karim Hafez,15.0,DF,30-095,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,d2debf23,b8889750,5f18a385
Hamdy Fathy,14.0,CB,31-259,87,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,c8ef4955,b8889750,5f18a385
Ibrahim Adel,20.0,MF,25-053,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4869216e,b8889750,5f18a385
Yasser Ibrahim,2.0,CB,33-125,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0b89ad1b,b8889750,5f18a385
Mohamed Hany,3.0,RB,30-141,90,0,0,0,0,2,0,0,0,1,0,0,1,5,1,1,0,0,9bcf1513,b8889750,5f18a385
Mostafa Shobeir,23.0,GK,26-031,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0cb1d2ba,b8889750,5f18a385
