Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Cyle Larin,9.0,FW,31-062,90,1,0,0,0,6,2,0,0,3,0,0,0,0,0,0,0,0,e7af9060,9c6d90a0,60dedabb
Jonathan David,10.0,FW,26-155,90,3,0,0,0,8,5,0,0,0,0,0,2,0,0,0,0,0,ce50fd99,9c6d90a0,60dedabb
Ali Ahmed,20.0,LW,25-251,70,0,0,0,0,1,0,0,0,0,1,0,8,0,2,0,0,0,540a5be1,9c6d90a0,60dedabb
Tani Oluwaseyi,12.0,FW,26-034,20,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,950ef017,9c6d90a0,60dedabb
Tajon Buchanan,17.0,RW,27-130,82,0,0,0,0,4,1,0,0,1,3,1,10,2,0,0,0,0,3aca6420,9c6d90a0,60dedabb
Niko Sigur,23.0,"DF,MF",22-282,8,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5c56986b,9c6d90a0,60dedabb
Ismaël Koné,8.0,CM,24-002,56,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,e0220b70,9c6d90a0,60dedabb
Nathan Saliba,25.0,MF,22-131,34,1,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,44cfc681,9c6d90a0,60dedabb
Stephen Eustáquio,7.0,CM,29-179,90,0,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,577efaec,9c6d90a0,60dedabb
Richie Laryea,22.0,LB,31-162,90,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,276fdbe4,9c6d90a0,60dedabb
Derek Cornelius,13.0,CB,28-205,45,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,577744b8,9c6d90a0,60dedabb
Moïse Bombito,15.0,DF,26-080,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,c2f23fc8,9c6d90a0,60dedabb
Luc De Fougerolles,4.0,CB,20-249,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45c427ff,9c6d90a0,60dedabb
Jacob Shaffelburg,14.0,MF,26-204,20,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,339a2561,9c6d90a0,60dedabb
Alistair Johnston,2.0,RB,27-253,90,0,0,0,0,1,1,0,0,0,1,0,11,0,2,0,0,0,4fb17e20,9c6d90a0,60dedabb
Maxime Crépeau,16.0,GK,32-038,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ea42e480,9c6d90a0,60dedabb
Yusuf Abdurisag,15.0,FW,26-316,39,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,13c8f40b,9b696ed1,60dedabb
Sultan Al-Brake,18.0,DF,30-072,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,fcaa2400,9b696ed1,60dedabb
Akram Afif,11.0,AM,29-212,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,fd53d9e7,9b696ed1,60dedabb
Al-Hashmi Al-Hussain,25.0,MF,22-307,32,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,c164fda2,9b696ed1,60dedabb
Edmilson Junior,8.0,AM,31-303,45,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,620764f4,9b696ed1,60dedabb
Ahmed Fathy,20.0,MF,33-144,41,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,f2369793,9b696ed1,60dedabb
Lucas Mendes,3.0,DF,35-350,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5169f27f,9b696ed1,60dedabb
Issa Laye,4.0,DM,28-178,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,c078667a,9b696ed1,60dedabb
Assim Madibo,23.0,DM,29-239,53,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2b1d2ada,9b696ed1,60dedabb
Jassem Gaber,5.0,DM,24-118,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,af9ef8aa,9b696ed1,60dedabb
Mohamed Manai,26.0,DF,23-236,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1e20b706,9b696ed1,60dedabb
Homam Ahmed,14.0,LB,26-297,32,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,0,a62fa158,9b696ed1,60dedabb
Boualem Khoukhi,16.0,CB,35-344,90,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,7be5ad52,9b696ed1,60dedabb
Ró-Ró,2.0,CB,35-316,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8735fe66,9b696ed1,60dedabb
Ayoub Al-Oui,13.0,RB,21-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,010e5bae,9b696ed1,60dedabb
Mahmoud Abunada,1.0,GK,26-133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27e7e545,9b696ed1,60dedabb
