Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Yoane Wissa,20.0,FW,29-297,90,2,0,1,1,6,2,0,0,1,3,0,0,0,0,0,0,0,2500cef9,9be9f315,6287f9c7
Cédric Bakambu,17.0,FW,35-077,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0af4dcf0,9be9f315,6287f9c7
Fiston Mayele,19.0,FW,32-003,40,1,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0d113a00,9be9f315,6287f9c7
Brian Cipenga,9.0,LW,28-108,71,0,0,0,0,3,0,0,0,0,0,0,7,2,0,0,0,0,e4787d6f,9be9f315,6287f9c7
Theo Bongonda,10.0,"FW,MF",30-219,19,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0da6a13e,9be9f315,6287f9c7
Nathanaël Mbuku,7.0,RW,24-103,71,0,0,0,0,1,1,1,0,3,3,0,7,2,0,0,0,0,46750e9c,9be9f315,6287f9c7
Meschak Elia,13.0,"FW,MF",28-325,19,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5d51b074,9be9f315,6287f9c7
Noah Sadiki,14.0,CM,21-192,90,0,0,0,0,0,0,1,0,1,3,0,0,1,1,0,0,0,645481cc,9be9f315,6287f9c7
Samuel Moutoussamy,8.0,CM,29-319,71,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,af0c835b,9be9f315,6287f9c7
Ngal'Ayel Mukau,6.0,MF,21-236,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,bb461b8a,9be9f315,6287f9c7
Arthur Masuaku,26.0,LB,32-232,82,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,57df7a11,9be9f315,6287f9c7
Joris Kayembe,12.0,"DF,FW",31-323,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4657faba,9be9f315,6287f9c7
Axel Tuanzebe,4.0,CB,28-225,90,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2baec6ce,9be9f315,6287f9c7
Chancel Mbemba,22.0,CB,31-323,90,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,e76cb9cc,9be9f315,6287f9c7
Aaron Wan-Bissaka,2.0,RB,28-213,90,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,9e525177,9be9f315,6287f9c7
Lionel Mpasi,1.0,GK,31-330,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c6b0637,9be9f315,6287f9c7
Eldor Shomurodov,14.0,FW,30-363,90,1,0,0,0,2,1,0,0,3,0,0,1,3,0,0,0,0,57469b2d,cd389e75,6287f9c7
Abbosbek Fayzullayev,22.0,AM,22-267,72,0,0,0,0,1,0,0,0,4,1,0,3,3,0,0,0,0,ef1d36a1,cd389e75,6287f9c7
Oston Urunov,11.0,MF,25-190,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56521adf,cd389e75,6287f9c7
Dostonbek Khamdamov,17.0,AM,29-338,58,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,d2dd2ffb,cd389e75,6287f9c7
Aziz Gʻaniyev,19.0,MF,28-125,32,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0c492054,cd389e75,6287f9c7
Sherzod Nasrullaev,13.0,DM,27-339,90,0,0,0,0,0,0,1,0,2,2,0,2,2,1,0,0,0,aeb0c7f7,cd389e75,6287f9c7
Otabek Shukurov,7.0,DM,30-005,58,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,62032a56,cd389e75,6287f9c7
Odiljon Hamrobekov,9.0,MF,30-134,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03f63e77,cd389e75,6287f9c7
Akmal Mozgovoy,6.0,DM,27-086,81,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,114cb95b,cd389e75,6287f9c7
Jamshid Iskanderov,8.0,"FW,MF",32-254,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3b8abe7c,cd389e75,6287f9c7
Khojiakbar Alijonov,3.0,DM,29-069,90,0,0,0,0,0,0,0,0,1,0,0,4,2,3,0,0,0,e53cbd7a,cd389e75,6287f9c7
Jakhongir Urozov,26.0,CB,22-160,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71210bed,cd389e75,6287f9c7
Igor Sergeev,21.0,FW,33-058,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8df41977,cd389e75,6287f9c7
Abdukodir Khusanov,2.0,CB,22-118,90,0,0,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0,d17ce930,cd389e75,6287f9c7
Rustam Ashurmatov,5.0,CB,29-355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,a0ecd397,cd389e75,6287f9c7
Abduvohid Nematov,12.0,GK,25-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25e45f2a,cd389e75,6287f9c7
