Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Hazem Mastouri,9.0,FW,29-007,89,1,0,0,0,3,2,0,0,2,2,0,1,0,1,0,0,0,c88f913e,a7c7562a,63b14e23
Sebastian Tounekti,26.0,"FW,MF",23-347,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,584fee1f,a7c7562a,63b14e23
Hannibal Mejbri,10.0,LM,23-155,90,0,1,0,0,1,1,0,0,1,5,0,4,1,1,0,0,0,ca22ccb0,a7c7562a,63b14e23
Rani Khedira,13.0,CM,32-149,66,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,59e4b92e,a7c7562a,63b14e23
Hadj Mahmoud,15.0,MF,26-062,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,081048c2,a7c7562a,63b14e23
Ismaël Gharbi,11.0,CM,22-076,74,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5b3cfa12,a7c7562a,63b14e23
Firas Chaouat,19.0,FW,30-048,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7fa8ef98,a7c7562a,63b14e23
Anis Ben Slimane,25.0,RM,25-101,67,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,9ade9ce1,a7c7562a,63b14e23
Elias Achouri,7.0,"FW,MF",27-135,23,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4dd2a0be,a7c7562a,63b14e23
Ali Abdi,2.0,LB,32-187,90,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,ad7cdb35,a7c7562a,63b14e23
Mohamed Amine Ben Hamida,21.0,CB,30-192,67,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,2a5e8f82,a7c7562a,63b14e23
Mortadha Ben Ouanes,12.0,"DF,MF",31-358,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1798891a,a7c7562a,63b14e23
Ellyes Skhiri,17.0,CB,31-046,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,c2211709,a7c7562a,63b14e23
Montassar Talbi,3.0,CB,28-030,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a4a44eb0,a7c7562a,63b14e23
Yan Valery,20.0,RB,27-123,90,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,531a4aa8,a7c7562a,63b14e23
Aymen Dahmen,16.0,GK,29-148,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8bf49030,a7c7562a,63b14e23
Brian Brobbey,19.0,FW,24-144,76,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,4c184730,5bb5024a,63b14e23
Memphis,10.0,"FW,MF",32-132,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8f696594,5bb5024a,63b14e23
Cody Gakpo,11.0,FW,27-049,83,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,1971591f,5bb5024a,63b14e23
Noa Lang,17.0,"FW,MF",27-008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e034340,5bb5024a,63b14e23
Donyell Malen,18.0,FW,27-167,71,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,116c35df,5bb5024a,63b14e23
Crysencio Summerville,24.0,"FW,MF",24-238,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,df04eb4b,5bb5024a,63b14e23
Tijjani Reijnders,14.0,CM,27-331,71,0,1,0,0,3,2,0,0,0,1,0,7,0,0,0,0,0,afb61630,5bb5024a,63b14e23
Justin Kluivert,7.0,"FW,MF",27-051,19,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4c3a6744,5bb5024a,63b14e23
Ryan Gravenberch,8.0,CM,24-040,90,0,0,0,0,2,0,0,0,2,1,0,1,0,2,0,0,0,b8e740fb,5bb5024a,63b14e23
Frenkie de Jong,21.0,DM,29-044,71,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,0,1bacc518,5bb5024a,63b14e23
Teun Koopmeiners,20.0,"DF,MF",28-117,19,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,a26fb8aa,5bb5024a,63b14e23
Nathan Aké,5.0,LB,31-127,90,0,0,0,0,1,0,0,0,2,2,0,1,0,2,0,0,0,eaeca114,5bb5024a,63b14e23
Virgil van Dijk,4.0,CB,34-352,90,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,e06683ca,5bb5024a,63b14e23
Jan Paul van Hecke,6.0,CB,26-017,90,1,0,0,0,2,1,0,0,2,0,0,0,1,1,0,0,0,4fd08daa,5bb5024a,63b14e23
Denzel Dumfries,22.0,RB,30-068,90,0,0,0,0,4,2,0,0,0,1,0,7,1,0,0,0,0,481c9ece,5bb5024a,63b14e23
Bart Verbruggen,1.0,GK,23-311,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cf134113,5bb5024a,63b14e23
