Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Lautaro Martínez,22.0,FW,28-315,62,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,f7036e1c,f9fddd6e,675b328b
Julián Álvarez,9.0,"FW,MF",26-153,58,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,15ab5a2b,f9fddd6e,675b328b
Lionel Messi,10.0,FW,39-009,120,1,0,0,0,9,6,0,0,1,5,0,9,1,0,0,0,0,d70ce98e,f9fddd6e,675b328b
Thiago Almada,16.0,LW,25-068,63,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27f33438,f9fddd6e,675b328b
Nicolás González,15.0,"FW,MF",28-088,57,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,2374aaca,f9fddd6e,675b328b
Rodrigo De Paul,7.0,RW,32-040,83,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,162efffd,f9fddd6e,675b328b
Leandro Paredes,5.0,MF,32-004,37,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,dff153a4,f9fddd6e,675b328b
Enzo Fernández,24.0,CM,25-167,120,0,0,0,0,4,2,0,0,1,2,0,1,1,0,0,0,0,5ff4ab71,f9fddd6e,675b328b
Alexis Mac Allister,20.0,CM,27-191,120,0,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,83d074ff,f9fddd6e,675b328b
Facundo Medina,25.0,LB,27-036,85,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6f5ec8bb,f9fddd6e,675b328b
Nicolás Tagliafico,3.0,DF,33-306,35,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,f0661424,f9fddd6e,675b328b
Lisandro Martínez,6.0,CB,28-166,120,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,bac46a10,f9fddd6e,675b328b
Cristian Romero,13.0,CB,28-067,120,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,0,0,a3d94a58,f9fddd6e,675b328b
Nahuel Molina,26.0,RB,28-088,103,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,23610943,f9fddd6e,675b328b
Gonzalo Montiel,4.0,DF,29-183,17,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,374d5158,f9fddd6e,675b328b
Emiliano Martínez,23.0,GK,33-304,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,675b328b
Nuno da Costa,21.0,FW,35-143,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,909222de,31fa6fa6,675b328b
Dailon Livramento,19.0,FW,25-060,54,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,c115db1e,31fa6fa6,675b328b
Jovane Cabral,7.0,FW,28-019,79,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,0,0,e34e086c,31fa6fa6,675b328b
Hélio Varela,26.0,FW,24-061,41,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,91c99fec,31fa6fa6,675b328b
Ryan Mendes,20.0,FW,36-176,79,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,ba6e01ab,31fa6fa6,675b328b
Willy Semedo,17.0,"FW,MF",32-067,41,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,d1edc98f,31fa6fa6,675b328b
Deroy Duarte,14.0,CM,26-364,99,1,0,0,0,2,2,0,0,3,0,0,1,0,2,0,0,0,6af8fc5b,31fa6fa6,675b328b
Yannick,16.0,MF,30-186,21,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,6246aa55,31fa6fa6,675b328b
Laros Duarte,15.0,CM,29-125,66,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4af3d3c8,31fa6fa6,675b328b
Jamiro Monteiro,10.0,"FW,MF",32-222,54,0,0,0,0,1,0,0,0,2,1,0,2,1,0,0,0,0,d384bddd,31fa6fa6,675b328b
Kevin Pina,6.0,DM,29-157,99,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,296026ae,31fa6fa6,675b328b
Gilson Benchimol,9.0,FW,24-186,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eae26fce,31fa6fa6,675b328b
Sidny Lopes Cabral,13.0,LB,23-288,120,1,0,0,0,2,2,0,0,0,2,0,7,0,0,0,0,0,20700569,31fa6fa6,675b328b
Diney,3.0,CB,31-167,120,0,0,0,0,2,1,0,0,1,0,0,0,2,1,1,0,0,d2e33ba2,31fa6fa6,675b328b
Pico,4.0,CB,34-016,120,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,faef0f92,31fa6fa6,675b328b
Steven Moreira,22.0,RB,31-324,120,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,f10983ae,31fa6fa6,675b328b
Vozinha,1.0,GK,40-030,120,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,dc04ac24,31fa6fa6,675b328b
