Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Viktor Gyökeres,17.0,FW,28-010,90,1,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,4d5a9185,296f69e7,6df52cfd
Alexander Isak,9.0,FW,26-266,89,1,2,0,0,3,2,0,0,1,0,3,1,1,0,0,0,0,8e92be30,296f69e7,6df52cfd
Anthony Elanga,11.0,"FW,MF",24-048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2fba6108,296f69e7,6df52cfd
Benjamin Nygren,10.0,AM,24-341,63,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,d6ebf67f,296f69e7,6df52cfd
Lucas Bergvall,7.0,MF,20-132,27,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,a109e5c8,296f69e7,6df52cfd
Gabriel Gudmundsson,5.0,DM,27-046,64,0,0,0,0,0,0,0,0,2,3,0,2,1,2,0,0,0,d5d22a58,296f69e7,6df52cfd
Elliot Stroud,24.0,MF,23-357,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ff11bdec,296f69e7,6df52cfd
Jesper Karlström,16.0,DM,30-358,83,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,e0a1f4eb,296f69e7,6df52cfd
Mattias Svanberg,19.0,MF,27-160,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,92d83c27,296f69e7,6df52cfd
Yasin Ayari,18.0,DM,22-251,90,2,0,0,0,2,2,0,0,1,1,0,5,3,1,0,0,0,f173303a,296f69e7,6df52cfd
Alexander Bernhardsson,21.0,DM,27-279,89,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,dea1d183,296f69e7,6df52cfd
Daniel Svensson,8.0,"DF,MF",24-122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124c9382,296f69e7,6df52cfd
Victor Lindelöf,3.0,CB,31-332,90,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,f5deef4c,296f69e7,6df52cfd
Isak Hien,4.0,CB,27-152,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,12806697,296f69e7,6df52cfd
Gustaf Lagerbielke,2.0,CB,26-065,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9e39fa2d,296f69e7,6df52cfd
Kristoffer Nordfeldt,23.0,GK,36-356,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78549904,296f69e7,6df52cfd
Anis Ben Slimane,25.0,FW,25-090,83,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9ade9ce1,a7c7562a,6df52cfd
Firas Chaouat,19.0,FW,30-037,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7fa8ef98,a7c7562a,6df52cfd
Elias Saad,8.0,FW,26-169,71,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,78a2284f,a7c7562a,6df52cfd
Sebastian Tounekti,26.0,"FW,MF",23-336,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,584fee1f,a7c7562a,6df52cfd
Hannibal Mejbri,10.0,CM,23-144,90,0,1,0,0,1,0,0,0,0,3,0,5,2,0,0,0,0,ca22ccb0,a7c7562a,6df52cfd
Ellyes Skhiri,17.0,CM,31-035,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,c2211709,a7c7562a,6df52cfd
Elias Achouri,7.0,"FW,MF",27-124,19,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,4dd2a0be,a7c7562a,6df52cfd
Rani Khedira,13.0,CM,32-138,82,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,59e4b92e,a7c7562a,6df52cfd
Ismaël Gharbi,11.0,MF,22-065,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5b3cfa12,a7c7562a,6df52cfd
Ali Abdi,2.0,LB,32-176,90,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,ad7cdb35,a7c7562a,6df52cfd
Mohamed Amine Ben Hamida,21.0,CB,30-181,90,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2a5e8f82,a7c7562a,6df52cfd
Omar Rekik,4.0,CB,24-176,90,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,e69e0f7b,a7c7562a,6df52cfd
Montassar Talbi,3.0,CB,28-019,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,a4a44eb0,a7c7562a,6df52cfd
Yan Valery,20.0,RB,27-112,71,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,531a4aa8,a7c7562a,6df52cfd
Hadj Mahmoud,15.0,MF,26-051,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,081048c2,a7c7562a,6df52cfd
Mouhib Chamakh,1.0,GK,24-293,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9627f87b,a7c7562a,6df52cfd
