Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Vinicius Júnior,7.0,FW,25-336,90,1,0,0,0,1,1,0,0,3,2,0,3,0,0,0,0,0,7111d552,304635c3,72d993fd
Igor Thiago,25.0,FW,24-352,61,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,dc45ac24,304635c3,72d993fd
Luiz Henrique,21.0,"FW,MF",25-162,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8059806f,304635c3,72d993fd
Raphinha,11.0,LW,29-181,90,0,0,0,0,2,1,0,0,0,2,0,4,0,0,0,0,0,3423f250,304635c3,72d993fd
Lucas Paquetá,20.0,RW,28-290,60,0,0,0,0,2,1,0,0,2,3,0,1,0,1,0,0,0,9b6f7fd5,304635c3,72d993fd
Matheus Cunha,9.0,"FW,MF",27-017,30,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,dc62b55d,304635c3,72d993fd
Bruno Guimarães,8.0,CM,28-209,79,0,1,0,0,1,0,0,0,1,2,0,3,1,0,0,0,0,82518f62,304635c3,72d993fd
Danilo Santos,18.0,MF,25-045,11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,a816dbfb,304635c3,72d993fd
Casemiro,5.0,CM,34-110,45,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,4d224fe8,304635c3,72d993fd
Fabinho,17.0,"DF,MF",32-233,45,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7f3b388c,304635c3,72d993fd
Douglas Santos,16.0,LB,32-083,90,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,c50e5bba,304635c3,72d993fd
Gabriel Magalhães,3.0,CB,28-176,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,67ac5bb8,304635c3,72d993fd
Marquinhos,4.0,CB,32-030,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,d5f2f82b,304635c3,72d993fd
Roger Ibanez,24.0,RB,27-202,45,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,0,82efe6fa,304635c3,72d993fd
Danilo,13.0,"DF,MF",34-333,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,94b2001f,304635c3,72d993fd
Alisson,1.0,GK,33-254,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7a2e46a8,304635c3,72d993fd
Ismael Saibari,11.0,FW,25-136,88,1,0,0,0,3,1,0,0,2,1,1,0,0,0,0,0,0,3ec9f005,af41ccda,72d993fd
Soufiane Rahimi,9.0,FW,30-011,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,f126a259,af41ccda,72d993fd
Bilal El Khannouss,23.0,AM,22-034,79,0,0,0,0,1,0,0,0,2,1,0,1,3,0,0,0,0,f7042636,af41ccda,72d993fd
Ayoube Amaimouni,21.0,MF,21-195,11,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,c5a07a5e,af41ccda,72d993fd
Azzedine Ounahi,8.0,AM,26-055,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83299cc0,af41ccda,72d993fd
Samir El Mourabet,15.0,MF,20-250,26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1a03d055,af41ccda,72d993fd
Brahim Díaz,10.0,AM,26-314,64,0,1,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,407feb71,af41ccda,72d993fd
Chemsdine Talbi,7.0,MF,21-035,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,47ce793b,af41ccda,72d993fd
Neil El Aynaoui,24.0,DM,24-346,90,0,0,0,0,3,0,0,0,4,3,0,0,3,1,0,0,0,17e1261b,af41ccda,72d993fd
Ayyoub Bouaddi,6.0,DM,18-254,90,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,8006228f,af41ccda,72d993fd
Noussair Mazraoui,3.0,LB,28-211,79,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,b74277a0,af41ccda,72d993fd
Anass Salah-Eddine,26.0,DF,24-146,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0d274394,af41ccda,72d993fd
Chadi Riad,18.0,CB,22-361,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,b3b9b8b8,af41ccda,72d993fd
Issa Diop,14.0,CB,29-155,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a712ca2b,af41ccda,72d993fd
Achraf Hakimi,2.0,RB,27-221,90,0,0,0,0,3,0,0,0,3,5,0,4,6,0,0,0,0,e42d61c7,af41ccda,72d993fd
Yassine Bounou,1.0,GK,35-069,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f6798fc3,af41ccda,72d993fd
