Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Amine Gouiri,9.0,FW,26-131,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,aad56ca3,1e2dba57,79a8f8c8
Zineddine Belaïd,5.0,DF,27-099,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b2562589,1e2dba57,79a8f8c8
Houssem Aouar,8.0,AM,27-362,89,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,a5db0bec,1e2dba57,79a8f8c8
Farés Ghedjemis,25.0,"FW,MF",23-294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14aac43e,1e2dba57,79a8f8c8
Ibrahim Maza,22.0,AM,20-215,90,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,89b3bc5e,1e2dba57,79a8f8c8
Riyad Mahrez,7.0,AM,35-126,90,2,0,0,0,3,2,0,0,1,2,0,0,1,1,0,0,0,892d5bb1,1e2dba57,79a8f8c8
Nabil Bentaleb,19.0,DM,31-215,90,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3189f61a,1e2dba57,79a8f8c8
Fares Chaïbi,10.0,DM,23-211,90,0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,0,0,357103bd,1e2dba57,79a8f8c8
Jaouen Hadjam,13.0,LB,23-093,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576817b7,1e2dba57,79a8f8c8
Rayan Aït-Nouri,15.0,"DF,MF",25-021,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9b398aea,1e2dba57,79a8f8c8
Ramy Bensebaini,21.0,CB,31-072,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,378825c7,1e2dba57,79a8f8c8
Aïssa Mandi,2.0,CB,34-248,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fbd6378b,1e2dba57,79a8f8c8
Rafik Belghali,17.0,RB,24-020,70,1,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0abcb968,1e2dba57,79a8f8c8
Samir Chergui,26.0,DF,27-141,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4b6ab1da,1e2dba57,79a8f8c8
Oussama Benbot,16.0,GK,31-259,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,dcae580c,1e2dba57,79a8f8c8
Marko Arnautović,7.0,FW,37-069,45,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,00459419,d5121f10,79a8f8c8
Michael Gregoritsch,11.0,"FW,MF",32-070,45,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8e235926,d5121f10,79a8f8c8
Romano Schmid,18.0,FW,26-151,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,220ace7e,d5121f10,79a8f8c8
Paul Wanner,24.0,MF,20-186,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,cb64672e,d5121f10,79a8f8c8
Marcel Sabitzer,9.0,AM,32-102,90,1,0,0,0,1,1,0,0,1,0,0,6,0,2,0,0,0,e280527c,d5121f10,79a8f8c8
Xaver Schlager,4.0,AM,28-272,45,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8f056768,d5121f10,79a8f8c8
Florian Grillitsch,10.0,"DF,MF",30-324,45,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,ffbbc83b,d5121f10,79a8f8c8
Konrad Laimer,20.0,AM,29-031,90,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,c1b7847c,d5121f10,79a8f8c8
Nicolas Seiwald,6.0,DM,25-054,90,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,28c6e925,d5121f10,79a8f8c8
Phillipp Mwene,16.0,LB,32-149,89,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,0,0,2ff76adc,d5121f10,79a8f8c8
Saša Kalajdžić,14.0,"FW,MF",28-355,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15f24fe7,d5121f10,79a8f8c8
David Alaba,8.0,CB,34-003,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05439de2,d5121f10,79a8f8c8
Kevin Danso,3.0,"DF,MF",27-281,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6e33125f,d5121f10,79a8f8c8
Philipp Lienhart,15.0,CB,29-351,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,302527b2,d5121f10,79a8f8c8
Stefan Posch,5.0,RB,29-044,90,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,7f609bfc,d5121f10,79a8f8c8
Alexander Schlager,1.0,GK,30-146,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6fe5c35b,d5121f10,79a8f8c8
