Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Brian Brobbey,19.0,FW,24-139,71,2,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,4c184730,5bb5024a,816f4180
Memphis,10.0,"FW,MF",32-127,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8f696594,5bb5024a,816f4180
Cody Gakpo,11.0,FW,27-044,89,2,1,0,0,5,4,0,0,1,1,1,5,0,1,0,0,0,1971591f,5bb5024a,816f4180
Noa Lang,17.0,"FW,MF",27-003,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8e034340,5bb5024a,816f4180
Donyell Malen,18.0,FW,27-162,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116c35df,5bb5024a,816f4180
Crysencio Summerville,24.0,"FW,MF",24-233,45,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,df04eb4b,5bb5024a,816f4180
Tijjani Reijnders,14.0,CM,27-326,58,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,afb61630,5bb5024a,816f4180
Guus Til,16.0,"FW,MF",28-180,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e44569a,5bb5024a,816f4180
Ryan Gravenberch,8.0,CM,24-035,90,0,0,0,0,1,0,0,0,2,1,0,1,1,3,0,0,0,b8e740fb,5bb5024a,816f4180
Frenkie de Jong,21.0,DM,29-039,58,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1bacc518,5bb5024a,816f4180
Teun Koopmeiners,20.0,"DF,MF",28-112,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,a26fb8aa,5bb5024a,816f4180
Micky van de Ven,15.0,LB,25-062,90,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,8fe2a392,5bb5024a,816f4180
Virgil van Dijk,4.0,CB,34-347,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,e06683ca,5bb5024a,816f4180
Jan Paul van Hecke,6.0,CB,26-012,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4fd08daa,5bb5024a,816f4180
Denzel Dumfries,22.0,RB,30-063,90,0,2,0,0,0,0,0,0,2,1,0,4,3,1,0,0,0,481c9ece,5bb5024a,816f4180
Bart Verbruggen,1.0,GK,23-306,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cf134113,5bb5024a,816f4180
Alexander Isak,9.0,FW,26-272,90,0,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,8e92be30,296f69e7,816f4180
Viktor Gyökeres,17.0,FW,28-016,90,0,0,0,0,5,3,0,0,2,1,1,1,0,0,0,0,0,4d5a9185,296f69e7,816f4180
Gabriel Gudmundsson,5.0,LW,27-052,89,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,d5d22a58,296f69e7,816f4180
Elliot Stroud,24.0,MF,23-363,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ff11bdec,296f69e7,816f4180
Yasin Ayari,18.0,AM,22-257,78,0,0,0,0,5,1,1,0,1,2,0,4,1,0,0,0,0,f173303a,296f69e7,816f4180
Taha Ali,26.0,"FW,MF",27-354,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,da4b8a4e,296f69e7,816f4180
Benjamin Nygren,10.0,AM,24-347,55,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,d6ebf67f,296f69e7,816f4180
Lucas Bergvall,7.0,MF,20-138,35,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,a109e5c8,296f69e7,816f4180
Alexander Bernhardsson,21.0,RW,27-285,54,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,dea1d183,296f69e7,816f4180
Anthony Elanga,11.0,"FW,MF",24-054,36,1,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,2fba6108,296f69e7,816f4180
Jesper Karlström,16.0,DM,30-364,55,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,e0a1f4eb,296f69e7,816f4180
Besfort Zeneli,22.0,MF,23-211,35,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6be253bf,296f69e7,816f4180
Victor Lindelöf,3.0,CB,31-338,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,f5deef4c,296f69e7,816f4180
Isak Hien,4.0,CB,27-158,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,12806697,296f69e7,816f4180
Gustaf Lagerbielke,2.0,CB,26-071,90,0,0,0,0,1,1,0,0,1,0,1,1,3,1,0,0,0,9e39fa2d,296f69e7,816f4180
Kristoffer Nordfeldt,23.0,GK,36-362,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78549904,296f69e7,816f4180
