Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Musab Al Juwayr,7.0,FW,22-360,62,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,62592fc1,6e84edac,82de5964
Nasser Al-Dawsari,6.0,"DF,MF",27-178,28,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,7709e4a6,6e84edac,82de5964
Firas Al-Buraikan,9.0,FW,26-032,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ac717a23,6e84edac,82de5964
Alaa Al Hejji,18.0,MF,30-194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6d258576,6e84edac,82de5964
Salem Al-Dawsari,10.0,LW,34-300,90,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,60ee859c,6e84edac,82de5964
Mohammed Abu Al-Shamat,26.0,RW,23-308,80,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,dd65e243,6e84edac,82de5964
Nawaf Boushal,13.0,DF,26-272,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7dc1c2c6,6e84edac,82de5964
Abdullah Al-Khaibari,15.0,CM,29-303,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,ab47ae1c,6e84edac,82de5964
Mohamed Kanno,23.0,CM,31-266,90,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,74ccf212,6e84edac,82de5964
Moteb Al-Harbi,24.0,LB,26-115,89,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,1d88554c,6e84edac,82de5964
Abdullah Al-Hamdan,19.0,FW,26-275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc4b5436,6e84edac,82de5964
Hassan Al Tambakti,5.0,CB,27-126,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6d78c320,6e84edac,82de5964
Abdulelah Al-Amri,4.0,CB,29-151,90,1,0,0,0,2,2,1,0,1,0,0,0,1,1,0,0,0,fd0affe3,6e84edac,82de5964
Saud Abdulhamid,12.0,RB,26-332,89,0,0,0,0,1,0,0,0,2,1,0,0,3,0,0,0,0,caa254e4,6e84edac,82de5964
Ali Lajami,3.0,DF,30-052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46f7ab4f,6e84edac,82de5964
Mohammed Al-Owais,21.0,GK,34-248,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,f2c060c6,6e84edac,82de5964
Darwin Núñez,9.0,FW,26-356,45,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,4d77b365,870e020f,82de5964
Agustín Canobbio,14.0,"FW,MF",27-257,45,0,0,0,0,1,0,0,0,0,1,0,4,0,2,0,0,0,4f5a2f38,870e020f,82de5964
Federico Viñas,21.0,FW,27-350,89,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,d30c7094,870e020f,82de5964
Rodrigo Aguirre,19.0,FW,31-257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b5691f5d,870e020f,82de5964
Maxi Araújo,20.0,LW,26-120,80,1,0,0,0,2,2,0,0,1,3,2,6,0,0,0,0,0,f9ab3f4a,870e020f,82de5964
Brian Rodríguez,18.0,"FW,MF",26-026,10,0,0,0,0,2,1,0,0,0,1,0,6,0,0,0,0,0,c86041d7,870e020f,82de5964
Federico Valverde,8.0,RW,27-328,90,0,0,0,0,3,2,0,0,1,0,0,8,0,1,0,0,0,0959c2a2,870e020f,82de5964
Rodrigo Bentancur,6.0,CM,28-355,90,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,3b8674e6,870e020f,82de5964
Manuel Ugarte,5.0,CM,25-065,71,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,c9817014,870e020f,82de5964
Nicolás De La Cruz,7.0,MF,29-014,19,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,8fda5c72,870e020f,82de5964
Matías Viña,17.0,LB,28-218,45,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,08eb3b58,870e020f,82de5964
Juan Manuel Sanabria,25.0,"DF,MF",26-078,45,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,0,f1d74479,870e020f,82de5964
Mathías Olivera,16.0,CB,28-227,90,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,41c12f75,870e020f,82de5964
Sebastián Cáceres,3.0,CB,26-301,90,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,7091c68e,870e020f,82de5964
Guillermo Varela,13.0,RB,33-083,90,0,0,0,0,2,0,0,0,1,0,0,6,0,4,0,0,0,5c961282,870e020f,82de5964
Fernando Muslera,23.0,GK,39-364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2abe631,870e020f,82de5964
