Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Cristiano Ronaldo,7.0,FW,41-147,80,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,dea698d9,4a1b4ea8,87717b95
Rúben Neves,21.0,MF,29-111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44bfb6c5,4a1b4ea8,87717b95
Rafael Leão,17.0,AM,27-022,90,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,20730eae,4a1b4ea8,87717b95
Bruno Fernandes,8.0,AM,31-297,62,0,0,0,0,2,1,0,0,0,2,0,3,1,0,0,0,0,507c7bdf,4a1b4ea8,87717b95
Nélson Semedo,2.0,"DF,MF",32-228,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,d04b94db,4a1b4ea8,87717b95
Pedro Neto,18.0,AM,26-115,62,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7ba2eaa9,4a1b4ea8,87717b95
Francisco Conceição,26.0,MF,23-200,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5ef3d210,4a1b4ea8,87717b95
Vitinha,23.0,DM,26-139,61,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,3b029691,4a1b4ea8,87717b95
Bernardo Silva,10.0,"FW,MF",31-326,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3eb22ec9,4a1b4ea8,87717b95
João Neves,15.0,DM,21-278,90,0,0,0,0,1,0,0,0,1,1,0,1,3,0,0,0,0,c2a15a27,4a1b4ea8,87717b95
Nuno Mendes,25.0,LB,24-013,90,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,f20e4cc9,4a1b4ea8,87717b95
Renato Veiga,13.0,CB,22-338,90,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,fc8fcbd1,4a1b4ea8,87717b95
Rúben Dias,3.0,CB,29-049,90,0,0,0,0,0,0,1,0,2,2,0,0,2,2,0,0,0,31c69ef1,4a1b4ea8,87717b95
João Cancelo,20.0,RB,32-036,62,0,0,0,0,1,0,0,0,1,0,0,3,2,1,0,0,0,bd6351cd,4a1b4ea8,87717b95
Gonçalo Ramos,9.0,FW,25-012,28,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,f63cda26,4a1b4ea8,87717b95
Diogo Costa,1.0,GK,26-286,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93fffbcf,4a1b4ea8,87717b95
Ante Budimir,11.0,FW,34-345,45,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,8f3565b3,7b08e376,87717b95
Igor Matanović,20.0,FW,23-093,45,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,948e1292,7b08e376,87717b95
Martin Baturina,16.0,AM,23-136,67,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,d1eda5f0,7b08e376,87717b95
Mario Pašalić,15.0,"FW,MF",31-143,23,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,e599253a,7b08e376,87717b95
Petar Sučić,17.0,AM,22-250,90,0,0,0,0,1,1,0,0,3,1,1,2,1,1,0,0,0,23fb46ea,7b08e376,87717b95
Nikola Vlašić,13.0,AM,28-271,89,0,0,0,0,1,0,0,0,2,0,2,2,2,1,0,0,0,aa8e289e,7b08e376,87717b95
Joško Gvardiol,4.0,DF,24-160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5ad50391,7b08e376,87717b95
Mateo Kovačić,8.0,DM,32-057,89,0,0,0,0,3,3,0,0,1,1,0,0,1,0,0,0,0,79c0821a,7b08e376,87717b95
Andrej Kramarić,9.0,"FW,MF",35-013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603cb947,7b08e376,87717b95
Luka Modrić,10.0,DM,40-296,90,0,0,0,0,0,0,1,0,2,0,0,5,2,0,0,0,0,6025fab1,7b08e376,87717b95
Ivan Perišić,14.0,LB,37-150,90,1,0,0,0,1,1,1,0,1,1,0,7,1,1,0,0,0,6fe90922,7b08e376,87717b95
Marin Pongračić,3.0,CB,28-294,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2a6cd437,7b08e376,87717b95
Josip Šutalo,6.0,CB,26-124,90,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,33a6a650,7b08e376,87717b95
Josip Stanišić,2.0,RB,26-091,90,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,7ed08d5c,7b08e376,87717b95
Dominik Livaković,1.0,GK,31-174,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58f077c0,7b08e376,87717b95
