Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Lautaro Martínez,22.0,FW,28-298,54,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,f7036e1c,f9fddd6e,881ab666
Julián Álvarez,9.0,"FW,MF",26-136,36,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15ab5a2b,f9fddd6e,881ab666
Lionel Messi,10.0,FW,38-357,79,3,0,0,0,6,4,0,0,1,1,1,3,2,0,0,0,0,d70ce98e,f9fddd6e,881ab666
Nicolás Paz,18.0,MF,21-281,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,01bb93d5,f9fddd6e,881ab666
Thiago Almada,16.0,LW,25-051,54,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,27f33438,f9fddd6e,881ab666
Nicolás González,15.0,"FW,MF",28-071,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2374aaca,f9fddd6e,881ab666
Rodrigo De Paul,7.0,RW,32-023,90,0,1,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,162efffd,f9fddd6e,881ab666
Enzo Fernández,24.0,CM,25-150,90,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,5ff4ab71,f9fddd6e,881ab666
Alexis Mac Allister,20.0,CM,27-174,90,0,0,0,0,2,1,0,0,2,1,0,0,0,2,0,0,0,83d074ff,f9fddd6e,881ab666
Facundo Medina,25.0,LB,27-019,90,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,6f5ec8bb,f9fddd6e,881ab666
Lisandro Martínez,6.0,CB,28-149,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,bac46a10,f9fddd6e,881ab666
Cristian Romero,13.0,CB,28-050,79,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,a3d94a58,f9fddd6e,881ab666
Nicolás Otamendi,19.0,DF,38-124,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0d267745,f9fddd6e,881ab666
Gonzalo Montiel,4.0,RB,29-166,45,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,374d5158,f9fddd6e,881ab666
Nahuel Molina,26.0,"DF,MF",28-071,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23610943,f9fddd6e,881ab666
Emiliano Martínez,23.0,GK,33-287,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,881ab666
Amine Gouiri,9.0,FW,26-120,63,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,aad56ca3,1e2dba57,881ab666
Mohamed Amoura,18.0,"FW,MF",26-038,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6597f8b6,1e2dba57,881ab666
Fares Chaïbi,10.0,AM,23-200,90,0,0,0,0,3,0,0,0,1,0,1,2,2,0,0,0,0,357103bd,1e2dba57,881ab666
Ibrahim Maza,22.0,AM,20-204,81,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,89b3bc5e,1e2dba57,881ab666
Ramiz Zerrouki,6.0,MF,28-021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c762b1a6,1e2dba57,881ab666
Anis Hadj Moussa,11.0,AM,24-125,63,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7bc7eef2,1e2dba57,881ab666
Riyad Mahrez,7.0,"FW,MF",35-115,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,892d5bb1,1e2dba57,881ab666
Nabil Bentaleb,19.0,DM,31-204,80,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3189f61a,1e2dba57,881ab666
Adil Boulbina,20.0,FW,23-045,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12f7f264,1e2dba57,881ab666
Hicham Boudaoui,14.0,DM,26-266,63,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,f9d5908e,1e2dba57,881ab666
Houssem Aouar,8.0,MF,27-351,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,a5db0bec,1e2dba57,881ab666
Rayan Aït-Nouri,15.0,LB,25-010,90,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,0,0,9b398aea,1e2dba57,881ab666
Ramy Bensebaini,21.0,CB,31-061,90,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,378825c7,1e2dba57,881ab666
Aïssa Mandi,2.0,CB,34-237,90,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,fbd6378b,1e2dba57,881ab666
Rafik Belghali,17.0,RB,24-009,90,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0abcb968,1e2dba57,881ab666
Luca Zidane,23.0,GK,28-034,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c818c4d9,1e2dba57,881ab666
