Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Jürgen Locadia,9.0,FW,32-230,89,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6cc47ae1,e0f5893a,89835aff
Brandley Kuwas,17.0,"FW,MF",33-279,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42c94967,e0f5893a,89835aff
Juninho Bacuna,7.0,LM,28-322,90,0,0,0,0,1,0,1,0,3,0,0,4,1,0,0,0,0,aaf1bf05,e0f5893a,89835aff
Leandro Bacuna,10.0,CM,34-308,90,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,9dc69d38,e0f5893a,89835aff
Livano Comenencia,8.0,CM,22-142,60,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,c9d96dc1,e0f5893a,89835aff
Jeremy Antonisse,11.0,"FW,MF",24-088,30,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,6011e63a,e0f5893a,89835aff
Tahith Chong,21.0,RM,26-203,90,0,0,0,0,3,2,0,0,1,2,0,1,0,1,0,0,0,2696b6a9,e0f5893a,89835aff
Sherel Floranus,5.0,LB,27-306,90,0,0,0,0,1,0,0,0,1,0,1,0,3,1,0,0,0,5ad49fbb,e0f5893a,89835aff
Deveron Fonville,24.0,CB,23-040,76,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,21932982,e0f5893a,89835aff
Tyrese Noslin,13.0,MF,23-287,14,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,c3709bd2,e0f5893a,89835aff
Armando Obispo,18.0,CB,27-112,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2ffa6348,e0f5893a,89835aff
Juriën Gaari,3.0,CB,32-184,76,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,bf7a9d1a,e0f5893a,89835aff
Gervane Kastaneer,19.0,"FW,MF",30-016,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0c142e14,e0f5893a,89835aff
Joshua Brenet,20.0,RB,32-097,89,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,2b5527c4,e0f5893a,89835aff
Shurandy Sambo,2.0,DF,24-310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4b1d5a70,e0f5893a,89835aff
Eloy Room,1.0,GK,37-139,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6b33d86b,e0f5893a,89835aff
Ange-Yoan Bonny,9.0,FW,22-243,66,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,64629ba4,24772b12,89835aff
Oumar Diakité,14.0,FW,22-187,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44435c8f,24772b12,89835aff
Nicolas Pépé,19.0,FW,31-027,66,2,0,0,0,2,2,1,0,1,0,1,1,0,2,0,0,0,57e3f0c7,24772b12,89835aff
Elye Wahi,12.0,FW,23-174,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0d7b6576,24772b12,89835aff
Yan Diomandé,11.0,LW,19-223,66,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,919f5f54,24772b12,89835aff
Bazoumana Touré,24.0,MF,20-115,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,93945a50,24772b12,89835aff
Amad Diallo,15.0,RW,23-349,45,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,9dc96f10,24772b12,89835aff
Christ Inao Oulaï,26.0,MF,20-080,45,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,62709ee4,24772b12,89835aff
Franck Kessié,8.0,CM,29-188,76,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,05e19d6a,24772b12,89835aff
Jean Seri,4.0,MF,34-341,14,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10efd0e1,24772b12,89835aff
Ibrahim Sangaré,18.0,CM,28-205,90,0,1,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,bced0375,24772b12,89835aff
Christopher Opéri,13.0,LB,29-057,90,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,914bb955,24772b12,89835aff
Ousmane Diomande,2.0,CB,22-203,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,394be156,24772b12,89835aff
Odilon Kossounou,7.0,CB,25-172,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1f3afdcb,24772b12,89835aff
Guéla Doué,17.0,RB,23-251,90,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,b4ef3fb5,24772b12,89835aff
Yahia Fofana,1.0,GK,25-308,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9d420dad,24772b12,89835aff
