Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Folarin Balogun,20.0,FW,24-363,63,1,0,0,0,4,1,0,1,1,1,1,0,0,0,0,0,0,31822f8c,0f66725b,89aea7f3
Christian Pulisic,10.0,LW,27-286,87,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,1bf33a9a,0f66725b,89aea7f3
Ricardo Pepi,9.0,FW,23-173,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,a2b1ed42,0f66725b,89aea7f3
Malik Tillman,17.0,AM,24-034,90,1,0,0,0,2,1,0,0,0,2,0,5,2,0,0,0,0,a5420709,0f66725b,89aea7f3
Weston McKennie,8.0,AM,27-307,89,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0,0,01c3aff5,0f66725b,89aea7f3
Gio Reyna,7.0,MF,23-230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7fa4e703,0f66725b,89aea7f3
Sergiño Dest,2.0,RW,25-240,87,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,5976f83e,0f66725b,89aea7f3
Sebastian Berhalter,14.0,MF,25-052,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f33ee427,0f66725b,89aea7f3
Tyler Adams,4.0,DM,27-137,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2b09d998,0f66725b,89aea7f3
Antonee Robinson,5.0,LB,28-327,90,0,0,0,0,0,0,0,0,1,1,0,4,1,2,0,0,0,289601e6,0f66725b,89aea7f3
Tim Ream,13.0,CB,38-269,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28b40c9c,0f66725b,89aea7f3
Chris Richards,3.0,CB,26-095,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0a3d6d2b,0f66725b,89aea7f3
Alex Freeman,16.0,RB,21-326,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,754f150b,0f66725b,89aea7f3
Matt Freese,24.0,GK,27-302,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2f49476c,0f66725b,89aea7f3
Ermedin Demirović,10.0,FW,28-098,90,0,0,0,0,2,2,0,0,3,1,0,0,0,1,0,0,0,ed79b7d3,6c5ef1c3,89aea7f3
Edin Džeko,11.0,FW,40-106,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3bb7f478,6c5ef1c3,89aea7f3
Ermin Mahmić,26.0,MF,21-109,40,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,86e34165,6c5ef1c3,89aea7f3
Kerim Alajbegović,19.0,CM,18-283,90,0,0,0,0,2,0,0,0,0,1,0,4,0,1,0,0,0,f3d9291e,6c5ef1c3,89aea7f3
Ivan Šunjić,14.0,CM,29-265,50,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,e18098de,6c5ef1c3,89aea7f3
Benjamin Tahirovic,6.0,MF,23-120,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,eb3022c3,6c5ef1c3,89aea7f3
Armin Gigovic,8.0,CM,24-086,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,d0a0858e,6c5ef1c3,89aea7f3
Esmir Bajraktarevic,20.0,MF,21-113,40,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,dff24174,6c5ef1c3,89aea7f3
Sead Kolašinac,5.0,LB,33-011,74,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3935e52e,6c5ef1c3,89aea7f3
Haris Tabaković,23.0,FW,32-011,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723b19c7,6c5ef1c3,89aea7f3
Stjepan Radeljić,21.0,CB,28-299,90,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,30e03a25,6c5ef1c3,89aea7f3
Tarik Muharemovic,4.0,CB,23-123,90,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,426dda23,6c5ef1c3,89aea7f3
Nikola Katić,18.0,CB,29-264,74,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,35bd124a,6c5ef1c3,89aea7f3
Amar Memić,15.0,MF,25-162,16,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,918c187c,6c5ef1c3,89aea7f3
Amar Dedić,7.0,RB,23-317,90,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,bc6e544a,6c5ef1c3,89aea7f3
Nikola Vasilj,1.0,GK,30-211,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f038585f,6c5ef1c3,89aea7f3
