Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Deniz Undav,26.0,FW,29-345,62,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,dd549382,c1e40422,89da405b
Jamal Musiala,10.0,MF,23-123,58,0,0,0,0,0,0,1,0,1,2,0,4,1,0,0,0,0,2c0558b8,c1e40422,89da405b
Kai Havertz,7.0,FW,27-018,120,1,0,0,0,4,3,1,0,2,3,1,1,0,0,0,0,0,fed7cb61,c1e40422,89da405b
Florian Wirtz,17.0,LW,23-057,109,0,1,0,0,2,0,0,0,0,2,1,10,2,0,0,0,0,e7fcf289,c1e40422,89da405b
Nadiem Amiri,20.0,MF,29-245,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,555d5edd,c1e40422,89da405b
Leroy Sané,19.0,RW,30-169,87,0,0,0,0,1,0,0,0,0,0,1,8,0,1,0,0,0,2b114be3,c1e40422,89da405b
Nick Woltemade,11.0,"FW,MF",24-135,33,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7ca196eb,c1e40422,89da405b
Aleksandar Pavlovic,5.0,CM,22-057,78,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,2658c82f,c1e40422,89da405b
Waldemar Anton,3.0,"DF,MF",29-344,42,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0,0,0,5e66fa06,c1e40422,89da405b
Felix Nmecha,23.0,CM,25-262,45,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,091c86e2,c1e40422,89da405b
Leon Goretzka,8.0,MF,31-143,75,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,cc86b9a3,c1e40422,89da405b
Nathaniel Brown,18.0,LB,23-013,120,0,0,0,0,0,0,0,0,2,1,0,9,3,0,0,0,0,abc79c47,c1e40422,89da405b
Antonio Rüdiger,2.0,CB,33-118,109,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,18b896d6,c1e40422,89da405b
Malick Thiaw,24.0,"DF,MF",24-325,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff5ea0bf,c1e40422,89da405b
Jonathan Tah,4.0,CB,30-138,120,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,bd142efb,c1e40422,89da405b
Joshua Kimmich,6.0,RB,31-141,120,0,0,0,0,5,1,0,0,0,2,0,16,1,0,0,0,0,49296448,c1e40422,89da405b
Manuel Neuer,1.0,GK,40-094,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8778c910,c1e40422,89da405b
Gabriel Ávalos,21.0,FW,35-260,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,b6781b67,d2043442,89da405b
Gustavo Caballero,24.0,"FW,MF",24-281,66,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,90a38ca7,d2043442,89da405b
Julio Enciso,19.0,FW,22-157,57,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,0,9cfbad36,d2043442,89da405b
Mauricio,11.0,MF,25-038,63,0,0,0,0,0,0,0,0,1,1,0,8,1,1,0,0,0,bf4cbc22,d2043442,89da405b
Miguel Almirón,10.0,FW,32-139,90,0,0,0,0,1,0,0,0,0,3,0,3,1,1,0,0,0,862a1c15,d2043442,89da405b
Gustavo Velásquez,2.0,DF,35-073,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b99b4cf5,d2043442,89da405b
Matías Galarza,23.0,CM,24-138,120,0,1,0,0,0,0,1,0,4,3,0,1,2,2,0,0,0,8e97a57b,d2043442,89da405b
Damián Bobadilla,16.0,CM,24-353,98,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,ad7d6437,d2043442,89da405b
Antonio Sanabria,9.0,FW,30-117,22,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0a447501,d2043442,89da405b
Andrés Cubas,14.0,DM,30-038,120,0,0,0,0,0,0,1,0,1,1,0,0,3,3,0,0,0,9b40a6ea,d2043442,89da405b
Júnior Alonso,6.0,LB,33-140,119,0,0,0,0,1,1,0,0,2,0,0,1,3,0,0,0,0,b18a3023,d2043442,89da405b
Fabián Balbuena,5.0,DF,34-310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626f7d9,d2043442,89da405b
José Canale,13.0,CB,29-344,120,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,0,0,97d24b73,d2043442,89da405b
Gustavo Gómez,15.0,CB,33-054,120,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,d5ce52a5,d2043442,89da405b
Juan Cáceres,4.0,RB,26-028,98,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,db887bdf,d2043442,89da405b
Braian Ojeda,20.0,MF,26-002,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60953af0,d2043442,89da405b
Orlando Gill,12.0,GK,26-018,120,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0d425331,d2043442,89da405b
