Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Julio Enciso,19.0,FW,22-162,60,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,9cfbad36,d2043442,8ad9833e
Gustavo Caballero,24.0,"FW,MF",24-286,30,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,90a38ca7,d2043442,8ad9833e
Matías Galarza,23.0,LM,24-143,90,0,0,0,0,0,0,0,0,3,3,0,0,2,3,0,0,0,8e97a57b,d2043442,8ad9833e
Andrés Cubas,14.0,CM,30-043,90,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,9b40a6ea,d2043442,8ad9833e
Diego Gómez,8.0,CM,23-099,70,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,916728da,d2043442,8ad9833e
Mauricio,11.0,MF,25-043,20,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,bf4cbc22,d2043442,8ad9833e
Miguel Almirón,10.0,RM,32-144,70,0,0,0,0,1,0,0,0,0,2,0,1,2,1,0,0,0,862a1c15,d2043442,8ad9833e
Gabriel Ávalos,21.0,FW,35-265,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b6781b67,d2043442,8ad9833e
Júnior Alonso,6.0,LB,33-145,90,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,b18a3023,d2043442,8ad9833e
Omar Alderete,3.0,CB,29-190,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb08bce9,d2043442,8ad9833e
José Canale,13.0,DF,29-349,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97d24b73,d2043442,8ad9833e
Gustavo Gómez,15.0,CB,33-059,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,d5ce52a5,d2043442,8ad9833e
Gustavo Velásquez,2.0,CB,35-078,90,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,b99b4cf5,d2043442,8ad9833e
Juan Cáceres,4.0,RB,26-033,90,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,db887bdf,d2043442,8ad9833e
Orlando Gill,12.0,GK,26-023,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d425331,d2043442,8ad9833e
Kylian Mbappé,10.0,FW,27-196,90,1,0,1,1,5,4,0,0,1,2,0,0,0,0,0,0,0,42fd9c7f,b1b36dcd,8ad9833e
Bradley Barcola,12.0,AM,23-305,60,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,a0d55a09,b1b36dcd,8ad9833e
Désiré Doué,20.0,"FW,MF",21-031,30,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,9e7483ff,b1b36dcd,8ad9833e
Michael Olise,11.0,AM,24-204,90,0,0,0,0,0,0,1,0,2,3,0,5,1,1,0,0,0,c4486bac,b1b36dcd,8ad9833e
Ousmane Dembélé,7.0,AM,29-050,83,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,b19db005,b1b36dcd,8ad9833e
Rayan Cherki,24.0,"FW,MF",22-321,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,b34c63a5,b1b36dcd,8ad9833e
Adrien Rabiot,14.0,DM,31-092,90,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,8794e251,b1b36dcd,8ad9833e
Manu Koné,6.0,DM,25-048,90,0,0,0,0,3,1,1,0,2,2,0,0,1,2,0,0,0,86574238,b1b36dcd,8ad9833e
Lucas Digne,3.0,LB,32-349,90,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1b84dbe1,b1b36dcd,8ad9833e
William Saliba,17.0,CB,25-102,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,972aeb2a,b1b36dcd,8ad9833e
Dayot Upamecano,4.0,CB,27-250,90,0,0,0,0,0,0,0,0,1,2,0,0,3,4,0,0,0,d248cd8f,b1b36dcd,8ad9833e
Jules Koundé,5.0,RB,27-234,90,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4d1666ff,b1b36dcd,8ad9833e
Mike Maignan,16.0,GK,31-001,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,8ad9833e
