Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Dailon Livramento,19.0,FW,25-053,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c115db1e,31fa6fa6,8d6d70b6
Nuno da Costa,21.0,"FW,MF",35-136,30,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,909222de,31fa6fa6,8d6d70b6
Willy Semedo,17.0,FW,32-060,60,0,0,0,0,2,0,0,0,2,2,0,1,0,2,0,0,0,d1edc98f,31fa6fa6,8d6d70b6
Hélio Varela,26.0,FW,24-054,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,91c99fec,31fa6fa6,8d6d70b6
Ryan Mendes,20.0,FW,36-169,71,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,ba6e01ab,31fa6fa6,8d6d70b6
Garry Rodrigues,11.0,"FW,MF",35-211,19,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,149895bf,31fa6fa6,8d6d70b6
Jamiro Monteiro,10.0,CM,32-215,70,0,0,0,0,2,1,0,0,2,0,0,4,0,0,0,0,0,d384bddd,31fa6fa6,8d6d70b6
Laros Duarte,15.0,MF,29-118,20,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4af3d3c8,31fa6fa6,8d6d70b6
Deroy Duarte,14.0,CM,26-357,90,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,6af8fc5b,31fa6fa6,8d6d70b6
Kevin Pina,6.0,DM,29-150,90,0,0,0,0,2,0,0,0,2,2,0,2,2,1,0,0,0,296026ae,31fa6fa6,8d6d70b6
João Paulo Fernandes,8.0,LB,28-031,90,0,0,0,0,2,0,0,0,0,3,0,5,1,4,0,0,0,afcac9da,31fa6fa6,8d6d70b6
Diney,3.0,CB,31-160,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,d2e33ba2,31fa6fa6,8d6d70b6
Pico,4.0,CB,34-009,90,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,faef0f92,31fa6fa6,8d6d70b6
Wagner Pina,24.0,RB,23-235,89,0,0,0,0,1,0,1,0,1,3,0,2,0,1,0,0,0,9bf22b95,31fa6fa6,8d6d70b6
Steven Moreira,22.0,"DF,MF",31-317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f10983ae,31fa6fa6,8d6d70b6
Vozinha,1.0,GK,40-023,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc04ac24,31fa6fa6,8d6d70b6
Firas Al-Buraikan,9.0,FW,26-043,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,ac717a23,6e84edac,8d6d70b6
Salem Al-Dawsari,10.0,AM,34-311,65,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,60ee859c,6e84edac,8d6d70b6
Mohammed Abu Al-Shamat,26.0,"DF,MF",23-319,25,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,dd65e243,6e84edac,8d6d70b6
Mohamed Kanno,23.0,AM,31-277,90,0,0,0,0,1,1,0,0,4,0,0,0,3,1,0,0,0,74ccf212,6e84edac,8d6d70b6
Sultan Mendash,20.0,AM,31-252,65,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,8738a7a1,6e84edac,8d6d70b6
Abdullah Al-Hamdan,19.0,FW,26-286,25,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,cc4b5436,6e84edac,8d6d70b6
Nasser Al-Dawsari,6.0,DM,27-189,90,0,0,0,0,1,0,1,0,4,1,0,1,1,2,0,0,0,7709e4a6,6e84edac,8d6d70b6
Abdullah Al-Khaibari,15.0,DM,29-314,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,ab47ae1c,6e84edac,8d6d70b6
Musab Al Juwayr,7.0,MF,23-006,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,62592fc1,6e84edac,8d6d70b6
Nawaf Boushal,13.0,LB,26-283,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7dc1c2c6,6e84edac,8d6d70b6
Moteb Al-Harbi,24.0,DF,26-126,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1d88554c,6e84edac,8d6d70b6
Hassan Al Tambakti,5.0,CB,27-137,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6d78c320,6e84edac,8d6d70b6
Ali Lajami,3.0,DF,30-063,58,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,46f7ab4f,6e84edac,8d6d70b6
Abdulelah Al-Amri,4.0,CB,29-162,90,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,fd0affe3,6e84edac,8d6d70b6
Saud Abdulhamid,12.0,RB,26-343,90,0,0,0,0,1,0,1,0,2,1,0,3,5,1,0,0,0,caa254e4,6e84edac,8d6d70b6
Mohammed Al-Owais,21.0,GK,34-259,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f2c060c6,6e84edac,8d6d70b6
