Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-206,90,0,0,0,0,3,0,1,0,1,1,3,1,0,0,0,0,0,42fd9c7f,b1b36dcd,9575513b
Bradley Barcola,12.0,AM,23-315,56,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,a0d55a09,b1b36dcd,9575513b
Désiré Doué,20.0,"FW,MF",21-041,34,0,0,0,0,2,1,0,0,0,1,0,1,2,0,0,0,0,9e7483ff,b1b36dcd,9575513b
Michael Olise,11.0,AM,24-214,71,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,c4486bac,b1b36dcd,9575513b
Rayan Cherki,24.0,"FW,MF",22-331,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b34c63a5,b1b36dcd,9575513b
Ousmane Dembélé,7.0,AM,29-060,90,0,0,0,0,2,2,0,0,0,1,0,5,0,0,0,0,0,b19db005,b1b36dcd,9575513b
Adrien Rabiot,14.0,DM,31-102,45,0,0,0,0,1,0,1,0,2,0,1,0,2,3,0,0,0,8794e251,b1b36dcd,9575513b
Manu Koné,6.0,MF,25-058,45,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,86574238,b1b36dcd,9575513b
Aurélien Tchouaméni,8.0,DM,26-168,90,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,4f255115,b1b36dcd,9575513b
Lucas Digne,3.0,LB,32-359,71,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1b84dbe1,b1b36dcd,9575513b
Theo Hernández,19.0,"DF,MF",28-281,19,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,d4c9725f,b1b36dcd,9575513b
William Saliba,17.0,CB,25-112,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972aeb2a,b1b36dcd,9575513b
Maxence Lacroix,26.0,DF,26-099,61,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,277c49ed,b1b36dcd,9575513b
Dayot Upamecano,4.0,CB,27-260,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,d248cd8f,b1b36dcd,9575513b
Jules Koundé,5.0,RB,27-244,90,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,4d1666ff,b1b36dcd,9575513b
Mike Maignan,16.0,GK,31-011,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,9575513b
Mikel Oyarzabal,21.0,FW,29-084,73,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,8c3c640c,b561dd30,9575513b
Ferran Torres,7.0,"FW,MF",26-135,17,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,9e1035f8,b561dd30,9575513b
Álex Baena,15.0,AM,24-359,83,0,0,0,0,2,0,0,0,1,2,2,3,1,0,0,0,0,518f2234,b561dd30,9575513b
Nico Williams,17.0,MF,24-002,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,afdc14d7,b561dd30,9575513b
Dani Olmo,10.0,AM,28-068,77,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,ae44e8e2,b561dd30,9575513b
Mikel Merino,6.0,MF,30-022,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,d080ed5e,b561dd30,9575513b
Lamine Yamal,19.0,AM,19-001,90,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,82ec26c1,b561dd30,9575513b
Fabián Ruiz Peña,8.0,DM,30-102,77,0,0,0,0,1,0,0,0,1,1,0,3,2,2,0,0,0,c0c7ff58,b561dd30,9575513b
Pedri,20.0,MF,23-231,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0d9b2d31,b561dd30,9575513b
Rodri,16.0,DM,30-022,90,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,6434f10d,b561dd30,9575513b
Marc Cucurella,24.0,LB,27-357,90,0,0,0,0,0,0,1,0,1,0,0,1,3,1,0,0,0,1daec722,b561dd30,9575513b
Aymeric Laporte,14.0,CB,32-048,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,119b9a8e,b561dd30,9575513b
Pau Cubarsí,22.0,CB,19-173,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,cc7888f3,b561dd30,9575513b
Pedro Porro,12.0,RB,26-304,83,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,27d0a506,b561dd30,9575513b
Marcos Llorente,5.0,"DF,MF",31-165,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,02c15616,b561dd30,9575513b
Unai Simón,23.0,GK,29-033,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5dcf3e90,b561dd30,9575513b
