Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ayase Ueda,18.0,FW,27-288,65,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,c0295327,ffcf1690,994aa701
Kōki Ogawa,19.0,FW,28-321,25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3d2e8955,ffcf1690,994aa701
Daizen Maeda,11.0,AM,28-248,90,1,0,0,0,2,1,0,0,2,0,1,0,2,0,0,0,0,395451fc,ffcf1690,994aa701
Ritsu Doan,10.0,AM,28-009,66,0,1,0,0,1,0,0,0,3,2,0,2,0,1,0,0,0,d01bbb6f,ffcf1690,994aa701
Junya Itō,14.0,"FW,MF",33-108,24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,dbd3a428,ffcf1690,994aa701
Keito Nakamura,13.0,DM,25-332,74,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,d97af612,ffcf1690,994aa701
Yūto Nagatomo,5.0,"DF,MF",39-286,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4b6960d2,ffcf1690,994aa701
Daichi Kamada,15.0,DM,29-324,90,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,15b287da,ffcf1690,994aa701
Ao Tanaka,7.0,DM,27-288,90,0,0,0,0,1,0,0,0,4,2,0,0,1,1,0,0,0,1d36d6b6,ffcf1690,994aa701
Yukinari Sugawara,2.0,DM,25-362,90,0,0,0,0,1,1,0,0,3,1,0,2,2,0,0,0,0,580bcd18,ffcf1690,994aa701
Hiroki Ito,21.0,CB,27-044,90,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,204dded0,ffcf1690,994aa701
Ko Itakura,4.0,CB,29-149,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97d545ae,ffcf1690,994aa701
Shogo Taniguchi,3.0,"DF,MF",34-345,52,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,828a9c47,ffcf1690,994aa701
Ayumu Seko,20.0,CB,26-018,74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5c6a4059,ffcf1690,994aa701
Tsuyoshi Watanabe,16.0,DF,29-140,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d5f5955a,ffcf1690,994aa701
Zion Suzuki,1.0,GK,23-308,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51e1f4f5,ffcf1690,994aa701
Viktor Gyökeres,17.0,FW,28-021,90,0,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,4d5a9185,296f69e7,994aa701
Alexander Isak,9.0,FW,26-277,90,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,8e92be30,296f69e7,994aa701
Anthony Elanga,11.0,FW,24-059,90,1,0,0,0,2,2,0,0,0,5,1,3,0,1,0,0,0,2fba6108,296f69e7,994aa701
Elliot Stroud,24.0,LM,24-003,74,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,ff11bdec,296f69e7,994aa701
Ken Sema,13.0,"FW,MF",32-268,16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1770bd68,296f69e7,994aa701
Yasin Ayari,18.0,CM,22-262,90,0,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,0,f173303a,296f69e7,994aa701
Victor Lindelöf,3.0,CM,31-343,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,f5deef4c,296f69e7,994aa701
Carl Starfelt,15.0,DF,31-024,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5cfec13d,296f69e7,994aa701
Alexander Bernhardsson,21.0,RM,27-290,74,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,dea1d183,296f69e7,994aa701
Daniel Svensson,8.0,"DF,MF",24-133,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124c9382,296f69e7,994aa701
Gabriel Gudmundsson,5.0,CB,27-057,87,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,d5d22a58,296f69e7,994aa701
Benjamin Nygren,10.0,"FW,MF",24-352,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d6ebf67f,296f69e7,994aa701
Isak Hien,4.0,CB,27-163,36,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,12806697,296f69e7,994aa701
Lucas Bergvall,7.0,MF,20-143,54,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,a109e5c8,296f69e7,994aa701
Gustaf Lagerbielke,2.0,CB,26-076,90,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,9e39fa2d,296f69e7,994aa701
Jacob Widell Zetterström,1.0,GK,27-349,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ac5120d8,296f69e7,994aa701
