Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Julián Álvarez,9.0,FW,26-157,89,0,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,15ab5a2b,f9fddd6e,99ef3f64
Facundo Medina,25.0,DF,27-040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6f5ec8bb,f9fddd6e,99ef3f64
Lionel Messi,10.0,FW,39-013,90,1,1,0,1,5,2,0,0,0,2,0,12,1,0,0,0,0,d70ce98e,f9fddd6e,99ef3f64
Alexis Mac Allister,20.0,AM,27-195,90,0,0,0,0,2,1,0,0,0,1,0,1,2,0,0,0,0,83d074ff,f9fddd6e,99ef3f64
Enzo Fernández,24.0,AM,25-171,90,1,0,0,0,2,1,0,0,2,0,1,0,1,0,0,0,0,5ff4ab71,f9fddd6e,99ef3f64
Rodrigo De Paul,7.0,AM,32-044,65,0,0,0,0,1,1,0,0,1,0,1,4,1,1,0,0,0,162efffd,f9fddd6e,99ef3f64
Lautaro Martínez,22.0,FW,28-319,25,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,f7036e1c,f9fddd6e,99ef3f64
Leandro Paredes,5.0,DM,32-008,90,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,dff153a4,f9fddd6e,99ef3f64
Nicolás Tagliafico,3.0,LB,33-310,65,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,f0661424,f9fddd6e,99ef3f64
Nicolás González,15.0,"FW,MF",28-092,25,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,2374aaca,f9fddd6e,99ef3f64
Lisandro Martínez,6.0,CB,28-170,90,0,0,0,0,1,0,0,0,2,2,0,2,4,2,0,0,0,bac46a10,f9fddd6e,99ef3f64
Cristian Romero,13.0,CB,28-071,89,1,0,0,0,1,1,0,0,1,0,0,0,3,2,0,0,0,a3d94a58,f9fddd6e,99ef3f64
Nicolás Otamendi,19.0,DF,38-145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0d267745,f9fddd6e,99ef3f64
Nahuel Molina,26.0,RB,28-092,72,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23610943,f9fddd6e,99ef3f64
Gonzalo Montiel,4.0,DF,29-187,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374d5158,f9fddd6e,99ef3f64
Emiliano Martínez,23.0,GK,33-308,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,99ef3f64
Mostafa Ziko,11.0,FW,29-071,79,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,68ff8437,b8889750,99ef3f64
Omar Marmoush,22.0,"FW,MF",27-150,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0e0102eb,b8889750,99ef3f64
Mohamed Salah,10.0,FW,34-022,90,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,e342ad68,b8889750,99ef3f64
Emam Ashour,8.0,LW,28-137,45,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,31b7d437,b8889750,99ef3f64
Hamdy Fathy,14.0,MF,31-281,45,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,c8ef4955,b8889750,99ef3f64
Haissem Hassan,12.0,RW,24-149,72,0,1,0,0,0,0,1,0,1,2,0,2,1,0,0,0,0,e0979e74,b8889750,99ef3f64
Trézéguet,7.0,"FW,MF",31-279,18,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3ae14ed1,b8889750,99ef3f64
Marwan Attia,19.0,CM,27-329,90,0,1,0,0,0,0,1,0,4,0,0,2,1,0,0,0,0,1ea3d7ec,b8889750,99ef3f64
Mohanad Lasheen,17.0,CM,30-039,89,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,8c041c7d,b8889750,99ef3f64
Zizo,25.0,MF,30-178,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,c6415ba9,b8889750,99ef3f64
Karim Hafez,15.0,LB,30-117,90,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,d2debf23,b8889750,99ef3f64
Ramy Rabia,5.0,CB,33-048,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,e32afa36,b8889750,99ef3f64
Yasser Ibrahim,2.0,CB,33-147,90,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0b89ad1b,b8889750,99ef3f64
Mohamed Hany,3.0,RB,30-163,90,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9bcf1513,b8889750,99ef3f64
Mostafa Shobeir,23.0,GK,26-053,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0cb1d2ba,b8889750,99ef3f64
