Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mehdi Taremi,9.0,FW,33-332,79,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,4c2a5d34,6a08f71e,a039dc32
Amirhossein Hosseinzadeh,18.0,FW,25-228,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47270f0c,6a08f71e,a039dc32
Shahriar Moghanlou,20.0,FW,31-176,52,0,0,0,0,3,0,0,0,1,1,0,1,1,0,0,0,0,92f69be8,6a08f71e,a039dc32
Ali Alipour,11.0,FW,30-216,38,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,488ee64c,6a08f71e,a039dc32
Aria Yousefi,17.0,LW,24-054,45,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,fd069512,6a08f71e,a039dc32
Mehdi Ghayedi,10.0,FW,27-192,45,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,b6c90b4b,6a08f71e,a039dc32
Mohammad Mohebi,8.0,RW,27-177,90,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7b6b53c3,6a08f71e,a039dc32
Saeid Ezatolahi,6.0,CM,29-257,90,0,0,0,0,2,1,0,0,2,0,0,0,1,3,0,0,0,314d95ac,6a08f71e,a039dc32
Saman Ghoddos,14.0,CM,32-282,64,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,f7b1d4e0,6a08f71e,a039dc32
Ehsan Hajsafi,3.0,"DF,MF",36-110,26,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,b060e3b8,6a08f71e,a039dc32
Milad Mohammadi,5.0,LB,32-259,90,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,740a0e28,6a08f71e,a039dc32
Ali Nemati,19.0,CB,30-127,90,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,19a221f7,6a08f71e,a039dc32
Shoja' Khalilzadeh,4.0,CB,37-032,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0aed29f1,6a08f71e,a039dc32
Ramin Rezaeian,23.0,RB,36-086,90,1,1,0,0,1,1,0,0,0,2,0,11,2,1,0,0,0,c0ae3446,6a08f71e,a039dc32
Alireza Beiranvand,1.0,GK,33-267,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ca0b04a,6a08f71e,a039dc32
Chris Wood,9.0,FW,34-190,90,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4e9a0555,259855f0,a039dc32
Elijah Just,11.0,AM,26-045,90,2,0,0,0,2,2,0,0,1,2,0,1,1,1,0,0,0,0c295d6e,259855f0,a039dc32
Sarpreet Singh,10.0,AM,27-115,89,0,0,0,0,3,2,0,0,1,0,0,4,1,0,0,0,0,4ba886c6,259855f0,a039dc32
Jesse Randall,21.0,MF,23-300,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,513ec88e,259855f0,a039dc32
Callum McCowatt,20.0,AM,27-046,67,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,3fc42049,259855f0,a039dc32
Ryan Thomas,23.0,"FW,MF",31-177,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,95efdac2,259855f0,a039dc32
Marko Stamenic,8.0,DM,24-116,89,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,690d1049,259855f0,a039dc32
Tyler Bindon,4.0,DF,21-139,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3575e5eb,259855f0,a039dc32
Joe Bell,6.0,DM,27-049,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,7825847e,259855f0,a039dc32
Liberato Cacace,13.0,LB,25-261,67,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,dd86e8e4,259855f0,a039dc32
Ben Old,19.0,MF,23-306,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,e14e818c,259855f0,a039dc32
Michael Boxall,5.0,CB,37-301,90,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,6bfa0d3a,259855f0,a039dc32
Finn Surman,16.0,CB,22-265,90,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,016e419b,259855f0,a039dc32
Tim Payne,2.0,RB,32-156,77,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,4e86877c,259855f0,a039dc32
Callan Elliot,24.0,DF,26-343,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9d6968a3,259855f0,a039dc32
Max Crocombe,1.0,GK,32-307,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fdf47077,259855f0,a039dc32
