Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Ante Budimir,11.0,FW,34-340,65,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8f3565b3,7b08e376,a051b2ea
Igor Matanović,20.0,FW,23-088,25,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,948e1292,7b08e376,a051b2ea
Martin Baturina,16.0,AM,23-131,87,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,0,0,d1eda5f0,7b08e376,a051b2ea
Marco Pašalić,24.0,MF,25-286,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1866b0f1,7b08e376,a051b2ea
Nikola Vlašić,13.0,AM,28-266,87,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,aa8e289e,7b08e376,a051b2ea
Joško Gvardiol,4.0,DF,24-155,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5ad50391,7b08e376,a051b2ea
Petar Sučić,17.0,AM,22-245,90,1,0,0,0,1,1,0,0,0,4,0,2,0,0,0,0,0,23fb46ea,7b08e376,a051b2ea
Mateo Kovačić,8.0,DM,32-052,77,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,79c0821a,7b08e376,a051b2ea
Mario Pašalić,15.0,"FW,MF",31-138,13,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,e599253a,7b08e376,a051b2ea
Luka Modrić,10.0,DM,40-291,90,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6025fab1,7b08e376,a051b2ea
Ivan Perišić,14.0,LB,37-145,90,0,0,0,0,1,1,1,0,1,0,0,4,2,1,0,0,0,6fe90922,7b08e376,a051b2ea
Marin Pongračić,3.0,CB,28-289,90,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,2a6cd437,7b08e376,a051b2ea
Josip Šutalo,6.0,CB,26-119,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,33a6a650,7b08e376,a051b2ea
Josip Stanišić,2.0,RB,26-086,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7ed08d5c,7b08e376,a051b2ea
Dominik Livaković,1.0,GK,31-169,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58f077c0,7b08e376,a051b2ea
Jordan Ayew,9.0,FW,34-289,70,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,da052c14,9349828d,a051b2ea
Brandon Thomas-Asante,10.0,"FW,MF",27-180,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fb152f96,9349828d,a051b2ea
Kamaldeen Sulemana,22.0,FW,24-132,70,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,a62f8bf1,9349828d,a051b2ea
Ernest Nuamah,24.0,"FW,MF",22-238,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,234a703c,9349828d,a051b2ea
Antoine Semenyo,11.0,FW,26-171,90,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,efd2ec23,9349828d,a051b2ea
Kwasi Sibo,8.0,CM,28-003,84,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,be834ad7,9349828d,a051b2ea
Caleb Yirenkyi,3.0,MF,20-163,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d40ce7b0,9349828d,a051b2ea
Elisha Owusu,15.0,CM,28-232,45,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,e2781082,9349828d,a051b2ea
Abdul Fatawu Issahaku,7.0,"FW,MF",22-111,45,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,bceda5ff,9349828d,a051b2ea
Thomas Partey,5.0,DM,33-014,90,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,529f49ab,9349828d,a051b2ea
Gideon Mensah,14.0,LB,27-344,90,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,9bdd8118,9349828d,a051b2ea
Derrick Luckassen,23.0,CB,30-359,90,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,30a09cb5,9349828d,a051b2ea
Jonas Adjetey,4.0,CB,22-196,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdbf78cd,9349828d,a051b2ea
Kojo Peprah Oppong,21.0,DF,22-023,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,37a6fdb3,9349828d,a051b2ea
Marvin Senaya,26.0,RB,25-150,90,0,0,0,0,1,0,0,0,3,2,0,2,3,3,0,0,0,1d383c10,9349828d,a051b2ea
Benjamin Asare,16.0,GK,33-349,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4bb65492,9349828d,a051b2ea
