Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Edin Džeko,11.0,FW,40-099,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3bb7f478,6c5ef1c3,a59cb59d
Ermin Mahmić,26.0,MF,21-102,27,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,86e34165,6c5ef1c3,a59cb59d
Ermedin Demirović,10.0,FW,28-091,90,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,ed79b7d3,6c5ef1c3,a59cb59d
Kerim Alajbegović,19.0,LW,18-276,81,1,0,0,0,2,1,0,0,2,4,1,5,0,0,0,0,0,f3d9291e,6c5ef1c3,a59cb59d
Dženis Burnić,17.0,MF,28-033,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0dabaf14,6c5ef1c3,a59cb59d
Esmir Bajraktarevic,20.0,RW,21-106,90,0,0,0,0,2,1,0,0,0,1,0,5,0,1,0,0,0,dff24174,6c5ef1c3,a59cb59d
Ivan Bašić,13.0,CM,24-055,90,0,1,0,0,4,0,0,0,0,3,0,5,1,1,0,0,0,9b0a0d51,6c5ef1c3,a59cb59d
Ivan Šunjić,14.0,CM,29-258,45,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,e18098de,6c5ef1c3,a59cb59d
Benjamin Tahirovic,6.0,MF,23-113,45,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,eb3022c3,6c5ef1c3,a59cb59d
Sead Kolašinac,5.0,LB,33-004,90,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,3935e52e,6c5ef1c3,a59cb59d
Stjepan Radeljić,21.0,CB,28-292,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30e03a25,6c5ef1c3,a59cb59d
Nikola Katić,18.0,CB,29-257,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35bd124a,6c5ef1c3,a59cb59d
Dennis Hadžikadunić,3.0,DF,27-350,27,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,82cfae2a,6c5ef1c3,a59cb59d
Arjan Malic,24.0,RB,20-300,45,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,de57cd45,6c5ef1c3,a59cb59d
Amar Memić,15.0,MF,25-155,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,918c187c,6c5ef1c3,a59cb59d
Nikola Vasilj,1.0,GK,30-204,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f038585f,6c5ef1c3,a59cb59d
Akram Afif,11.0,FW,29-218,90,0,0,0,0,2,0,0,0,0,1,2,6,0,0,0,0,0,fd53d9e7,9b696ed1,a59cb59d
Hassan Al-Haydos,10.0,AM,35-195,54,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,41bd6c64,9b696ed1,a59cb59d
Ahmed Al-Ganehi,17.0,FW,25-275,36,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,efcf04d2,9b696ed1,a59cb59d
Edmilson Junior,8.0,AM,31-309,78,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,620764f4,9b696ed1,a59cb59d
Ahmed Alaaeldin,7.0,FW,33-144,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,74fbbb3c,9b696ed1,a59cb59d
Karim Boudiaf,12.0,DM,35-281,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a38f33fd,9b696ed1,a59cb59d
Almoez Ali,19.0,FW,29-309,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,bae045a9,9b696ed1,a59cb59d
Ahmed Fathy,20.0,DM,33-150,78,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,f2369793,9b696ed1,a59cb59d
Mohamed Manai,26.0,DF,23-242,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1e20b706,9b696ed1,a59cb59d
Jassem Gaber,5.0,DM,24-124,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,af9ef8aa,9b696ed1,a59cb59d
Abdulaziz Hatem,6.0,MF,36-174,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,c5065ef8,9b696ed1,a59cb59d
Sultan Al-Brake,18.0,LB,30-078,90,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,fcaa2400,9b696ed1,a59cb59d
Issa Laye,4.0,CB,28-184,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,c078667a,9b696ed1,a59cb59d
Boualem Khoukhi,16.0,CB,35-350,90,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,7be5ad52,9b696ed1,a59cb59d
Ró-Ró,2.0,RB,35-322,90,0,0,0,0,3,1,0,0,0,2,0,2,2,1,0,0,0,8735fe66,9b696ed1,a59cb59d
Mahmoud Abunada,1.0,GK,26-139,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27e7e545,9b696ed1,a59cb59d
