Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kylian Mbappé,10.0,FW,27-210,90,2,1,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,42fd9c7f,b1b36dcd,aba06a2a
Désiré Doué,20.0,AM,21-045,45,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,9e7483ff,b1b36dcd,aba06a2a
Bradley Barcola,12.0,"FW,MF",23-319,45,1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,a0d55a09,b1b36dcd,aba06a2a
Rayan Cherki,24.0,AM,22-335,45,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,b34c63a5,b1b36dcd,aba06a2a
Ousmane Dembélé,7.0,"FW,MF",29-064,45,1,0,0,0,2,2,0,0,0,1,1,2,0,0,0,0,0,b19db005,b1b36dcd,aba06a2a
Michael Olise,11.0,AM,24-218,90,0,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,c4486bac,b1b36dcd,aba06a2a
Adrien Rabiot,14.0,DM,31-106,90,0,0,0,0,1,0,0,0,2,1,0,0,2,2,0,0,0,8794e251,b1b36dcd,aba06a2a
Warren Zaïre-Emery,18.0,DM,20-132,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6b9960cf,b1b36dcd,aba06a2a
Theo Hernández,19.0,LB,28-285,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,d4c9725f,b1b36dcd,aba06a2a
Lucas Digne,3.0,"DF,MF",32-363,45,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1b84dbe1,b1b36dcd,aba06a2a
Maxence Lacroix,26.0,CB,26-103,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,277c49ed,b1b36dcd,aba06a2a
Ibrahima Konaté,15.0,CB,27-054,45,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5ed9b537,b1b36dcd,aba06a2a
Dayot Upamecano,4.0,DF,27-264,45,0,1,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,d248cd8f,b1b36dcd,aba06a2a
Malo Gusto,2.0,RB,23-060,89,0,0,0,0,0,0,0,0,2,2,0,2,3,1,0,0,0,d56b9520,b1b36dcd,aba06a2a
Jules Koundé,5.0,DF,27-248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d1666ff,b1b36dcd,aba06a2a
Mike Maignan,16.0,GK,31-015,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fcb38f57,b1b36dcd,aba06a2a
Ivan Toney,22.0,FW,30-124,78,0,0,0,0,2,1,0,0,0,3,2,0,0,0,0,0,0,e09f279b,1862c019,aba06a2a
Elliot Anderson,8.0,MF,23-254,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,de31038e,1862c019,aba06a2a
Marcus Rashford,11.0,LW,28-260,45,0,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,a1d5bd30,1862c019,aba06a2a
Ollie Watkins,19.0,"FW,MF",30-200,45,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,aed3a70f,1862c019,aba06a2a
Eberechi Eze,21.0,AM,28-019,78,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,ae4fc6a4,1862c019,aba06a2a
Jude Bellingham,10.0,MF,23-019,12,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,57d88cf9,1862c019,aba06a2a
Morgan Rogers,17.0,AM,23-357,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2e5915f1,1862c019,aba06a2a
Bukayo Saka,7.0,RW,24-316,90,3,0,1,1,5,4,0,0,0,2,1,4,1,0,0,0,0,bc7dc64d,1862c019,aba06a2a
Declan Rice,4.0,DM,27-185,90,1,1,0,0,1,1,0,0,1,0,0,5,2,3,0,0,0,1c7012b8,1862c019,aba06a2a
Djed Spence,25.0,LB,25-343,90,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,9bc9a519,1862c019,aba06a2a
Marc Guéhi,6.0,CB,26-005,89,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,d0706b27,1862c019,aba06a2a
Trevoh Chalobah,12.0,"DF,MF",27-013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515376c,1862c019,aba06a2a
Ezri Konsa,2.0,CB,28-268,90,1,0,0,0,1,1,0,0,1,0,0,0,2,4,0,0,0,0313a347,1862c019,aba06a2a
Jarell Quansah,26.0,RB,23-170,82,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4125cb98,1862c019,aba06a2a
Reece James,24.0,"DF,MF",26-222,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1265a93a,1862c019,aba06a2a
Dean Henderson,13.0,GK,29-128,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,e5a76dfe,1862c019,aba06a2a
