Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Folarin Balogun,20.0,FW,25-003,89,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,31822f8c,0f66725b,ac3ca9ea
Haji Wright,19.0,"FW,MF",28-101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91cd37b7,0f66725b,ac3ca9ea
Christian Pulisic,10.0,LW,27-291,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1bf33a9a,0f66725b,ac3ca9ea
Sebastian Berhalter,14.0,MF,25-057,32,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,f33ee427,0f66725b,ac3ca9ea
Malik Tillman,17.0,AM,24-039,90,1,0,0,0,1,1,1,0,2,4,0,0,2,2,0,0,0,a5420709,0f66725b,ac3ca9ea
Weston McKennie,8.0,AM,27-312,90,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,01c3aff5,0f66725b,ac3ca9ea
Sergiño Dest,2.0,RW,25-245,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5976f83e,0f66725b,ac3ca9ea
Gio Reyna,7.0,MF,23-235,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7fa4e703,0f66725b,ac3ca9ea
Tyler Adams,4.0,DM,27-142,71,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2b09d998,0f66725b,ac3ca9ea
Ricardo Pepi,9.0,FW,23-178,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,a2b1ed42,0f66725b,ac3ca9ea
Antonee Robinson,5.0,LB,28-332,89,0,0,0,0,0,0,0,0,2,0,0,4,3,2,0,0,0,289601e6,0f66725b,ac3ca9ea
Max Arfsten,18.0,MF,25-078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668f881e,0f66725b,ac3ca9ea
Tim Ream,13.0,CB,38-274,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28b40c9c,0f66725b,ac3ca9ea
Chris Richards,3.0,CB,26-100,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0a3d6d2b,0f66725b,ac3ca9ea
Alex Freeman,16.0,RB,21-331,90,0,0,0,0,2,0,0,0,0,0,0,3,3,2,0,0,0,754f150b,0f66725b,ac3ca9ea
Matt Freese,24.0,GK,27-307,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f49476c,0f66725b,ac3ca9ea
Charles De Ketelaere,17.0,FW,25-118,66,2,1,0,0,3,3,0,0,0,1,1,1,1,2,0,0,0,2ef7c612,361422b9,ac3ca9ea
Romelu Lukaku,9.0,FW,33-054,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5eae500a,361422b9,ac3ca9ea
Leandro Trossard,10.0,AM,31-214,88,0,1,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,38ceb24a,361422b9,ac3ca9ea
Alexis Saelemaekers,22.0,MF,27-009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ee251371,361422b9,ac3ca9ea
Youri Tielemans,8.0,AM,29-060,90,0,0,0,0,2,0,0,0,1,1,0,2,2,1,0,0,0,56f7a928,361422b9,ac3ca9ea
Dodi Lukebakio,14.0,AM,28-285,66,0,0,0,0,2,0,0,0,1,1,0,3,1,0,0,0,0,0c61c77c,361422b9,ac3ca9ea
Jeremy Doku,11.0,"FW,MF",24-040,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,fffea3e5,361422b9,ac3ca9ea
Nicolas Raskin,23.0,DM,25-133,88,0,1,0,0,1,1,0,0,3,1,0,1,3,0,0,0,0,dba1f190,361422b9,ac3ca9ea
Axel Witsel,6.0,"DF,MF",37-175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5dfc6ad5,361422b9,ac3ca9ea
Amadou Onana,24.0,DM,24-324,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,828657ff,361422b9,ac3ca9ea
Hans Vanaken,20.0,MF,33-316,70,1,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,392a7aea,361422b9,ac3ca9ea
Maxim De Cuyper,5.0,LB,25-196,90,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,d494882e,361422b9,ac3ca9ea
Brandon Mechele,4.0,CB,33-159,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0a6dbbf7,361422b9,ac3ca9ea
Nathan Ngoy,25.0,CB,23-026,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,eb7abf2e,361422b9,ac3ca9ea
Timothy Castagne,21.0,RB,30-213,90,0,0,0,0,1,1,0,0,2,1,0,2,0,1,0,0,0,197640fd,361422b9,ac3ca9ea
Thibaut Courtois,1.0,GK,34-056,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840e36d,361422b9,ac3ca9ea
