Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mostafa Ziko,11.0,FW,29-060,75,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,68ff8437,b8889750,acc93b55
Hamza Abdelkarim,9.0,FW,18-176,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,057d8f12,b8889750,acc93b55
Mohamed Salah,10.0,FW,34-011,56,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,e342ad68,b8889750,acc93b55
Zizo,25.0,MF,30-167,34,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,c6415ba9,b8889750,acc93b55
Trézéguet,7.0,LW,31-268,90,0,1,0,0,5,2,0,0,1,2,0,0,0,1,0,0,0,3ae14ed1,b8889750,acc93b55
Emam Ashour,8.0,RW,28-126,45,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,31b7d437,b8889750,acc93b55
Omar Marmoush,22.0,"FW,MF",27-139,45,0,0,0,0,1,0,0,0,1,2,0,1,2,1,0,0,0,0e0102eb,b8889750,acc93b55
Mahmoud Saber,21.0,CM,24-331,45,1,0,0,0,3,1,1,0,2,1,0,1,0,0,0,0,0,632c42f5,b8889750,acc93b55
Marwan Attia,19.0,MF,27-318,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1ea3d7ec,b8889750,acc93b55
Mohanad Lasheen,17.0,CM,30-028,90,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,8c041c7d,b8889750,acc93b55
Ahmed Fatouh,13.0,LB,28-096,90,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,de13286d,b8889750,acc93b55
Mohamed Abdelmonem,6.0,CB,27-145,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,bff15d74,b8889750,acc93b55
Yasser Ibrahim,2.0,DF,33-136,77,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0b89ad1b,b8889750,acc93b55
Ramy Rabia,5.0,CB,33-037,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e32afa36,b8889750,acc93b55
Mohamed Hany,3.0,RB,30-152,90,0,0,0,0,1,0,0,0,0,1,0,3,3,2,0,0,0,9bcf1513,b8889750,acc93b55
Mostafa Shobeir,23.0,GK,26-042,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0cb1d2ba,b8889750,acc93b55
Mehdi Taremi,9.0,FW,33-343,90,0,0,0,1,2,1,0,0,1,2,0,0,2,1,0,0,0,4c2a5d34,6a08f71e,acc93b55
Mohammad Mohebi,8.0,LM,27-188,89,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7b6b53c3,6a08f71e,acc93b55
Alireza Jahanbakhsh,7.0,"FW,MF",32-319,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,08452314,6a08f71e,acc93b55
Mohammad Ghorbani,21.0,CM,25-036,90,0,0,0,0,2,1,0,0,2,1,0,0,2,2,0,0,0,4a078e18,6a08f71e,acc93b55
Saeid Ezatolahi,6.0,CM,29-268,90,0,0,0,0,2,0,1,0,3,4,0,0,2,0,0,0,0,314d95ac,6a08f71e,acc93b55
Saman Ghoddos,14.0,RM,32-293,66,0,0,0,0,2,0,0,0,2,0,0,1,1,1,0,0,0,f7b1d4e0,6a08f71e,acc93b55
Shahriar Moghanlou,20.0,MF,31-187,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92f69be8,6a08f71e,acc93b55
Milad Mohammadi,5.0,LB,32-270,90,0,0,0,0,1,1,0,0,1,1,1,0,2,1,0,0,0,740a0e28,6a08f71e,acc93b55
Ali Nemati,19.0,CB,30-138,90,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,19a221f7,6a08f71e,acc93b55
Shoja' Khalilzadeh,4.0,CB,37-043,90,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0aed29f1,6a08f71e,acc93b55
Hossein Kanaanizadegan,13.0,CB,32-095,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24353c25,6a08f71e,acc93b55
Saleh Hardani,2.0,DF,27-182,45,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,3a9b682b,6a08f71e,acc93b55
Ramin Rezaeian,23.0,RB,36-097,90,1,0,0,0,3,1,0,0,2,1,1,4,3,1,0,0,0,c0ae3446,6a08f71e,acc93b55
Alireza Beiranvand,1.0,GK,33-278,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ca0b04a,6a08f71e,acc93b55
