Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Breel Embolo,7.0,FW,29-138,82,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0b4f388a,81021a70,b2f307a9
Zeki Amdouni,23.0,"FW,MF",25-210,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2ee5b0c9,81021a70,b2f307a9
Ruben Vargas,17.0,AM,27-331,70,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,6ecbddf6,81021a70,b2f307a9
Fabian Rieder,22.0,"FW,MF",24-136,20,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,c2bd8585,81021a70,b2f307a9
Johan Manzambi,9.0,AM,20-261,70,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,8fcf0e12,81021a70,b2f307a9
Noah Okafor,19.0,"FW,MF",26-039,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ca607d59,81021a70,b2f307a9
Dan Ndoye,11.0,AM,25-250,86,1,0,0,0,1,1,0,0,1,3,0,2,2,1,0,0,0,8e697a8f,81021a70,b2f307a9
Michel Aebischer,20.0,MF,29-177,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f9c927de,81021a70,b2f307a9
Granit Xhaka,10.0,DM,33-278,90,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,e61b8aee,81021a70,b2f307a9
Remo Freuler,8.0,DM,34-078,90,0,0,0,0,1,1,0,0,2,0,0,0,0,3,0,0,0,98d2c2c4,81021a70,b2f307a9
Ricardo Rodríguez,13.0,LB,33-311,90,0,0,0,0,1,0,0,0,3,0,0,3,2,1,0,0,0,7f78ad23,81021a70,b2f307a9
Manuel Akanji,5.0,CB,30-348,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,89ac64a6,81021a70,b2f307a9
Nico Elvedi,4.0,CB,29-275,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,48035304,81021a70,b2f307a9
Denis Zakaria,6.0,RB,29-224,86,0,0,0,0,2,1,0,0,0,0,0,4,3,4,0,0,0,384d58d9,81021a70,b2f307a9
Silvan Widmer,3.0,"DF,MF",33-119,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,f68b64fc,81021a70,b2f307a9
Gregor Kobel,1.0,GK,28-208,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd59b9df,81021a70,b2f307a9
Ibrahim Maza,22.0,FW,20-220,90,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,89b3bc5e,1e2dba57,b2f307a9
Houssem Aouar,8.0,LW,28-002,57,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,a5db0bec,1e2dba57,b2f307a9
Jaouen Hadjam,13.0,DF,23-098,33,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,576817b7,1e2dba57,b2f307a9
Fares Chaïbi,10.0,AM,23-216,90,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,357103bd,1e2dba57,b2f307a9
Ramiz Zerrouki,6.0,AM,28-037,57,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,c762b1a6,1e2dba57,b2f307a9
Amine Gouiri,9.0,"FW,MF",26-136,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aad56ca3,1e2dba57,b2f307a9
Riyad Mahrez,7.0,RW,35-131,70,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,892d5bb1,1e2dba57,b2f307a9
Anis Hadj Moussa,11.0,"FW,MF",24-141,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7bc7eef2,1e2dba57,b2f307a9
Nabil Bentaleb,19.0,DM,31-220,70,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,3189f61a,1e2dba57,b2f307a9
Hicham Boudaoui,14.0,MF,26-282,20,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,f9d5908e,1e2dba57,b2f307a9
Rayan Aït-Nouri,15.0,LB,25-026,90,0,0,0,0,0,0,0,0,2,1,0,1,5,3,0,0,0,9b398aea,1e2dba57,b2f307a9
Ramy Bensebaini,21.0,CB,31-077,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,378825c7,1e2dba57,b2f307a9
Aïssa Mandi,2.0,CB,34-253,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,fbd6378b,1e2dba57,b2f307a9
Rafik Belghali,17.0,RB,24-025,81,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0abcb968,1e2dba57,b2f307a9
Adil Boulbina,20.0,FW,23-061,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12f7f264,1e2dba57,b2f307a9
Luca Zidane,23.0,GK,28-050,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c818c4d9,1e2dba57,b2f307a9
