Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Tani Oluwaseyi,12.0,FW,26-050,62,0,0,0,0,2,1,0,0,2,1,0,0,2,0,0,0,0,950ef017,9c6d90a0,b709bfa1
Cyle Larin,9.0,"FW,MF",31-078,28,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,e7af9060,9c6d90a0,b709bfa1
Jonathan David,10.0,FW,26-171,90,0,0,0,0,3,1,1,0,3,1,0,0,0,0,0,0,0,ce50fd99,9c6d90a0,b709bfa1
Ali Ahmed,20.0,LW,25-267,77,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,0,540a5be1,9c6d90a0,b709bfa1
Promise David,24.0,FW,25-001,13,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,dbe19468,9c6d90a0,b709bfa1
Tajon Buchanan,17.0,RW,27-146,86,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,3aca6420,9c6d90a0,b709bfa1
Jayden Nelson,26.0,"FW,MF",23-281,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,92305a81,9c6d90a0,b709bfa1
Stephen Eustáquio,7.0,CM,29-195,90,0,0,0,0,0,0,0,0,0,2,0,10,2,1,0,0,0,577efaec,9c6d90a0,b709bfa1
Niko Sigur,23.0,CM,22-298,86,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,5c56986b,9c6d90a0,b709bfa1
Jonathan Osorio,21.0,MF,34-022,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,70106ff6,9c6d90a0,b709bfa1
Richie Laryea,22.0,LB,31-178,77,0,0,0,0,0,0,1,0,2,2,1,1,1,1,0,0,0,276fdbe4,9c6d90a0,b709bfa1
Jacob Shaffelburg,14.0,MF,26-220,13,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,339a2561,9c6d90a0,b709bfa1
Luc De Fougerolles,4.0,CB,20-265,90,0,0,0,0,1,0,1,0,3,2,0,1,0,1,0,0,0,45c427ff,9c6d90a0,b709bfa1
Moïse Bombito,15.0,CB,26-096,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,c2f23fc8,9c6d90a0,b709bfa1
Alistair Johnston,2.0,RB,27-269,90,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,4fb17e20,9c6d90a0,b709bfa1
Maxime Crépeau,16.0,GK,32-054,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ea42e480,9c6d90a0,b709bfa1
Ismael Saibari,11.0,FW,25-157,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3ec9f005,af41ccda,b709bfa1
Soufiane Rahimi,9.0,FW,30-032,69,1,0,0,0,3,2,0,0,2,2,2,0,1,0,0,0,0,f126a259,af41ccda,b709bfa1
Bilal El Khannouss,23.0,AM,22-055,62,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,f7042636,af41ccda,b709bfa1
Chemsdine Talbi,7.0,MF,21-056,28,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,47ce793b,af41ccda,b709bfa1
Azzedine Ounahi,8.0,AM,26-076,86,2,0,0,0,2,2,1,0,1,4,0,1,0,0,0,0,0,83299cc0,af41ccda,b709bfa1
Samir El Mourabet,15.0,MF,20-271,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a03d055,af41ccda,b709bfa1
Brahim Díaz,10.0,AM,26-335,90,0,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,407feb71,af41ccda,b709bfa1
Neil El Aynaoui,24.0,DM,25-002,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17e1261b,af41ccda,b709bfa1
Ayyoub Bouaddi,6.0,DM,18-275,62,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8006228f,af41ccda,b709bfa1
Sofyan Amrabat,4.0,"DF,MF",29-317,28,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5a2cb25d,af41ccda,b709bfa1
Noussair Mazraoui,3.0,LB,28-232,90,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,b74277a0,af41ccda,b709bfa1
Redouane Halhal,25.0,CB,23-121,90,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,e17c2cec,af41ccda,b709bfa1
Issa Diop,14.0,CB,29-176,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,a712ca2b,af41ccda,b709bfa1
Marwane Saâdane,5.0,"DF,MF",34-168,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14f47102,af41ccda,b709bfa1
Achraf Hakimi,2.0,RB,27-242,90,0,1,0,0,0,0,1,0,2,2,0,3,2,1,0,0,0,e42d61c7,af41ccda,b709bfa1
Yassine Bounou,1.0,GK,35-090,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,f6798fc3,af41ccda,b709bfa1
