Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Federico Viñas,21.0,FW,27-356,69,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,d30c7094,870e020f,bc0e570b
Darwin Núñez,9.0,FW,26-362,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d77b365,870e020f,bc0e570b
Maxi Araújo,20.0,FW,26-126,80,1,1,0,0,2,1,0,0,1,1,2,7,0,0,0,0,0,f9ab3f4a,870e020f,bc0e570b
Brian Rodríguez,18.0,"FW,MF",26-032,10,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,c86041d7,870e020f,bc0e570b
Agustín Canobbio,14.0,FW,27-263,90,1,0,0,0,2,1,0,0,4,0,0,2,3,0,0,0,0,4f5a2f38,870e020f,bc0e570b
Federico Valverde,8.0,CM,27-334,90,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0959c2a2,870e020f,bc0e570b
Rodrigo Bentancur,6.0,CM,28-361,90,0,0,0,0,2,0,1,0,3,1,0,1,2,4,0,0,0,3b8674e6,870e020f,bc0e570b
Manuel Ugarte,5.0,DM,25-071,69,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,c9817014,870e020f,bc0e570b
Nicolás De La Cruz,7.0,MF,29-020,21,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,8fda5c72,870e020f,bc0e570b
Juan Manuel Sanabria,25.0,LB,26-084,90,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,f1d74479,870e020f,bc0e570b
Mathías Olivera,16.0,CB,28-233,90,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,41c12f75,870e020f,bc0e570b
Sebastián Cáceres,3.0,CB,26-307,90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7091c68e,870e020f,bc0e570b
Guillermo Varela,13.0,RB,33-089,90,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5c961282,870e020f,bc0e570b
Fernando Muslera,23.0,GK,40-005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2abe631,870e020f,bc0e570b
Gilson Benchimol,9.0,FW,24-174,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,eae26fce,31fa6fa6,bc0e570b
Nuno da Costa,21.0,"FW,MF",35-131,33,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,909222de,31fa6fa6,bc0e570b
Garry Rodrigues,11.0,LW,35-206,57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,149895bf,31fa6fa6,bc0e570b
Hélio Varela,26.0,FW,24-049,33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91c99fec,31fa6fa6,bc0e570b
Jamiro Monteiro,10.0,AM,32-210,79,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,d384bddd,31fa6fa6,bc0e570b
Yannick,16.0,MF,30-174,11,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6246aa55,31fa6fa6,bc0e570b
Telmo Arcanjo,18.0,AM,25-000,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,c692cef2,31fa6fa6,bc0e570b
Deroy Duarte,14.0,MF,26-352,45,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,6af8fc5b,31fa6fa6,bc0e570b
Ryan Mendes,20.0,RW,36-164,90,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,ba6e01ab,31fa6fa6,bc0e570b
Kevin Pina,6.0,DM,29-145,70,1,0,0,0,1,1,0,0,1,0,0,0,2,1,0,0,0,296026ae,31fa6fa6,bc0e570b
Laros Duarte,15.0,MF,29-113,20,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,4af3d3c8,31fa6fa6,bc0e570b
Sidny Lopes Cabral,13.0,LB,23-276,90,0,0,0,0,2,0,1,0,1,5,0,4,1,1,0,0,0,20700569,31fa6fa6,bc0e570b
Diney,3.0,CB,31-155,90,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,d2e33ba2,31fa6fa6,bc0e570b
Pico,4.0,CB,34-004,90,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,faef0f92,31fa6fa6,bc0e570b
Steven Moreira,22.0,RB,31-312,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,f10983ae,31fa6fa6,bc0e570b
Vozinha,1.0,GK,40-018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc04ac24,31fa6fa6,bc0e570b
