Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Brian Brobbey,19.0,FW,24-148,70,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,4c184730,5bb5024a,bebca560
Wout Weghorst,9.0,FW,33-326,50,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,c4e87b8b,5bb5024a,bebca560
Cody Gakpo,11.0,FW,27-053,112,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,1971591f,5bb5024a,bebca560
Justin Kluivert,7.0,"FW,MF",27-055,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4c3a6744,5bb5024a,bebca560
Crysencio Summerville,24.0,FW,24-242,120,0,1,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,df04eb4b,5bb5024a,bebca560
Micky van de Ven,15.0,LM,25-071,85,0,0,0,0,2,1,0,0,2,0,0,0,1,2,0,0,0,8fe2a392,5bb5024a,bebca560
Jorrel Hato,25.0,DF,20-114,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bde35051,5bb5024a,bebca560
Frenkie de Jong,21.0,CM,29-048,109,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,1bacc518,5bb5024a,bebca560
Marten de Roon,3.0,"DF,MF",35-092,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2a1beb34,5bb5024a,bebca560
Ryan Gravenberch,8.0,CM,24-044,85,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,b8e740fb,5bb5024a,bebca560
Quinten Timber,26.0,MF,25-012,35,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,803e7aca,5bb5024a,bebca560
Denzel Dumfries,22.0,RM,30-072,120,0,0,0,0,1,0,0,0,4,1,1,2,1,0,0,0,0,481c9ece,5bb5024a,bebca560
Nathan Aké,5.0,CB,31-131,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,eaeca114,5bb5024a,bebca560
Teun Koopmeiners,20.0,"DF,MF",28-121,50,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,a26fb8aa,5bb5024a,bebca560
Virgil van Dijk,4.0,CB,34-356,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,e06683ca,5bb5024a,bebca560
Jan Paul van Hecke,6.0,CB,26-021,120,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,4fd08daa,5bb5024a,bebca560
Bart Verbruggen,1.0,GK,23-315,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cf134113,5bb5024a,bebca560
Ismael Saibari,11.0,FW,25-152,120,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3ec9f005,af41ccda,bebca560
Bilal El Khannouss,23.0,AM,22-050,86,0,0,0,0,1,1,0,0,0,1,0,4,1,0,0,0,0,f7042636,af41ccda,bebca560
Chemsdine Talbi,7.0,MF,21-051,34,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,47ce793b,af41ccda,bebca560
Azzedine Ounahi,8.0,AM,26-071,85,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,83299cc0,af41ccda,bebca560
Soufiane Rahimi,9.0,FW,30-027,35,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,f126a259,af41ccda,bebca560
Brahim Díaz,10.0,AM,26-330,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,407feb71,af41ccda,bebca560
Gessime Yassine,16.0,MF,20-219,42,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,f5ccae19,af41ccda,bebca560
Neil El Aynaoui,24.0,DM,24-362,120,0,0,0,0,1,1,0,0,5,1,0,0,2,1,0,0,0,17e1261b,af41ccda,bebca560
Ayyoub Bouaddi,6.0,DM,18-270,78,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,8006228f,af41ccda,bebca560
Samir El Mourabet,15.0,MF,20-266,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a03d055,af41ccda,bebca560
Noussair Mazraoui,3.0,LB,28-227,120,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,b74277a0,af41ccda,bebca560
Chadi Riad,18.0,CB,23-012,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,b3b9b8b8,af41ccda,bebca560
Anass Salah-Eddine,26.0,DF,24-162,46,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0d274394,af41ccda,bebca560
Issa Diop,14.0,CB,29-171,120,1,0,0,0,1,1,1,0,2,0,0,0,0,3,0,0,0,a712ca2b,af41ccda,bebca560
Achraf Hakimi,2.0,RB,27-237,120,0,0,0,0,3,1,0,0,0,2,0,9,1,2,0,0,0,e42d61c7,af41ccda,bebca560
Yassine Bounou,1.0,GK,35-085,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,f6798fc3,af41ccda,bebca560
