Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Mikel Oyarzabal,21.0,FW,29-089,61,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,8c3c640c,b561dd30,bedbfe84
Ferran Torres,7.0,"FW,MF",26-140,59,1,0,0,0,3,2,0,0,1,2,1,0,0,0,0,0,0,9e1035f8,b561dd30,bedbfe84
Álex Baena,15.0,AM,24-364,74,0,0,0,0,1,1,0,0,4,1,0,7,0,0,0,0,0,518f2234,b561dd30,bedbfe84
Nico Williams,17.0,MF,24-007,46,0,1,0,0,3,2,0,0,2,0,1,5,0,1,0,0,0,afdc14d7,b561dd30,bedbfe84
Dani Olmo,10.0,AM,28-073,74,0,0,0,0,2,1,0,0,1,2,0,1,0,0,0,0,0,ae44e8e2,b561dd30,bedbfe84
Mikel Merino,6.0,MF,30-027,46,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,d080ed5e,b561dd30,bedbfe84
Lamine Yamal,19.0,AM,19-006,120,0,0,0,0,4,2,0,0,2,1,0,5,3,0,0,0,0,82ec26c1,b561dd30,bedbfe84
Fabián Ruiz Peña,8.0,DM,30-107,61,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,c0c7ff58,b561dd30,bedbfe84
Pedri,20.0,MF,23-236,59,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0d9b2d31,b561dd30,bedbfe84
Rodri,16.0,DM,30-027,98,0,0,0,0,1,0,0,0,2,3,0,0,3,0,0,0,0,6434f10d,b561dd30,bedbfe84
Martín Zubimendi,18.0,MF,27-167,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3ee0dd59,b561dd30,bedbfe84
Marc Cucurella,24.0,LB,27-362,120,0,0,0,0,1,0,0,0,1,2,1,2,0,2,0,0,0,1daec722,b561dd30,bedbfe84
Aymeric Laporte,14.0,CB,32-053,98,0,0,0,0,1,1,0,0,1,2,0,0,0,2,0,0,0,119b9a8e,b561dd30,bedbfe84
Eric García,4.0,"DF,MF",25-191,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2bed3eab,b561dd30,bedbfe84
Pau Cubarsí,22.0,CB,19-178,120,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,cc7888f3,b561dd30,bedbfe84
Pedro Porro,12.0,RB,26-309,120,0,0,0,0,0,0,0,0,3,3,0,6,2,2,0,0,0,27d0a506,b561dd30,bedbfe84
Unai Simón,23.0,GK,29-038,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5dcf3e90,b561dd30,bedbfe84
Julián Álvarez,9.0,FW,26-169,101,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,15ab5a2b,f9fddd6e,bedbfe84
Marcos Senesi,2.0,DF,29-070,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35141f4c,f9fddd6e,bedbfe84
Lionel Messi,10.0,FW,39-025,120,0,0,0,0,1,0,0,0,1,4,0,5,1,0,0,0,0,d70ce98e,f9fddd6e,bedbfe84
Nicolás González,15.0,LW,28-104,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2374aaca,f9fddd6e,bedbfe84
Leandro Paredes,5.0,MF,32-020,75,0,0,0,0,0,0,1,0,4,1,0,1,1,2,0,0,0,dff153a4,f9fddd6e,bedbfe84
Rodrigo De Paul,7.0,RW,32-056,69,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,162efffd,f9fddd6e,bedbfe84
Giuliano Simeone,17.0,"FW,MF",23-213,51,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,a6536561,f9fddd6e,bedbfe84
Alexis Mac Allister,20.0,CM,27-207,120,0,0,0,0,0,0,1,0,3,2,0,0,2,1,0,0,0,83d074ff,f9fddd6e,bedbfe84
Enzo Fernández,24.0,CM,25-183,89,0,0,0,0,0,0,2,1,3,1,0,0,1,2,0,0,0,5ff4ab71,f9fddd6e,bedbfe84
Nicolás Tagliafico,3.0,LB,33-322,120,0,0,0,0,0,0,0,0,5,3,0,0,2,3,0,0,0,f0661424,f9fddd6e,bedbfe84
Lisandro Martínez,6.0,CB,28-182,43,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,bac46a10,f9fddd6e,bedbfe84
Nicolás Otamendi,19.0,DF,38-157,77,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0d267745,f9fddd6e,bedbfe84
Cristian Romero,13.0,CB,28-083,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a3d94a58,f9fddd6e,bedbfe84
Facundo Medina,25.0,DF,27-052,51,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6f5ec8bb,f9fddd6e,bedbfe84
Gonzalo Montiel,4.0,RB,29-199,57,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,374d5158,f9fddd6e,bedbfe84
Nahuel Molina,26.0,"DF,MF",28-104,63,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,23610943,f9fddd6e,bedbfe84
Emiliano Martínez,23.0,GK,33-320,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956236f,f9fddd6e,bedbfe84
